area_id,area_name,b17001i001,b17001i001_moe,b17001i002,b17001i002_moe,b17001i003,b17001i003_moe,b17001i004,b17001i004_moe,b17001i005,b17001i005_moe,b17001i006,b17001i006_moe,b17001i007,b17001i007_moe,b17001i008,b17001i008_moe,b17001i009,b17001i009_moe,b17001i010,b17001i010_moe,b17001i011,b17001i011_moe,b17001i012,b17001i012_moe,b17001i013,b17001i013_moe,b17001i014,b17001i014_moe,b17001i015,b17001i015_moe,b17001i016,b17001i016_moe,b17001i017,b17001i017_moe,b17001i018,b17001i018_moe,b17001i019,b17001i019_moe,b17001i020,b17001i020_moe,b17001i021,b17001i021_moe,b17001i022,b17001i022_moe,b17001i023,b17001i023_moe,b17001i024,b17001i024_moe,b17001i025,b17001i025_moe,b17001i026,b17001i026_moe,b17001i027,b17001i027_moe,b17001i028,b17001i028_moe,b17001i029,b17001i029_moe,b17001i030,b17001i030_moe,b17001i031,b17001i031_moe,b17001i032,b17001i032_moe,b17001i033,b17001i033_moe,b17001i034,b17001i034_moe,b17001i035,b17001i035_moe,b17001i036,b17001i036_moe,b17001i037,b17001i037_moe,b17001i038,b17001i038_moe,b17001i039,b17001i039_moe,b17001i040,b17001i040_moe,b17001i041,b17001i041_moe,b17001i042,b17001i042_moe,b17001i043,b17001i043_moe,b17001i044,b17001i044_moe,b17001i045,b17001i045_moe,b17001i046,b17001i046_moe,b17001i047,b17001i047_moe,b17001i048,b17001i048_moe,b17001i049,b17001i049_moe,b17001i050,b17001i050_moe,b17001i051,b17001i051_moe,b17001i052,b17001i052_moe,b17001i053,b17001i053_moe,b17001i054,b17001i054_moe,b17001i055,b17001i055_moe,b17001i056,b17001i056_moe,b17001i057,b17001i057_moe,b17001i058,b17001i058_moe,b17001i059,b17001i059_moe
1.1,Arbor Heights,340,185,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,340,185,196,103,19,26,0,17,17,19,10,20,0,17,0,17,14,26,28,47,74,61,21,23,13,23,0,17,0,17,144,98,16,25,11,21,21,23,0,17,0,17,0,17,7,18,19,27,14,22,46,53,10,20,0,17,0,17
1.2,Fauntleroy/Seaview,684,297,68,52,38,38,0,24,0,24,0,24,0,24,0,24,0,24,0,24,23,42,15,29,0,24,0,24,0,24,0,24,30,39,0,24,0,24,0,24,0,24,0,24,0,24,12,25,0,24,0,24,0,24,0,24,0,24,18,34,616,299,270,174,20,39,0,24,40,33,56,73,0,24,13,26,27,37,42,69,20,36,48,43,4,20,0,24,0,24,346,161,37,43,0,24,63,82,45,41,0,24,0,24,34,43,18,34,72,59,61,60,16,31,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,623,253,135,110,31,43,0,29,0,29,0,29,0,29,0,29,0,29,14,32,17,37,0,29,0,29,0,29,0,29,0,29,104,104,0,29,0,29,0,29,0,29,0,29,0,29,12,37,59,90,0,29,2,24,0,29,18,37,13,31,488,232,244,132,0,29,14,33,12,30,0,29,0,29,12,30,13,33,0,29,25,32,76,74,92,78,0,29,0,29,244,140,42,54,0,29,14,35,0,29,0,29,0,29,0,29,105,80,13,34,59,71,11,29,0,29,0,29
1.4,Alki/Admiral,507,302,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,507,302,215,143,55,79,0,24,0,24,0,24,0,24,0,24,0,24,21,35,0,24,80,93,59,58,0,24,0,24,292,184,0,24,27,43,51,55,0,24,0,24,21,36,60,97,71,86,38,44,0,24,0,24,0,24,24,40
2.1,North Delridge,354,148,36,37,19,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,19,28,0,12,17,26,0,12,0,12,0,12,0,12,0,12,0,12,16,26,0,12,0,12,0,12,1,2,0,12,0,12,318,152,146,107,0,12,0,12,0,12,0,12,0,12,0,12,0,12,68,87,27,31,51,77,0,12,0,12,0,12,172,77,0,12,0,12,0,12,15,26,0,12,0,12,0,12,25,32,39,45,73,84,0,12,20,36,0,12
2.2,High Point,228,122,113,105,49,61,12,22,0,17,0,17,0,17,0,17,0,17,0,17,37,59,0,17,0,17,0,17,0,17,0,17,64,75,0,17,0,17,22,40,32,51,0,17,0,17,0,17,0,17,10,22,0,17,0,17,0,17,0,17,115,68,58,45,0,17,0,17,0,17,0,17,0,17,0,17,5,16,29,34,0,17,17,20,7,18,0,17,0,17,57,40,8,19,0,17,0,17,7,17,0,17,0,17,0,17,16,28,0,17,13,24,13,22,0,17,0,17
2.3,Riverview,284,176,63,100,31,50,0,12,0,12,0,12,0,12,0,12,0,12,31,50,0,12,0,12,0,12,0,12,0,12,0,12,32,50,0,12,31,50,0,12,0,12,0,12,0,12,1,2,0,12,0,12,0,12,0,12,0,12,0,12,221,141,135,77,19,27,0,12,11,18,0,12,0,12,11,18,8,14,28,27,0,12,46,27,12,18,0,12,0,12,86,74,0,12,0,12,0,12,0,12,0,12,0,12,42,36,9,15,8,13,19,28,0,12,8,13,0,12
2.4,Roxhill/Westwood,2852,665,929,471,532,271,169,145,0,21,97,81,20,35,49,71,0,21,0,21,124,96,36,43,37,59,0,21,0,21,0,21,397,302,59,84,0,21,53,78,53,78,0,21,24,42,13,25,66,69,120,96,0,21,0,21,0,21,9,23,1923,536,1154,339,45,45,11,24,79,58,10,23,0,21,66,54,244,160,233,163,194,116,255,125,3,19,0,21,14,27,769,312,64,55,16,32,51,49,95,50,0,21,14,25,118,126,98,86,160,102,81,54,18,34,38,46,16,29
2.5,Highland Park,800,318,143,120,95,72,0,21,16,29,17,29,0,21,0,21,0,21,23,36,14,26,0,21,25,41,0,21,0,21,0,21,48,62,0,21,0,21,0,21,0,21,0,21,0,21,20,36,17,30,0,21,0,21,0,21,0,21,11,22,657,293,321,149,2,23,14,26,0,21,2,22,0,21,0,21,28,45,182,144,20,32,30,39,43,50,0,21,0,21,336,181,74,87,0,21,0,21,0,21,0,21,0,21,71,78,103,97,0,21,36,46,37,42,15,29,0,21
3.1,South Park,1929,592,690,403,294,184,52,56,0,17,48,73,0,17,0,17,0,17,9,20,65,68,67,97,34,49,0,17,19,30,0,17,396,319,60,109,17,29,70,87,78,72,31,43,0,17,25,30,71,70,6,16,0,17,9,19,0,17,29,39,1239,574,711,381,49,57,40,52,98,54,39,57,0,17,15,26,72,84,160,127,214,219,24,31,0,17,0,17,0,17,528,241,108,75,0,17,35,52,16,30,0,17,18,31,87,98,126,76,111,81,0,17,27,31,0,17,0,17
