area_id,area_name,b13002f001,b13002f001_moe,b13002f002,b13002f002_moe,b13002f003,b13002f003_moe,b13002f004,b13002f004_moe,b13002f005,b13002f005_moe,b13002f006,b13002f006_moe,b13002f007,b13002f007_moe
1.1,Arbor Heights,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,35,57,0,24,0,24,0,24,35,57,20,33,15,30
1.3,West Seattle Junction/Genesee Hill,74,90,0,29,0,29,0,29,74,90,13,31,61,89
1.4,Alki/Admiral,0,24,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,68,85,0,12,0,12,0,12,68,85,54,81,14,24
2.2,High Point,10,22,0,17,0,17,0,17,10,22,0,17,10,22
2.3,Riverview,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,98,77,0,21,0,21,0,21,98,77,67,61,31,51
2.5,Highland Park,0,21,0,21,0,21,0,21,0,21,0,21,0,21
3.1,South Park,29,35,0,17,0,17,0,17,29,35,21,30,8,17
3.2,Georgetown,16,21,0,12,0,12,0,12,16,21,0,12,16,21
3.3,Duwamish/SODO,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,12,25,0,24,0,24,0,24,12,25,0,24,12,25
3.5,Beacon Hill,55,67,20,34,13,25,7,27,35,43,0,17,35,43
3.6,North Beacon Hill/Jefferson Park,22,43,0,24,0,24,0,24,22,43,0,24,22,43
4.1,Rainier Beach,91,85,0,27,0,27,0,27,91,85,44,68,47,58
4.2,Columbia City,51,48,14,32,14,32,0,27,37,45,0,27,37,45
4.3,Seward Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17
4.4,Mt. Baker/North Rainier,0,17,0,17,0,17,0,17,0,17,0,17,0,17
5.1,Madrona/Leschi,48,47,0,21,0,21,0,21,48,47,36,45,12,24
5.2,Judkins Park,14,23,0,12,0,12,0,12,14,23,0,12,14,23
5.3,Central Area/Squire Park,45,37,0,24,0,24,0,24,45,37,8,24,37,37
6.1,First Hill,113,78,0,24,0,24,0,24,113,78,37,48,76,63
6.2,Capitol Hill,26,38,0,29,0,29,0,29,26,38,0,29,26,38
6.3,North Capitol Hill,0,12,0,12,0,12,0,12,0,12,0,12,0,12
6.4,Miller Park,16,20,0,17,0,17,0,17,16,20,0,17,16,20
6.5,Madison Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,58,77,0,21,0,21,0,21,58,77,9,23,49,77
7.2,University District,281,249,9,30,0,29,9,30,272,250,0,29,272,250
7.3,Ravenna/Bryant,39,38,0,32,0,32,0,32,39,38,22,37,17,33
7.4,Wedgwood/View Ridge,31,34,0,27,0,27,0,27,31,34,19,33,12,28
7.5,Laurelhurst/Sand Point,7,20,0,21,0,21,0,21,7,20,0,21,7,20
8.1,Northgate/Maple Leaf,111,78,0,24,0,24,0,24,111,78,104,78,7,24
8.2,Olympic Hills/Victory Heights,120,80,0,24,0,24,0,24,120,80,90,79,30,34
8.3,Cedar Park/Meadowbrook,92,97,30,48,0,27,30,48,62,60,27,40,35,53
9.1,Broadview/Bitter Lake,29,34,0,27,0,27,0,27,29,34,5,26,24,35
9.2,Licton Springs,86,72,0,17,0,17,0,17,86,72,12,22,74,68
9.3,Greenwood/Phinney Ridge,250,131,67,72,58,70,9,31,183,103,72,64,111,78
9.4,Green Lake,50,44,0,24,0,24,0,24,50,44,15,24,35,42
9.5,Haller Lake,30,34,0,21,0,21,0,21,30,34,30,34,0,21
10.1,North Beach/Blue Ridge,48,47,0,21,0,21,0,21,48,47,0,21,48,47
10.2,Whittier Heights,99,90,0,24,0,24,0,24,99,90,33,55,66,75
10.3,Sunset Hill/Loyal Heights,13,28,0,24,0,24,0,24,13,28,0,24,13,28
10.4,Ballard,15,25,0,17,0,17,0,17,15,25,0,17,15,25
11.1,Fremont,83,72,0,24,0,24,0,24,83,72,13,30,70,70
11.2,Wallingford,37,61,0,27,0,27,0,27,37,61,17,33,20,37
11.3,Cascade/Eastlake,34,43,0,21,0,21,0,21,34,43,17,34,17,32
12.1,Magnolia,0,24,0,24,0,24,0,24,0,24,0,24,0,24
12.2,Interbay,50,52,0,21,0,21,0,21,50,52,27,46,23,31
12.3,Queen Anne,247,127,16,48,0,40,16,48,231,128,9,40,222,128
13.1,Belltown,63,65,0,21,0,21,0,21,63,65,39,63,24,25
13.2,Downtown Commercial Core,79,91,0,12,0,12,0,12,79,91,67,89,12,20
13.3,Pioneer Square/International District,11,22,0,17,0,17,0,17,11,22,0,17,11,22
