area_id,area_name,b12002g001,b12002g001_moe,b12002g002,b12002g002_moe,b12002g003,b12002g003_moe,b12002g004,b12002g004_moe,b12002g005,b12002g005_moe,b12002g006,b12002g006_moe,b12002g007,b12002g007_moe,b12002g008,b12002g008_moe,b12002g009,b12002g009_moe,b12002g010,b12002g010_moe,b12002g011,b12002g011_moe,b12002g012,b12002g012_moe,b12002g013,b12002g013_moe
1.1,Arbor Heights,242,129,110,65,73,55,37,36,0,17,0,17,0,17,132,80,55,46,67,53,0,17,0,17,10,20
1.2,Fauntleroy/Seaview,209,102,74,54,25,34,29,38,0,24,0,24,20,36,135,82,41,42,61,55,17,34,11,25,5,11
1.3,West Seattle Junction/Genesee Hill,410,140,236,103,132,80,95,66,0,29,0,29,9,28,174,92,46,45,79,60,0,29,0,29,49,48
1.4,Alki/Admiral,294,128,106,75,24,40,82,64,0,24,0,24,0,24,188,105,89,60,47,47,0,24,0,24,52,56
2.1,North Delridge,245,125,103,63,103,63,0,12,0,12,0,12,0,12,142,83,81,79,0,12,0,12,17,26,44,46
2.2,High Point,185,107,93,54,79,51,12,23,0,17,0,17,2,13,92,92,64,87,13,24,0,17,0,17,15,27
2.3,Riverview,178,80,68,54,52,52,7,12,0,12,0,12,9,14,110,77,21,33,49,52,32,48,8,13,0,12
2.4,Roxhill/Westwood,439,166,189,96,155,84,34,33,0,21,0,21,0,21,250,116,145,88,74,52,9,23,0,21,22,39
2.5,Highland Park,228,137,144,102,94,94,21,30,0,21,0,21,29,41,84,80,22,34,62,76,0,21,0,21,0,21
3.1,South Park,270,249,97,92,28,45,53,51,0,17,0,17,16,29,173,162,138,127,35,47,0,17,0,17,0,17
3.2,Georgetown,69,68,19,20,0,12,11,17,0,12,0,12,8,12,50,55,25,37,25,41,0,12,0,12,0,12
3.3,Duwamish/SODO,75,55,65,52,35,35,9,15,0,12,0,12,21,32,10,16,10,16,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,286,128,118,67,17,25,78,51,12,27,0,24,11,28,168,94,84,70,55,55,0,24,10,27,19,29
3.5,Beacon Hill,233,157,110,77,56,48,54,59,0,17,0,17,0,17,123,97,20,36,43,50,0,17,7,18,53,50
3.6,North Beacon Hill/Jefferson Park,504,179,305,121,134,77,118,79,10,28,0,24,43,56,199,104,9,25,112,80,0,24,11,30,67,78
4.1,Rainier Beach,566,279,135,97,117,90,0,27,0,27,0,27,18,38,431,240,231,172,106,97,8,25,38,64,48,60
4.2,Columbia City,538,183,196,90,96,60,76,56,0,27,0,27,24,36,342,148,216,130,63,41,0,27,0,27,63,52
4.3,Seward Park,295,133,167,88,57,48,93,57,5,14,0,17,12,22,128,68,43,43,78,51,0,17,0,17,7,16
4.4,Mt. Baker/North Rainier,263,142,94,65,72,62,14,23,0,17,0,17,8,17,169,92,35,42,57,45,12,21,0,17,65,61
5.1,Madrona/Leschi,365,250,207,134,45,44,74,58,0,21,0,21,88,103,158,132,135,126,23,25,0,21,0,21,0,21
5.2,Judkins Park,165,129,90,74,64,67,26,29,0,12,0,12,0,12,75,59,50,50,25,29,0,12,0,12,0,12
5.3,Central Area/Squire Park,741,254,178,81,140,75,17,28,0,24,0,24,21,31,563,248,326,173,130,82,0,24,13,29,94,94
6.1,First Hill,689,152,365,91,317,93,26,31,7,25,0,24,15,30,324,126,264,103,17,31,0,24,5,23,38,47
6.2,Capitol Hill,775,259,457,217,386,208,45,62,0,29,12,31,14,35,318,129,240,115,55,63,0,29,11,30,12,31
6.3,North Capitol Hill,90,86,78,80,13,21,16,27,0,12,0,12,49,74,12,20,12,20,0,12,0,12,0,12,0,12
6.4,Miller Park,191,88,76,56,54,53,22,25,0,17,0,17,0,17,115,68,77,50,31,36,0,17,0,17,7,18
6.5,Madison Park,65,48,33,30,9,15,0,17,0,17,11,19,13,20,32,37,15,24,17,28,0,17,0,17,0,17
7.1,Montlake/Portage Bay,304,123,133,86,112,82,21,31,0,21,0,21,0,21,171,86,108,87,52,49,0,21,11,24,0,21
7.2,University District,918,226,430,142,367,127,50,64,0,29,0,29,13,32,488,168,416,162,28,36,0,29,0,29,44,48
7.3,Ravenna/Bryant,899,214,381,132,227,108,120,63,0,32,0,32,34,52,518,154,355,116,140,74,0,32,0,32,23,54
7.4,Wedgwood/View Ridge,381,137,232,113,155,103,65,48,0,27,12,30,0,27,149,76,64,46,59,42,0,27,0,27,26,34
7.5,Laurelhurst/Sand Point,268,136,136,86,41,41,86,75,0,21,0,21,9,22,132,105,49,53,70,92,0,21,0,21,13,25
8.1,Northgate/Maple Leaf,275,106,129,69,45,45,39,32,0,24,0,24,45,43,146,79,103,67,34,46,9,26,0,24,0,24
