area_id,area_name,b01002d001,b01002d001_moe,b01002d002,b01002d002_moe,b01002d003,b01002d003_moe
1.1,Arbor Heights,76,38,89,26,71,39
1.2,Fauntleroy/Seaview,69,12,83,31,68,10
1.3,West Seattle Junction/Genesee Hill,85,29,80,26,88,38
1.4,Alki/Admiral,90,24,88,50,90,24
2.1,North Delridge,38,6,36,13,38,6
2.2,High Point,89,18,86,13,90,7
2.3,Riverview,39,7,37,6,40,18
2.4,Roxhill/Westwood,122,13,128,19,121,19
2.5,Highland Park,28,6,24,2,35,6
3.1,South Park,37,5,39,3,34,6
3.2,Georgetown,41,16,45,8,19,2
3.3,Duwamish/SODO,49,11,49,12,47,24
3.4,South Beacon Hill/NewHolly,110,5,108,12,122,14
3.5,Beacon Hill,85,6,88,9,84,11
3.6,North Beacon Hill/Jefferson Park,145,14,143,18,143,22
4.1,Rainier Beach,78,20,74,10,89,12
4.2,Columbia City,132,12,137,15,120,20
4.3,Seward Park,86,14,83,20,85,18
4.4,Mt. Baker/North Rainier,43,4,43,48,44,11
5.1,Madrona/Leschi,76,7,76,10,76,17
5.2,Judkins Park,57,14,41,29,58,20
5.3,Central Area/Squire Park,130,17,126,41,136,17
6.1,First Hill,160,19,172,15,151,43
6.2,Capitol Hill,124,7,120,15,120,36
6.3,North Capitol Hill,42,16,36,8,54,20
6.4,Miller Park,74,30,96,51,66,11
7.1,Montlake/Portage Bay,73,17,76,15,64,26
7.2,University District,65,2,64,2,67,6
7.3,Ravenna/Bryant,184,16,179,27,188,37
7.4,Wedgwood/View Ridge,149,16,137,26,155,18
7.5,Laurelhurst/Sand Point,77,22,76,26,72,12
8.1,Northgate/Maple Leaf,114,10,110,9,104,27
8.2,Olympic Hills/Victory Heights,107,15,98,12,123,24
8.3,Cedar Park/Meadowbrook,161,25,177,25,146,41
9.1,Broadview/Bitter Lake,112,27,135,23,106,21
9.2,Licton Springs,71,11,67,18,83,19
9.3,Greenwood/Phinney Ridge,213,48,208,83,217,46
9.4,Green Lake,118,18,124,29,120,23
9.5,Haller Lake,73,10,86,11,70,7
10.1,North Beach/Blue Ridge,139,36,148,40,132,41
10.2,Whittier Heights,82,16,86,33,76,16
10.3,Sunset Hill/Loyal Heights,79,11,64,41,85,11
10.4,Ballard,32,5,38,3,31,4
11.1,Fremont,95,18,88,21,107,33
11.2,Wallingford,123,9,126,75,120,14
11.3,Cascade/Eastlake,84,9,86,7,91,10
12.1,Magnolia,83,34,71,14,102,35
12.2,Interbay,72,25,115,95,65,42
12.3,Queen Anne,190,25,185,31,196,35
13.1,Belltown,75,19,81,34,73,24
13.2,Downtown Commercial Core,54,14,58,26,46,10
13.3,Pioneer Square/International District,111,16,118,19,107,18
