area_id,area_name,b17001h001,b17001h001_moe,b17001h002,b17001h002_moe,b17001h003,b17001h003_moe,b17001h004,b17001h004_moe,b17001h005,b17001h005_moe,b17001h006,b17001h006_moe,b17001h007,b17001h007_moe,b17001h008,b17001h008_moe,b17001h009,b17001h009_moe,b17001h010,b17001h010_moe,b17001h011,b17001h011_moe,b17001h012,b17001h012_moe,b17001h013,b17001h013_moe,b17001h014,b17001h014_moe,b17001h015,b17001h015_moe,b17001h016,b17001h016_moe,b17001h017,b17001h017_moe,b17001h018,b17001h018_moe,b17001h019,b17001h019_moe,b17001h020,b17001h020_moe,b17001h021,b17001h021_moe,b17001h022,b17001h022_moe,b17001h023,b17001h023_moe,b17001h024,b17001h024_moe,b17001h025,b17001h025_moe,b17001h026,b17001h026_moe,b17001h027,b17001h027_moe,b17001h028,b17001h028_moe,b17001h029,b17001h029_moe,b17001h030,b17001h030_moe,b17001h031,b17001h031_moe,b17001h032,b17001h032_moe,b17001h033,b17001h033_moe,b17001h034,b17001h034_moe,b17001h035,b17001h035_moe,b17001h036,b17001h036_moe,b17001h037,b17001h037_moe,b17001h038,b17001h038_moe,b17001h039,b17001h039_moe,b17001h040,b17001h040_moe,b17001h041,b17001h041_moe,b17001h042,b17001h042_moe,b17001h043,b17001h043_moe,b17001h044,b17001h044_moe,b17001h045,b17001h045_moe,b17001h046,b17001h046_moe,b17001h047,b17001h047_moe,b17001h048,b17001h048_moe,b17001h049,b17001h049_moe,b17001h050,b17001h050_moe,b17001h051,b17001h051_moe,b17001h052,b17001h052_moe,b17001h053,b17001h053_moe,b17001h054,b17001h054_moe,b17001h055,b17001h055_moe,b17001h056,b17001h056_moe,b17001h057,b17001h057_moe,b17001h058,b17001h058_moe,b17001h059,b17001h059_moe
1.1,Arbor Heights,4928,356,110,55,66,49,0,17,0,17,0,17,0,17,0,17,0,17,12,21,28,41,0,17,16,24,10,21,0,17,0,17,44,35,0,17,0,17,0,17,0,17,0,17,0,17,8,18,22,33,0,17,1,12,9,19,4,14,0,17,4818,363,2390,212,208,83,92,57,90,56,10,18,10,20,31,26,122,73,332,95,464,86,391,98,329,82,234,65,77,31,2428,222,129,62,36,38,183,67,17,21,14,25,32,28,51,45,317,102,446,95,373,89,461,103,221,62,148,52
1.2,Fauntleroy/Seaview,11738,624,649,252,366,171,11,24,0,24,14,28,15,29,15,29,0,24,0,24,46,71,44,43,125,98,79,60,0,24,17,33,283,137,0,24,0,24,24,37,26,30,8,22,0,24,0,24,29,44,27,31,93,60,76,55,0,24,0,24,11089,659,5152,394,327,132,19,35,150,78,169,110,93,84,67,49,77,52,820,207,1050,223,1035,173,760,152,250,100,335,95,5937,425,366,159,76,78,359,152,83,72,14,30,50,40,150,71,1017,216,929,211,1050,174,859,176,529,116,455,107
1.3,West Seattle Junction/Genesee Hill,14870,588,861,303,495,189,57,69,0,29,19,38,0,29,0,29,37,66,13,31,110,94,81,64,65,64,98,90,0,29,15,35,366,186,0,29,0,29,51,72,0,29,0,29,19,38,12,32,17,26,92,76,4,25,96,91,12,31,63,50,14009,649,6449,453,247,113,75,80,330,117,192,85,113,68,80,83,230,90,967,265,1424,212,1073,180,843,164,548,113,327,123,7560,448,393,147,80,50,598,171,205,87,35,42,115,68,364,188,1090,235,1343,179,1103,205,1212,182,482,123,540,145
1.4,Alki/Admiral,9336,517,596,202,155,81,0,24,0,24,0,24,0,24,0,24,19,36,0,24,25,34,0,24,86,62,0,24,0,24,25,32,441,170,0,24,0,24,0,24,0,24,0,24,0,24,116,86,145,123,29,43,53,44,9,23,38,39,51,44,8740,482,4119,305,172,87,34,42,126,88,84,58,15,29,129,70,62,49,769,180,463,124,911,147,653,129,456,157,245,91,4621,369,245,160,0,24,347,129,36,43,45,47,37,35,89,64,595,156,711,139,699,162,887,192,470,155,460,106
2.1,North Delridge,3206,431,192,121,97,84,0,12,0,12,0,12,0,12,0,12,0,12,0,12,16,24,1,2,43,66,23,33,14,22,0,12,95,72,15,24,0,12,0,12,0,12,0,12,0,12,0,12,42,40,0,12,20,30,16,24,0,12,2,4,3014,409,1541,215,117,90,0,12,50,55,0,12,13,20,26,32,33,39,386,126,383,97,226,88,244,113,46,41,17,22,1473,272,86,60,38,50,37,49,47,53,0,12,0,12,0,12,580,164,231,106,203,100,114,65,64,42,73,55
2.2,High Point,2530,358,404,215,191,128,0,17,0,17,0,17,0,17,0,17,0,17,67,98,16,29,67,81,5,16,19,26,17,19,0,17,213,115,0,17,0,17,0,17,0,17,0,17,0,17,79,87,40,50,1,13,28,31,23,30,28,32,14,27,2126,284,1101,193,56,50,34,36,39,43,37,41,14,26,25,35,87,90,304,135,262,116,173,74,36,29,25,30,9,20,1025,182,35,41,0,17,24,38,26,33,14,26,0,17,73,56,282,106,299,114,120,77,65,41,48,44,39,35
2.3,Riverview,2370,259,165,75,71,47,0,12,0,12,0,12,0,12,0,12,0,12,9,13,0,12,29,34,10,17,23,26,0,12,0,12,94,60,0,12,0,12,0,12,0,12,0,12,0,12,9,13,7,14,60,53,18,29,0,12,0,12,0,12,2205,257,1234,230,36,32,9,15,16,20,11,17,7,10,50,49,76,74,298,156,245,121,260,97,143,80,56,34,27,21,971,127,19,23,9,14,29,28,27,24,0,12,23,25,10,15,139,57,211,74,208,69,171,65,66,35,59,38
2.4,Roxhill/Westwood,6546,543,386,182,124,70,0,21,0,21,0,21,0,21,0,21,0,21,4,25,16,24,37,36,30,37,12,26,13,27,12,26,262,149,0,21,0,21,0,21,0,21,0,21,0,21,36,45,120,130,34,34,34,40,38,34,0,21,0,21,6160,518,2842,322,159,74,15,24,78,62,24,26,19,26,36,49,140,81,555,145,784,162,432,116,292,88,172,73,136,64,3318,346,196,86,34,37,119,70,24,31,4,20,82,75,147,77,561,149,629,125,590,126,479,176,208,75,245,83
2.5,Highland Park,2962,327,316,137,234,127,0,21,0,21,0,21,13,25,0,21,0,21,0,21,0,21,36,42,54,53,67,54,19,32,45,71,82,61,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,7,17,16,28,39,47,20,30,2646,331,1375,235,63,50,0,21,58,56,38,41,0,21,89,75,9,20,258,108,245,104,225,87,170,105,158,86,62,59,1271,180,24,35,41,44,11,25,26,30,24,38,0,21,35,38,162,77,297,104,111,53,244,113,176,82,120,68
3.1,South Park,1039,219,107,73,73,56,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,20,20,31,39,47,0,17,0,17,0,17,34,32,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,21,29,7,16,6,16,0,17,0,17,932,212,576,149,32,28,0,17,24,26,8,18,0,17,0,17,40,44,111,58,126,66,117,57,88,72,15,22,15,20,356,112,14,20,6,16,28,42,0,17,0,17,0,17,8,18,99,48,81,43,62,45,36,30,0,17,22,29
