area_id,area_name,c27012001,c27012001_moe,c27012002,c27012002_moe,c27012003,c27012003_moe,c27012004,c27012004_moe,c27012005,c27012005_moe,c27012006,c27012006_moe,c27012007,c27012007_moe,c27012008,c27012008_moe,c27012009,c27012009_moe,c27012010,c27012010_moe,c27012011,c27012011_moe,c27012012,c27012012_moe,c27012013,c27012013_moe,c27012014,c27012014_moe,c27012015,c27012015_moe,c27012016,c27012016_moe,c27012017,c27012017_moe,c27012018,c27012018_moe,c27012019,c27012019_moe,c27012020,c27012020_moe,c27012021,c27012021_moe,c27012022,c27012022_moe,c27012023,c27012023_moe,c27012024,c27012024_moe,c27012025,c27012025_moe,c27012026,c27012026_moe,c27012027,c27012027_moe,c27012028,c27012028_moe,c27012029,c27012029_moe,c27012030,c27012030_moe,c27012031,c27012031_moe,c27012032,c27012032_moe,c27012033,c27012033_moe,c27012034,c27012034_moe,c27012035,c27012035_moe,c27012036,c27012036_moe,c27012037,c27012037_moe,c27012038,c27012038_moe,c27012039,c27012039_moe,c27012040,c27012040_moe,c27012041,c27012041_moe,c27012042,c27012042_moe,c27012043,c27012043_moe,c27012044,c27012044_moe,c27012045,c27012045_moe,c27012046,c27012046_moe
1.1,Arbor Heights,4937,206,2604,220,2519,210,2374,221,2260,223,253,87,0,17,13,22,145,91,85,47,85,47,79,45,8,16,77,46,0,17,0,17,1312,185,1179,176,871,157,750,139,129,72,10,20,53,36,308,121,133,74,133,74,61,38,104,75,133,74,0,17,0,17,1021,152,414,116,335,98,183,74,100,49,35,31,53,38,79,64,607,85,605,85,252,79,197,65,590,85,19,25,2,13
1.2,Fauntleroy/Seaview,11138,465,5868,467,5672,446,5344,452,5086,462,462,190,18,34,7,24,328,140,196,104,196,104,115,57,98,88,155,98,3,20,0,24,2864,344,2599,330,2089,278,1632,238,402,137,17,33,48,42,510,200,265,114,265,114,134,83,78,56,249,113,0,24,0,24,2406,301,1175,251,943,213,476,137,232,109,198,92,117,84,232,117,1231,175,1231,175,401,129,500,118,1215,175,161,86,0,24
1.3,West Seattle Junction/Genesee Hill,14053,488,7196,469,6941,460,6800,462,6093,461,821,236,0,29,81,100,141,78,255,92,255,92,135,75,74,57,162,78,0,29,0,29,3740,418,3422,397,2809,386,2130,296,576,191,0,29,134,95,613,192,318,104,318,104,164,79,148,75,302,102,26,38,0,29,3117,346,1634,281,1452,275,775,183,267,116,243,149,329,161,182,117,1483,205,1483,205,846,193,559,167,1472,205,124,64,0,29
1.4,Alki/Admiral,9373,440,4482,367,4289,352,3970,331,3657,327,384,132,33,42,32,54,319,180,193,189,193,189,193,189,60,91,118,101,18,33,0,24,2369,344,2168,332,1853,316,1321,283,482,177,40,46,78,54,315,125,201,99,201,99,96,78,50,39,187,96,13,28,0,24,2522,316,1071,217,898,198,583,166,274,127,18,33,67,48,173,97,1451,199,1451,199,521,146,684,173,1451,199,161,80,0,24
2.1,North Delridge,4074,254,2165,254,2150,250,2021,258,1891,262,239,161,0,12,0,12,129,98,15,24,15,24,0,12,15,24,15,24,0,12,0,12,1318,243,1235,233,953,214,605,185,270,109,59,71,91,78,282,151,83,60,83,60,14,24,15,24,83,60,0,12,0,12,591,141,350,121,330,112,137,86,66,55,55,51,109,73,20,29,241,73,241,73,71,50,53,38,241,73,42,50,0,12
2.2,High Point,4778,387,1894,243,1886,243,1792,244,1678,259,151,107,31,42,107,67,94,57,8,18,8,18,0,17,0,17,8,18,0,17,0,17,1355,265,1303,262,1032,227,558,167,96,67,86,83,427,185,271,125,52,43,52,43,46,40,0,17,52,43,16,26,0,17,1529,297,1127,278,932,260,266,142,129,64,261,113,546,209,195,117,402,132,402,132,42,33,13,17,402,132,249,128,0,17
2.3,Riverview,3645,225,1878,188,1833,182,1671,163,1567,164,158,83,0,12,17,25,162,84,45,29,45,29,38,29,7,11,37,28,7,11,0,12,1097,176,1015,183,536,114,472,109,16,18,9,14,57,54,479,181,82,42,82,42,46,25,17,20,82,42,8,12,0,12,670,117,445,109,325,112,140,83,63,58,26,24,105,66,120,84,225,62,225,62,70,44,78,44,225,62,15,23,0,12
2.4,Roxhill/Westwood,10001,567,5052,387,4895,383,4474,371,4205,373,347,123,9,23,81,67,421,147,157,103,157,103,91,74,28,31,144,96,0,21,0,21,2508,318,2401,314,1632,265,1136,249,292,104,41,42,259,114,769,224,107,53,107,53,52,40,58,40,107,53,0,21,0,21,2441,394,1523,361,774,183,361,120,105,59,135,69,238,106,749,320,918,155,892,151,182,84,379,97,892,151,162,88,26,43
2.5,Highland Park,4741,339,1977,230,1874,227,1643,231,1424,229,198,101,0,21,50,45,231,103,103,61,103,61,103,61,0,21,37,37,0,21,0,21,1496,239,1416,235,973,206,716,177,110,76,31,38,116,73,443,153,80,54,80,54,0,21,14,25,80,54,15,28,0,21,1268,262,633,212,465,170,187,105,60,76,101,64,210,111,168,110,635,161,621,162,153,91,255,111,621,162,188,92,14,27
3.1,South Park,2989,436,1182,252,1149,248,868,191,746,159,72,44,38,63,80,74,281,127,33,32,33,32,33,32,0,17,30,31,0,17,0,17,1045,305,1036,305,445,160,269,105,57,43,11,23,152,100,591,275,9,21,9,21,9,21,0,17,9,21,9,21,0,17,762,150,578,134,352,102,146,70,78,55,72,51,151,75,226,89,184,62,184,62,42,48,8,17,184,62,112,55,0,17
