area_id,area_name,b17020a001,b17020a001_moe,b17020a002,b17020a002_moe,b17020a003,b17020a003_moe,b17020a004,b17020a004_moe,b17020a005,b17020a005_moe,b17020a006,b17020a006_moe,b17020a007,b17020a007_moe,b17020a008,b17020a008_moe,b17020a009,b17020a009_moe,b17020a010,b17020a010_moe,b17020a011,b17020a011_moe,b17020a012,b17020a012_moe,b17020a013,b17020a013_moe,b17020a014,b17020a014_moe,b17020a015,b17020a015_moe,b17020a016,b17020a016_moe,b17020a017,b17020a017_moe
1.1,Arbor Heights,5140,328,110,55,0,17,0,17,0,17,0,17,106,55,4,14,0,17,5030,338,346,100,128,68,311,99,124,56,3441,235,455,82,225,71
1.2,Fauntleroy/Seaview,12189,638,705,256,11,24,0,24,38,40,64,58,557,195,0,24,35,40,11484,671,750,222,95,85,581,174,532,188,7957,517,779,152,790,151
1.3,West Seattle Junction/Genesee Hill,15291,607,935,310,57,69,0,29,70,80,56,70,631,215,30,38,91,69,14356,665,668,192,169,96,942,177,740,185,9940,503,1030,174,867,177
1.4,Alki/Admiral,9774,561,596,202,0,24,0,24,0,24,19,36,463,175,38,39,76,62,9178,508,472,221,61,54,500,145,367,123,6147,376,926,251,705,151
2.1,North Delridge,3367,449,212,125,15,24,0,12,0,12,0,12,162,111,33,32,2,4,3155,427,203,93,38,50,87,102,101,66,2506,308,130,69,90,54
2.2,High Point,2668,373,473,230,0,17,0,17,0,17,32,51,382,215,45,37,14,27,2195,291,91,58,34,36,63,52,116,96,1770,248,73,53,48,40
2.3,Riverview,2637,292,228,152,0,12,31,50,0,12,0,12,197,108,0,12,0,12,2409,263,74,47,18,22,56,41,129,74,1924,229,122,46,86,45
2.4,Roxhill/Westwood,8369,771,1035,565,137,142,0,21,89,94,146,161,629,268,13,27,21,30,7334,637,402,131,60,43,306,124,276,133,5501,523,392,113,397,116
2.5,Highland Park,3555,424,411,150,0,21,16,29,17,29,13,25,231,97,58,56,76,76,3144,422,163,103,41,44,69,58,179,120,2161,353,349,125,182,102
3.1,South Park,2694,609,764,397,112,153,17,29,112,116,95,99,380,180,19,30,29,39,1930,591,203,117,46,50,157,102,66,67,1406,396,15,22,37,33
3.2,Georgetown,838,211,108,100,0,12,0,12,0,12,0,12,105,99,3,6,0,12,730,172,13,20,32,47,14,21,0,12,626,136,35,41,10,13
3.3,Duwamish/SODO,1219,264,348,148,0,12,0,12,0,12,0,12,321,138,7,16,20,34,871,206,4,8,0,12,0,12,6,10,756,187,33,45,72,53
3.4,South Beacon Hill/NewHolly,2098,403,452,275,37,62,0,24,33,42,161,141,167,101,7,24,47,70,1646,307,60,36,0,24,27,30,99,76,1132,235,155,67,173,75
3.5,Beacon Hill,1856,365,123,75,0,17,0,17,0,17,0,17,92,81,0,17,31,36,1733,344,61,54,0,17,31,35,64,50,1408,294,70,55,99,80
3.6,North Beacon Hill/Jefferson Park,5130,638,456,173,18,39,0,24,0,24,0,24,378,136,0,24,60,71,4674,616,467,225,50,45,261,165,31,54,3691,434,101,65,73,70
4.1,Rainier Beach,4289,608,748,348,99,102,0,27,0,27,29,51,565,243,20,30,35,47,3541,546,161,108,27,49,153,129,129,112,2571,413,230,103,270,139
