area_id,area_name,b21003001,b21003001_moe,b21003002,b21003002_moe,b21003003,b21003003_moe,b21003004,b21003004_moe,b21003005,b21003005_moe,b21003006,b21003006_moe,b21003007,b21003007_moe,b21003008,b21003008_moe,b21003009,b21003009_moe,b21003010,b21003010_moe,b21003011,b21003011_moe
1.1,Arbor Heights,4670,204,472,116,21,34,68,41,130,71,253,83,4198,223,76,46,813,178,1301,204,2008,224
1.2,Fauntleroy/Seaview,10927,467,1036,221,86,83,184,73,485,141,281,109,9891,470,205,175,1225,257,2761,339,5700,508
1.3,West Seattle Junction/Genesee Hill,13773,544,1325,266,78,54,171,77,516,189,560,202,12448,566,608,218,1637,291,2978,368,7225,530
1.4,Alki/Admiral,9067,382,924,192,0,24,78,61,424,141,422,124,8143,380,167,82,917,255,2265,335,4794,378
2.1,North Delridge,3924,252,345,123,13,22,55,45,82,65,195,105,3579,255,254,181,393,186,943,237,1989,332
2.2,High Point,4082,348,221,128,61,77,67,74,77,82,16,30,3861,356,663,189,891,271,1027,237,1280,229
2.3,Riverview,3275,212,174,75,19,22,32,29,113,64,10,15,3101,227,364,95,615,187,1156,187,966,161
2.4,Roxhill/Westwood,9116,466,696,155,43,39,133,63,274,112,246,109,8420,466,1080,338,1513,289,2726,339,3101,355
2.5,Highland Park,4305,337,517,156,75,65,103,65,170,94,169,100,3788,331,475,162,655,208,1466,263,1192,205
3.1,South Park,2749,408,180,74,27,28,9,18,135,70,9,23,2569,411,744,329,567,195,750,158,508,184
3.2,Georgetown,957,153,87,54,0,12,42,37,45,31,0,12,870,160,170,95,100,79,386,98,214,91
3.3,Duwamish/SODO,1984,359,172,97,29,34,25,27,62,61,56,45,1812,331,261,127,359,158,427,105,765,181
3.4,South Beacon Hill/NewHolly,9267,527,499,117,69,55,125,68,177,84,128,62,8768,529,2629,417,2182,362,1708,279,2249,339
3.5,Beacon Hill,7054,584,555,196,36,38,93,90,167,85,259,152,6499,588,1816,416,1177,246,1552,281,1954,397
3.6,North Beacon Hill/Jefferson Park,10280,519,534,169,33,39,206,117,159,85,136,70,9746,527,2266,407,1821,323,2234,376,3425,414
4.1,Rainier Beach,9876,598,676,175,0,27,150,81,301,143,225,85,9200,629,1838,343,2008,368,2826,434,2528,374
4.2,Columbia City,11969,635,818,204,122,66,164,91,366,146,166,82,11151,642,2170,364,1878,336,2850,398,4253,485
4.3,Seward Park,6509,395,566,135,18,22,115,55,206,82,227,94,5943,388,664,275,912,184,1405,236,2962,291
4.4,Mt. Baker/North Rainier,3991,376,190,109,21,27,0,17,86,74,83,72,3801,379,288,114,449,161,614,217,2450,234
5.1,Madrona/Leschi,7436,397,477,173,14,21,57,41,52,49,354,154,6959,377,157,109,541,250,1298,249,4963,386
5.2,Judkins Park,2226,239,106,56,0,12,44,32,25,29,37,29,2120,242,484,126,358,124,454,129,824,178
5.3,Central Area/Squire Park,12880,605,797,189,68,43,104,67,306,113,319,131,12083,620,754,242,1223,264,3074,436,7032,493
6.1,First Hill,10544,590,786,197,71,93,93,64,295,108,327,122,9758,573,1149,221,1560,305,2344,322,4705,477
6.2,Capitol Hill,16543,710,862,233,102,104,39,39,335,144,386,145,15681,711,405,177,1216,321,4980,606,9080,701
6.3,North Capitol Hill,3366,205,271,133,0,12,14,21,76,81,181,102,3095,219,93,101,174,102,533,145,2295,240
6.4,Miller Park,5325,298,340,86,0,17,39,28,116,54,185,70,4985,288,159,80,333,155,821,175,3672,200
6.5,Madison Park,4058,255,375,106,0,17,0,17,53,45,322,106,3683,243,27,38,181,104,695,208,2780,300
7.1,Montlake/Portage Bay,7117,305,552,146,0,21,14,25,161,78,377,114,6565,337,45,35,368,148,877,185,5275,325
7.2,University District,4699,558,405,159,40,67,73,62,161,122,131,69,4294,543,144,109,288,138,899,371,2963,389
7.3,Ravenna/Bryant,15715,487,976,172,34,46,111,61,253,95,578,147,14739,494,207,104,1111,252,2131,295,11290,496
7.4,Wedgwood/View Ridge,10976,362,699,141,20,36,69,57,147,76,463,120,10277,380,199,96,931,241,2087,270,7060,432
7.5,Laurelhurst/Sand Point,7131,323,579,169,19,39,27,28,137,116,396,109,6552,343,91,50,306,121,918,208,5237,353
8.1,Northgate/Maple Leaf,9757,432,730,152,29,50,161,80,200,80,340,119,9027,425,627,179,1157,249,2389,327,4854,394
8.2,Olympic Hills/Victory Heights,11016,469,769,184,56,52,184,99,239,111,290,106,10247,509,947,238,1378,319,2453,345,5469,481
8.3,Cedar Park/Meadowbrook,9278,433,533,126,38,39,43,35,162,71,290,97,8745,442,644,197,1438,382,2275,316,4388,378
9.1,Broadview/Bitter Lake,10661,621,1144,254,36,42,148,75,433,189,527,154,9517,552,797,255,1545,375,2950,370,4225,385
9.2,Licton Springs,6686,494,605,161,0,17,124,78,234,109,247,113,6081,481,457,198,668,247,1569,298,3387,499
9.3,Greenwood/Phinney Ridge,18199,547,1200,216,86,50,134,70,465,148,515,140,16999,561,600,204,1812,274,4145,421,10442,550
9.4,Green Lake,10857,557,616,162,0,24,118,72,199,101,299,108,10241,545,172,72,597,189,1678,328,7794,523
9.5,Haller Lake,7437,328,716,175,26,23,86,67,387,99,217,110,6721,358,473,178,1340,256,2224,371,2684,320
10.1,North Beach/Blue Ridge,8738,285,709,130,11,24,152,68,275,96,271,83,8029,299,478,209,923,185,2147,257,4481,308
10.2,Whittier Heights,9080,371,553,142,11,25,86,53,202,100,254,93,8527,380,268,115,905,220,1937,363,5417,416
10.3,Sunset Hill/Loyal Heights,10709,375,725,144,15,30,130,69,97,60,483,118,9984,394,227,107,879,226,2519,374,6359,410
10.4,Ballard,6003,452,424,215,9,18,25,33,195,115,195,184,5579,442,265,121,749,378,1232,346,3333,431
11.1,Fremont,12624,457,708,176,0,24,56,48,123,69,529,161,11916,480,173,96,519,148,2482,387,8742,510
11.2,Wallingford,10415,495,627,166,24,31,17,27,223,91,363,133,9788,475,238,95,672,162,1538,248,7340,502
11.3,Cascade/Eastlake,10448,711,770,192,56,54,55,47,369,147,290,115,9678,715,414,176,879,264,2534,375,5851,585
12.1,Magnolia,9208,312,1077,186,30,36,59,43,255,104,733,163,8131,337,163,83,397,153,1464,270,6107,410
12.2,Interbay,7836,406,588,175,0,21,32,33,212,112,344,132,7248,414,162,98,745,245,1854,269,4487,388
12.3,Queen Anne,27364,782,1778,299,26,44,221,98,521,203,1010,219,25586,781,365,166,1648,334,5498,515,18075,758
13.1,Belltown,7027,495,712,220,69,57,115,89,247,145,281,121,6315,523,196,122,398,193,1496,307,4225,483
13.2,Downtown Commercial Core,3576,395,244,119,26,59,53,41,113,68,52,41,3332,339,361,153,520,177,643,157,1808,265
13.3,Pioneer Square/International District,4088,296,298,97,19,23,56,42,136,76,87,58,3790,304,1301,221,566,189,812,147,1111,195
