area_id,area_name,b19065001,b19065001_moe
1.1,Arbor Heights,12429200,2114244
1.2,Fauntleroy/Seaview,28394200,3327860
1.3,West Seattle Junction/Genesee Hill,30093500,4029822
1.4,Alki/Admiral,27026700,3996939
2.1,North Delridge,6227600,1833938
2.2,High Point,6601600,1959374
2.3,Riverview,4988200,1070176
2.4,Roxhill/Westwood,16747100,2701046
2.5,Highland Park,11069400,2325797
3.1,South Park,2485200,824474
3.2,Georgetown,751000,446304
3.3,Duwamish/SODO,2856200,947304
3.4,South Beacon Hill/NewHolly,14175400,2222702
3.5,Beacon Hill,14460600,2095514
3.6,North Beacon Hill/Jefferson Park,18453500,3569681
4.1,Rainier Beach,19495100,3089606
4.2,Columbia City,25435500,4053642
4.3,Seward Park,13888200,2448906
4.4,Mt. Baker/North Rainier,6964600,1997334
5.1,Madrona/Leschi,16477500,2651782
5.2,Judkins Park,4392900,1028409
5.3,Central Area/Squire Park,19510700,3054655
6.1,First Hill,20802500,2840087
6.2,Capitol Hill,19875000,4370373
6.3,North Capitol Hill,6776700,2241723
6.4,Miller Park,6918600,1479774
6.5,Madison Park,16214800,2700328
7.1,Montlake/Portage Bay,15935100,2627530
7.2,University District,7902600,2631529
7.3,Ravenna/Bryant,32420900,3281684
7.4,Wedgwood/View Ridge,30771400,2941433
7.5,Laurelhurst/Sand Point,17937900,2731533
8.1,Northgate/Maple Leaf,21920900,3435526
8.2,Olympic Hills/Victory Heights,20757500,2963478
8.3,Cedar Park/Meadowbrook,19395700,3091119
9.1,Broadview/Bitter Lake,36168100,4164703
9.2,Licton Springs,6642300,1713173
9.3,Greenwood/Phinney Ridge,27447900,3398255
9.4,Green Lake,17672000,3005173
9.5,Haller Lake,16293300,2058720
10.1,North Beach/Blue Ridge,21389900,2307427
10.2,Whittier Heights,11875000,2430248
10.3,Sunset Hill/Loyal Heights,18697100,2788994
10.4,Ballard,7784500,2113848
11.1,Fremont,11075200,2589944
11.2,Wallingford,14386300,2395239
11.3,Cascade/Eastlake,16160100,2954098
12.1,Magnolia,29221300,3721479
12.2,Interbay,15355000,2819339
12.3,Queen Anne,56013600,6041487
13.1,Belltown,11824100,2814843
13.2,Downtown Commercial Core,5354300,2179668
13.3,Pioneer Square/International District,9441900,1672440
