area_id,area_name,b19301f001,b19301f001_moe
1.1,Arbor Heights,35931,14667
1.2,Fauntleroy/Seaview,60009,56631
1.3,West Seattle Junction/Genesee Hill,14640,14804
2.1,North Delridge,23224,24402
2.4,Roxhill/Westwood,37579,10500
2.5,Highland Park,39958,23157
3.1,South Park,11069,5202
3.2,Georgetown,14972,1500
3.3,Duwamish/SODO,15716,1850
3.4,South Beacon Hill/NewHolly,17068,2413
3.5,Beacon Hill,16318,20935
3.6,North Beacon Hill/Jefferson Park,26581,14288
4.1,Rainier Beach,16712,10408
4.2,Columbia City,48861,28037
4.3,Seward Park,35968,19210
5.1,Madrona/Leschi,403527,685675
5.3,Central Area/Squire Park,53097,42180
6.1,First Hill,34217,12503
6.2,Capitol Hill,118012,86764
6.4,Miller Park,40631,34720
7.2,University District,25273,13188
7.3,Ravenna/Bryant,82431,43056
8.1,Northgate/Maple Leaf,48263,13187
8.2,Olympic Hills/Victory Heights,84279,7469
8.3,Cedar Park/Meadowbrook,39523,9314
9.1,Broadview/Bitter Lake,34624,19728
9.2,Licton Springs,22004,12221
9.3,Greenwood/Phinney Ridge,149151,26453
9.4,Green Lake,49587,28361
9.5,Haller Lake,34941,9761
10.3,Sunset Hill/Loyal Heights,29018,14693
11.1,Fremont,13047,14321
11.2,Wallingford,23911,18785
11.3,Cascade/Eastlake,54694,34894
12.2,Interbay,45388,15338
12.3,Queen Anne,93047,46414
13.1,Belltown,8043,8437
13.2,Downtown Commercial Core,27469,17534
13.3,Pioneer Square/International District,13349,11665
