area_id,area_name,c15002b001,c15002b001_moe,c15002b002,c15002b002_moe,c15002b003,c15002b003_moe,c15002b004,c15002b004_moe,c15002b005,c15002b005_moe,c15002b006,c15002b006_moe,c15002b007,c15002b007_moe,c15002b008,c15002b008_moe,c15002b009,c15002b009_moe,c15002b010,c15002b010_moe,c15002b011,c15002b011_moe
1.1,Arbor Heights,69,59,69,59,0,17,14,23,55,54,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,170,100,106,68,5,20,36,41,25,41,40,46,64,75,0,24,1,17,56,75,7,24
1.3,West Seattle Junction/Genesee Hill,328,172,188,124,84,104,14,28,40,42,50,54,140,106,54,88,8,31,33,45,45,46
1.4,Alki/Admiral,266,147,146,102,0,24,0,24,57,69,89,78,120,92,5,20,47,70,44,46,24,42
2.1,North Delridge,326,198,114,83,0,12,12,18,52,77,50,49,212,147,0,12,10,16,82,87,120,117
2.2,High Point,938,257,304,118,25,32,69,54,91,73,119,64,634,175,146,113,189,142,254,139,45,44
2.3,Riverview,251,142,79,72,78,72,0,12,1,4,0,12,172,84,16,26,22,25,134,87,0,12
2.4,Roxhill/Westwood,799,248,354,139,0,21,60,47,232,129,62,69,445,171,70,47,46,59,159,90,170,126
2.5,Highland Park,390,83,178,71,39,34,0,21,36,42,103,73,212,60,82,66,20,32,110,57,0,21
3.1,South Park,130,69,50,45,0,17,14,27,24,31,12,23,80,48,9,18,15,29,56,43,0,17
3.2,Georgetown,27,36,11,19,0,12,0,12,11,19,0,12,16,21,0,12,8,15,0,12,8,15
3.3,Duwamish/SODO,324,208,241,160,23,27,104,85,39,48,75,80,83,81,0,12,0,12,16,21,67,77
3.4,South Beacon Hill/NewHolly,2277,384,1055,236,332,175,250,128,321,133,152,86,1222,245,298,121,335,145,391,163,198,108
3.5,Beacon Hill,651,251,240,128,21,32,13,26,82,73,124,104,411,193,212,137,82,72,55,57,62,51
3.6,North Beacon Hill/Jefferson Park,1267,225,603,198,209,130,170,114,153,119,71,79,664,162,265,174,200,125,185,109,14,30
4.1,Rainier Beach,2844,509,1374,306,162,104,469,213,540,201,203,114,1470,338,429,170,348,167,547,204,146,82
4.2,Columbia City,3137,474,1632,374,424,208,489,264,411,179,308,120,1505,265,267,113,229,109,765,223,244,122
4.3,Seward Park,1038,202,479,123,76,58,49,43,288,112,66,46,559,133,39,36,176,95,171,106,173,96
4.4,Mt. Baker/North Rainier,538,193,257,131,13,21,74,51,170,116,0,17,281,136,45,38,96,101,97,74,43,40
5.1,Madrona/Leschi,1607,311,769,231,42,47,183,112,279,169,265,145,838,244,74,95,183,167,278,128,303,109
5.2,Judkins Park,552,158,339,125,0,12,77,60,133,90,129,105,213,88,107,63,24,26,82,56,0,12
5.3,Central Area/Squire Park,2599,398,1323,304,198,102,387,151,472,210,266,117,1276,231,246,112,201,95,508,138,321,120
6.1,First Hill,1203,256,858,228,273,141,232,90,202,88,151,112,345,120,89,56,114,73,92,62,50,57
6.2,Capitol Hill,979,307,479,182,38,52,47,46,325,155,69,76,500,210,0,29,255,165,153,106,92,84
6.3,North Capitol Hill,20,29,0,12,0,12,0,12,0,12,0,12,20,29,0,12,2,6,18,29,0,12
6.4,Miller Park,474,136,237,82,26,39,41,43,96,59,74,52,237,87,36,36,44,50,110,62,47,39
6.5,Madison Park,72,61,20,23,0,17,0,17,0,17,20,23,52,45,0,17,0,17,21,24,31,36
7.1,Montlake/Portage Bay,218,113,157,102,11,25,35,40,17,30,94,80,61,78,0,21,0,21,0,21,61,78
7.2,University District,140,73,93,60,0,29,15,33,19,38,59,49,47,56,0,29,0,29,17,46,30,44
7.3,Ravenna/Bryant,297,146,166,87,8,31,20,43,20,45,118,75,131,82,0,32,27,36,48,51,56,65
7.4,Wedgwood/View Ridge,177,113,104,77,0,27,0,27,63,71,41,40,73,61,0,27,29,47,0,27,44,48
7.5,Laurelhurst/Sand Point,125,98,102,96,17,42,59,75,26,46,0,21,23,34,0,21,20,34,3,18,0,21
8.1,Northgate/Maple Leaf,376,164,269,171,90,79,135,125,44,42,0,24,107,70,0,24,0,24,12,28,95,67
8.2,Olympic Hills/Victory Heights,530,239,331,181,98,108,88,93,89,104,56,40,199,117,41,64,81,84,30,38,47,45
8.3,Cedar Park/Meadowbrook,416,187,209,105,48,63,9,28,115,70,37,37,207,123,67,77,12,25,116,92,12,30
9.1,Broadview/Bitter Lake,765,234,280,121,50,61,62,60,86,63,82,68,485,186,82,59,37,46,239,149,127,115
9.2,Licton Springs,318,177,184,104,30,50,0,17,139,90,15,26,134,90,31,53,0,17,85,72,18,30
9.3,Greenwood/Phinney Ridge,369,175,210,109,12,29,43,45,88,73,67,59,159,117,0,29,8,29,101,110,50,49
9.4,Green Lake,165,110,117,97,0,24,67,86,0,24,50,49,48,46,0,24,18,33,0,24,30,40
9.5,Haller Lake,381,217,231,136,11,26,54,55,112,113,54,53,150,99,10,24,62,57,78,84,0,21
10.1,North Beach/Blue Ridge,47,70,0,21,0,21,0,21,0,21,0,21,47,70,0,21,0,21,47,70,0,21
10.2,Whittier Heights,61,70,61,70,0,24,0,24,22,37,39,61,0,24,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,31,30,14,28,14,28,0,24,0,24,0,24,17,33,0,24,0,24,17,33,0,24
10.4,Ballard,58,49,0,17,0,17,0,17,0,17,0,17,58,49,0,17,0,17,19,32,39,47
11.1,Fremont,143,105,55,51,0,24,0,24,27,38,28,39,88,71,18,36,0,24,52,51,18,26
11.2,Wallingford,203,124,142,101,14,26,15,32,80,87,33,39,61,70,0,27,9,28,39,66,13,32
11.3,Cascade/Eastlake,575,179,348,138,108,67,50,53,132,94,58,57,227,117,47,34,55,48,40,59,85,85
12.1,Magnolia,23,30,17,32,0,24,0,24,0,24,17,32,6,21,0,24,0,24,6,21,0,24
12.2,Interbay,376,228,298,213,43,61,39,56,98,93,118,101,78,68,0,21,34,41,0,21,44,42
12.3,Queen Anne,792,327,567,247,114,125,49,73,287,179,117,103,225,153,0,40,95,109,32,63,98,79
13.1,Belltown,594,245,503,233,59,54,211,166,204,183,29,47,91,68,15,28,23,41,34,54,19,32
13.2,Downtown Commercial Core,382,161,345,167,136,128,64,47,104,68,41,43,37,39,26,30,0,12,11,26,0,12
13.3,Pioneer Square/International District,482,209,351,177,43,53,138,108,69,50,101,83,131,75,46,55,37,36,22,23,26,35
