area_id,area_name,b12005001,b12005001_moe,b12005002,b12005002_moe,b12005003,b12005003_moe,b12005004,b12005004_moe,b12005005,b12005005_moe,b12005006,b12005006_moe,b12005007,b12005007_moe,b12005008,b12005008_moe,b12005009,b12005009_moe,b12005010,b12005010_moe,b12005011,b12005011_moe,b12005012,b12005012_moe,b12005013,b12005013_moe,b12005014,b12005014_moe,b12005015,b12005015_moe,b12005016,b12005016_moe
1.1,Arbor Heights,5095,223,1430,250,1356,241,74,62,2761,295,2443,290,318,100,24,34,14,24,10,20,302,93,232,71,70,66,578,162,578,162,0,17
1.2,Fauntleroy/Seaview,11543,486,3261,415,2910,379,351,144,5957,546,5510,538,447,153,99,66,79,59,20,28,542,133,511,126,31,34,1684,324,1633,322,51,44
1.3,West Seattle Junction/Genesee Hill,15172,575,5395,553,4955,546,440,136,6887,503,6247,492,640,179,171,109,133,98,38,53,881,212,705,182,176,112,1838,287,1619,250,219,130
1.4,Alki/Admiral,9775,423,3169,386,2916,370,253,137,4725,446,4211,413,514,214,0,24,0,24,0,24,516,137,473,127,43,44,1365,249,1251,246,114,59
2.1,North Delridge,4151,265,1678,312,1536,314,142,87,1577,334,1146,273,431,293,67,68,16,26,51,64,193,86,127,67,66,60,636,168,571,158,65,57
2.2,High Point,5047,401,2249,471,1768,437,481,186,1727,272,1089,273,638,196,161,129,46,46,115,113,301,128,152,103,149,91,609,181,448,147,161,106
2.3,Riverview,3878,237,1572,233,1374,245,198,104,1487,215,1034,196,453,122,82,70,22,30,60,64,166,72,121,60,45,36,571,153,455,137,116,74
2.4,Roxhill/Westwood,10423,578,3871,469,3127,430,744,291,4399,520,2693,367,1706,354,230,131,126,103,104,81,467,114,400,102,67,53,1456,322,1190,308,266,101
2.5,Highland Park,5037,361,1786,369,1300,306,486,181,2328,392,1604,368,724,202,83,67,50,55,33,42,201,107,175,98,26,34,639,166,513,144,126,79
3.1,South Park,3243,414,1334,235,861,157,473,205,1382,324,544,139,838,293,110,63,42,41,68,56,175,70,87,50,88,62,242,90,204,86,38,33
3.2,Georgetown,1066,135,459,109,440,109,19,33,400,122,201,98,199,95,41,36,31,31,10,19,0,12,0,12,0,12,166,69,144,67,22,28
3.3,Duwamish/SODO,2265,367,1131,240,941,222,190,136,523,183,201,93,322,144,61,43,49,40,12,30,135,71,71,60,64,46,415,162,356,154,59,46
3.4,South Beacon Hill/NewHolly,11616,804,3964,596,2044,349,1920,489,5519,481,1379,289,4140,440,246,123,89,77,157,95,844,185,443,145,401,109,1043,219,424,134,619,187
3.5,Beacon Hill,7993,612,2845,542,1496,338,1349,460,3858,397,1339,321,2519,324,96,68,22,38,74,57,620,198,188,96,432,163,574,182,371,167,203,97
3.6,North Beacon Hill/Jefferson Park,11680,599,4392,580,3115,472,1277,371,5097,543,2504,378,2593,416,259,133,96,68,163,118,706,169,170,78,536,154,1226,277,799,240,427,166
4.1,Rainier Beach,11997,736,4386,633,3498,601,888,288,4610,485,2226,419,2384,390,313,155,190,115,123,106,840,194,484,151,356,130,1848,344,1470,310,378,172
4.2,Columbia City,13648,701,4846,586,3292,446,1554,428,6235,677,3595,472,2640,512,343,144,152,86,191,109,795,194,524,170,271,95,1429,334,928,222,501,237
4.3,Seward Park,7227,467,2013,367,1545,251,468,238,3673,321,2546,252,1127,237,73,52,16,21,57,46,581,176,370,146,211,103,887,171,672,140,215,98
4.4,Mt. Baker/North Rainier,4517,425,1645,392,1357,387,288,139,2027,271,1648,249,379,114,38,38,27,31,11,20,169,85,102,67,67,51,638,182,434,138,204,110
5.1,Madrona/Leschi,8388,452,2655,428,2381,426,274,125,4169,461,3659,459,510,202,53,62,53,62,0,21,415,136,338,123,77,55,1096,218,1011,195,85,67
5.2,Judkins Park,2607,266,1176,264,765,172,411,228,749,177,411,130,338,115,48,37,37,34,11,17,281,129,78,57,203,102,353,113,223,91,130,78
5.3,Central Area/Squire Park,14682,644,7638,633,6673,598,965,275,4361,438,3544,393,817,220,261,117,196,88,65,73,626,169,461,143,165,109,1796,303,1481,276,315,127
6.1,First Hill,14289,734,9031,663,7481,642,1550,271,2594,385,1768,303,826,228,432,144,218,103,214,106,670,162,551,152,119,63,1562,269,1260,237,302,123
6.2,Capitol Hill,19469,680,12949,753,11635,763,1314,331,3809,702,2706,539,1103,415,289,151,247,134,42,72,387,167,227,105,160,133,2035,395,1662,330,373,182
