area_id,area_name,c27001e001,c27001e001_moe,c27001e002,c27001e002_moe,c27001e003,c27001e003_moe,c27001e004,c27001e004_moe,c27001e005,c27001e005_moe,c27001e006,c27001e006_moe,c27001e007,c27001e007_moe,c27001e008,c27001e008_moe,c27001e009,c27001e009_moe,c27001e010,c27001e010_moe
1.1,Arbor Heights,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,57,82,0,24,0,24,0,24,57,82,57,82,0,24,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
1.4,Alki/Admiral,22,56,0,24,0,24,0,24,22,56,22,56,0,24,0,24,0,24,0,24
2.1,North Delridge,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.2,High Point,22,38,0,17,0,17,0,17,0,17,0,17,0,17,22,38,22,38,0,17
2.3,Riverview,59,53,38,47,38,47,0,12,10,16,10,16,0,12,11,16,11,16,0,12
2.4,Roxhill/Westwood,134,117,12,29,12,29,0,21,122,106,111,100,11,24,0,21,0,21,0,21
2.5,Highland Park,60,123,7,21,0,21,7,21,53,106,45,87,8,22,0,21,0,21,0,21
3.1,South Park,214,219,107,138,107,138,0,17,98,94,51,70,47,64,9,21,9,21,0,17
3.2,Georgetown,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,140,149,0,24,0,24,0,24,109,127,80,89,29,47,31,57,31,57,0,24
3.5,Beacon Hill,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,143,153,0,24,0,24,0,24,143,153,143,153,0,24,0,24,0,24,0,24
4.1,Rainier Beach,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
4.2,Columbia City,334,353,58,145,58,145,0,27,207,229,165,172,42,69,69,84,69,84,0,27
4.3,Seward Park,19,35,0,17,0,17,0,17,8,19,8,19,0,17,11,22,11,22,0,17
4.4,Mt. Baker/North Rainier,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
5.1,Madrona/Leschi,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
5.2,Judkins Park,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,9,26,0,24,0,24,0,24,9,26,9,26,0,24,0,24,0,24,0,24
