area_id,area_name,b19001d001,b19001d001_moe,b19001d002,b19001d002_moe,b19001d003,b19001d003_moe,b19001d004,b19001d004_moe,b19001d005,b19001d005_moe,b19001d006,b19001d006_moe,b19001d007,b19001d007_moe,b19001d008,b19001d008_moe,b19001d009,b19001d009_moe,b19001d010,b19001d010_moe,b19001d011,b19001d011_moe,b19001d012,b19001d012_moe,b19001d013,b19001d013_moe,b19001d014,b19001d014_moe,b19001d015,b19001d015_moe,b19001d016,b19001d016_moe,b19001d017,b19001d017_moe
1.1,Arbor Heights,106,53,0,17,0,17,13,23,20,25,13,23,0,17,0,17,0,17,0,17,0,17,6,16,9,18,0,17,23,32,0,17,22,27
1.2,Fauntleroy/Seaview,240,96,4,20,19,34,38,43,10,23,0,24,0,24,0,24,0,24,0,24,19,35,12,24,0,24,43,39,0,24,36,48,59,64
1.3,West Seattle Junction/Genesee Hill,178,79,0,29,0,29,0,29,11,31,0,29,0,29,0,29,14,33,26,36,32,33,9,28,33,43,0,29,0,29,26,35,27,41
1.4,Alki/Admiral,302,114,13,27,0,24,0,24,0,24,0,24,19,33,24,40,0,24,0,24,0,24,60,49,48,47,93,89,11,25,19,35,15,29
2.1,North Delridge,212,100,24,33,0,12,0,12,0,12,11,19,0,12,14,23,0,12,35,57,10,20,13,22,39,44,14,23,0,12,35,45,17,26
2.2,High Point,590,146,152,109,59,52,38,49,14,24,0,17,0,17,26,35,71,77,0,17,50,45,15,26,69,82,16,30,41,48,24,30,15,25
2.3,Riverview,228,61,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,17,0,12,9,16,32,30,70,41,21,26,0,12,16,19,65,43
2.4,Roxhill/Westwood,491,129,33,49,15,29,0,21,5,19,37,46,11,29,0,21,0,21,50,50,55,52,130,79,72,64,17,24,30,36,36,40,0,21
2.5,Highland Park,267,78,0,21,15,27,0,21,22,36,19,31,31,40,0,21,0,21,0,21,56,52,24,30,0,21,11,22,43,44,17,34,29,33
3.1,South Park,191,51,7,16,0,17,23,35,5,14,0,17,8,18,57,44,0,17,22,30,8,18,34,46,14,21,7,16,0,17,6,15,0,17
3.2,Georgetown,25,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,19,10,7,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,209,55,25,34,7,11,5,8,10,15,5,8,0,12,12,18,6,11,13,24,26,27,10,16,70,38,2,8,12,17,0,12,6,10
3.4,South Beacon Hill/NewHolly,2013,195,198,92,141,95,20,26,60,45,71,42,59,46,114,57,126,86,83,58,187,99,204,80,353,107,109,53,154,94,108,69,26,25
3.5,Beacon Hill,1505,186,46,49,42,40,72,54,54,52,19,23,11,19,54,49,84,55,57,55,221,96,183,91,215,112,145,86,151,85,122,100,29,30
3.6,North Beacon Hill/Jefferson Park,2271,215,290,129,220,102,111,75,51,43,95,57,119,111,60,79,105,58,202,119,272,124,286,135,161,92,168,81,22,32,60,68,49,40
4.1,Rainier Beach,1148,198,147,101,25,31,11,27,16,33,69,59,35,38,70,67,22,33,37,41,154,96,99,66,200,109,111,73,83,56,54,51,15,32
4.2,Columbia City,1359,191,82,48,61,70,38,41,175,111,0,27,134,97,99,91,35,36,62,63,94,60,92,57,202,92,155,93,39,40,42,43,49,38
4.3,Seward Park,565,83,30,36,30,33,6,17,46,49,36,46,13,22,18,29,12,18,43,35,39,34,73,47,147,67,7,16,7,16,44,35,14,23
4.4,Mt. Baker/North Rainier,382,82,75,50,0,17,76,64,13,22,14,22,58,64,0,17,11,18,0,17,13,20,8,18,41,43,26,33,18,23,29,37,0,17
