area_id,area_name,b11002a001,b11002a001_moe,b11002a002,b11002a002_moe,b11002a003,b11002a003_moe,b11002a004,b11002a004_moe,b11002a005,b11002a005_moe,b11002a006,b11002a006_moe,b11002a007,b11002a007_moe,b11002a008,b11002a008_moe,b11002a009,b11002a009_moe,b11002a010,b11002a010_moe,b11002a011,b11002a011_moe,b11002a012,b11002a012_moe
1.1,Arbor Heights,5391,363,4101,393,3443,430,3403,423,40,42,252,164,206,130,46,42,406,178,379,162,27,27,1290,238
1.2,Fauntleroy/Seaview,12608,677,8790,739,7664,723,7664,723,0,24,121,103,107,87,14,28,1005,321,920,287,85,59,3818,547
1.3,West Seattle Junction/Genesee Hill,16132,665,11113,750,9013,751,8877,725,136,92,487,216,448,203,39,39,1613,488,1440,431,173,102,5019,513
1.4,Alki/Admiral,9946,613,6355,645,5616,613,5479,559,137,105,328,302,305,289,23,41,411,190,365,166,46,49,3591,430
2.1,North Delridge,3536,446,1841,486,1541,438,1541,438,0,12,134,116,119,104,15,24,166,150,153,133,13,22,1695,337
2.2,High Point,2716,423,1611,354,1214,362,1177,339,37,59,21,35,21,35,0,17,376,203,335,176,41,38,1105,354
2.3,Riverview,2693,315,1860,322,1140,248,1132,249,8,12,243,141,211,125,32,39,477,224,449,215,28,26,833,229
2.4,Roxhill/Westwood,8613,763,6053,788,4867,819,4778,814,89,56,408,282,366,265,42,42,778,285,708,257,70,50,2560,350
2.5,Highland Park,3690,416,2483,452,1770,450,1745,442,25,32,179,142,164,133,15,28,534,342,518,336,16,29,1207,242
3.1,South Park,2739,614,2022,592,1129,611,961,467,168,161,240,198,223,185,17,27,653,399,638,394,15,29,717,315
3.2,Georgetown,810,186,351,205,312,189,312,189,0,12,39,69,20,35,19,34,0,12,0,12,0,12,459,95
3.3,Duwamish/SODO,970,242,282,165,186,104,178,97,8,13,0,12,0,12,0,12,96,108,92,107,4,7,688,186
3.4,South Beacon Hill/NewHolly,2067,399,1512,406,712,220,694,216,18,22,232,197,200,174,32,45,568,300,543,290,25,35,555,162
3.5,Beacon Hill,1963,465,1283,400,1090,388,1090,388,0,17,118,103,105,92,13,25,75,74,66,65,9,18,680,288
