area_id,area_name,b19037g001,b19037g001_moe,b19037g002,b19037g002_moe,b19037g003,b19037g003_moe,b19037g004,b19037g004_moe,b19037g005,b19037g005_moe,b19037g006,b19037g006_moe,b19037g007,b19037g007_moe,b19037g008,b19037g008_moe,b19037g009,b19037g009_moe,b19037g010,b19037g010_moe,b19037g011,b19037g011_moe,b19037g012,b19037g012_moe,b19037g013,b19037g013_moe,b19037g014,b19037g014_moe,b19037g015,b19037g015_moe,b19037g016,b19037g016_moe,b19037g017,b19037g017_moe,b19037g018,b19037g018_moe,b19037g019,b19037g019_moe,b19037g020,b19037g020_moe,b19037g021,b19037g021_moe,b19037g022,b19037g022_moe,b19037g023,b19037g023_moe,b19037g024,b19037g024_moe,b19037g025,b19037g025_moe,b19037g026,b19037g026_moe,b19037g027,b19037g027_moe,b19037g028,b19037g028_moe,b19037g029,b19037g029_moe,b19037g030,b19037g030_moe,b19037g031,b19037g031_moe,b19037g032,b19037g032_moe,b19037g033,b19037g033_moe,b19037g034,b19037g034_moe,b19037g035,b19037g035_moe,b19037g036,b19037g036_moe,b19037g037,b19037g037_moe,b19037g038,b19037g038_moe,b19037g039,b19037g039_moe,b19037g040,b19037g040_moe,b19037g041,b19037g041_moe,b19037g042,b19037g042_moe,b19037g043,b19037g043_moe,b19037g044,b19037g044_moe,b19037g045,b19037g045_moe,b19037g046,b19037g046_moe,b19037g047,b19037g047_moe,b19037g048,b19037g048_moe,b19037g049,b19037g049_moe,b19037g050,b19037g050_moe,b19037g051,b19037g051_moe,b19037g052,b19037g052_moe,b19037g053,b19037g053_moe,b19037g054,b19037g054_moe,b19037g055,b19037g055_moe,b19037g056,b19037g056_moe,b19037g057,b19037g057_moe,b19037g058,b19037g058_moe,b19037g059,b19037g059_moe,b19037g060,b19037g060_moe,b19037g061,b19037g061_moe,b19037g062,b19037g062_moe,b19037g063,b19037g063_moe,b19037g064,b19037g064_moe,b19037g065,b19037g065_moe,b19037g066,b19037g066_moe,b19037g067,b19037g067_moe,b19037g068,b19037g068_moe,b19037g069,b19037g069_moe
1.1,Arbor Heights,98,64,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,65,54,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,22,35,12,23,11,21,0,17,0,17,0,17,20,35,0,17,33,33,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,10,20,0,17,0,17,0,17,0,17,0,17,23,29,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,85,57,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,17,34,0,24,0,24,0,24,0,24,0,24,0,24,0,24,17,34,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,44,43,0,24,0,24,0,24,0,24,0,24,0,24,13,27,0,24,0,24,0,24,0,24,0,24,20,36,11,25,0,24,0,24,24,26,0,24,0,24,0,24,0,24,0,24,0,24,0,24,11,25,0,24,0,24,0,24,0,24,0,24,3,20,0,24,10,23
1.3,West Seattle Junction/Genesee Hill,226,107,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,153,87,0,29,0,29,0,29,11,30,0,29,0,29,0,29,0,29,0,29,35,58,0,29,35,42,0,29,19,38,33,45,20,34,73,66,0,29,0,29,0,29,0,29,0,29,0,29,0,29,38,48,0,29,9,28,0,29,0,29,0,29,0,29,0,29,26,48,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
1.4,Alki/Admiral,173,88,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,96,67,0,24,0,24,0,24,0,24,0,24,14,29,0,24,0,24,0,24,0,24,20,35,14,28,40,46,0,24,0,24,8,23,55,52,0,24,0,24,0,24,0,24,0,24,0,24,30,47,0,24,0,24,10,23,0,24,0,24,0,24,0,24,0,24,15,29,22,38,0,24,0,24,0,24,0,24,22,38,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,115,82,16,26,16,26,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,58,71,0,12,42,64,16,26,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,41,44,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,24,36,17,26,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.2,High Point,77,50,4,14,4,14,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,51,42,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,23,26,0,17,12,23,0,17,16,30,0,17,7,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,7,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,15,27,0,17,15,27,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
2.3,Riverview,125,66,49,55,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,23,0,12,0,12,34,48,0,12,0,12,0,12,68,67,0,12,0,12,0,12,0,12,0,12,0,12,0,12,32,48,0,12,0,12,29,47,7,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,229,98,13,25,0,21,13,25,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,143,82,0,21,17,32,0,21,13,26,0,21,11,24,0,21,0,21,0,21,0,21,18,34,77,66,7,21,0,21,0,21,0,21,59,45,14,29,0,21,0,21,0,21,0,21,15,31,0,21,0,21,0,21,0,21,21,26,0,21,0,21,0,21,0,21,9,23,14,27,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,14,27,0,21,0,21,0,21,0,21
2.5,Highland Park,117,101,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,46,51,0,21,0,21,23,37,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,23,36,0,21,0,21,71,78,25,41,0,21,0,21,0,21,46,70,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
3.1,South Park,68,61,24,40,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,24,40,0,17,0,17,0,17,0,17,0,17,28,43,0,17,23,41,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,5,16,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,16,29,0,17,16,29,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
