area_id,area_name,b17010001,b17010001_moe,b17010002,b17010002_moe,b17010003,b17010003_moe,b17010004,b17010004_moe,b17010005,b17010005_moe,b17010006,b17010006_moe,b17010007,b17010007_moe,b17010008,b17010008_moe,b17010009,b17010009_moe,b17010010,b17010010_moe,b17010011,b17010011_moe,b17010012,b17010012_moe,b17010013,b17010013_moe,b17010014,b17010014_moe,b17010015,b17010015_moe,b17010016,b17010016_moe,b17010017,b17010017_moe,b17010018,b17010018_moe,b17010019,b17010019_moe,b17010020,b17010020_moe,b17010021,b17010021_moe,b17010022,b17010022_moe,b17010023,b17010023_moe,b17010024,b17010024_moe,b17010025,b17010025_moe,b17010026,b17010026_moe,b17010027,b17010027_moe,b17010028,b17010028_moe,b17010029,b17010029_moe,b17010030,b17010030_moe,b17010031,b17010031_moe,b17010032,b17010032_moe,b17010033,b17010033_moe,b17010034,b17010034_moe,b17010035,b17010035_moe,b17010036,b17010036_moe,b17010037,b17010037_moe,b17010038,b17010038_moe,b17010039,b17010039_moe,b17010040,b17010040_moe,b17010041,b17010041_moe
1.1,Arbor Heights,1585,134,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,1585,134,1344,146,623,88,112,57,229,82,282,80,721,111,241,88,72,47,66,46,21,36,10,19,35,28,6,16,169,72,68,50,10,20,22,35,36,30,101,54
1.2,Fauntleroy/Seaview,3390,270,66,53,66,53,52,47,0,24,11,25,41,39,14,29,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,3324,271,2703,271,1150,149,315,124,200,103,635,167,1553,242,621,167,74,52,41,43,20,36,0,24,21,29,33,38,547,165,325,133,97,61,74,85,154,87,222,98
1.3,West Seattle Junction/Genesee Hill,4165,272,149,92,68,50,8,27,8,27,0,29,0,29,60,50,81,80,19,39,19,39,0,29,0,29,19,39,0,29,62,72,62,72,0,29,62,72,0,29,0,29,4016,285,3213,254,1472,169,491,139,229,90,752,148,1741,217,803,204,178,84,43,44,0,29,0,29,43,44,135,71,625,184,461,159,108,93,8,27,345,141,164,103
1.4,Alki/Admiral,2475,222,87,64,68,52,41,46,0,24,0,24,41,46,27,34,19,34,0,24,0,24,0,24,0,24,0,24,0,24,19,34,0,24,0,24,0,24,0,24,19,34,2388,226,2116,214,803,120,213,93,124,107,466,118,1313,214,272,124,119,102,32,43,23,41,0,24,9,23,87,94,153,69,121,59,43,47,0,24,78,52,32,34
2.1,North Delridge,979,163,32,35,0,12,0,12,0,12,0,12,0,12,0,12,32,35,15,24,15,24,15,24,0,12,0,12,0,12,17,26,0,12,0,12,0,12,0,12,17,26,947,159,740,153,362,123,224,120,63,58,75,63,378,131,207,97,98,68,28,32,0,12,0,12,28,32,70,55,109,67,61,53,14,22,14,23,33,40,48,46
2.2,High Point,1514,206,394,139,75,71,75,71,8,18,61,67,6,18,0,17,319,143,0,17,0,17,0,17,0,17,0,17,0,17,319,143,251,129,22,33,10,22,219,126,68,82,1120,183,743,143,313,131,151,93,47,48,115,81,430,107,377,145,42,38,32,31,0,17,0,17,32,31,10,19,335,139,215,129,77,106,20,33,118,76,120,75
2.3,Riverview,1096,109,81,70,0,12,0,12,0,12,0,12,0,12,0,12,81,70,0,12,0,12,0,12,0,12,0,12,0,12,81,70,72,69,0,12,0,12,72,69,9,14,1015,101,638,110,336,93,73,50,53,30,210,87,302,81,377,95,146,82,102,69,9,15,0,12,93,69,44,48,231,84,112,62,18,20,47,55,47,43,119,49
2.4,Roxhill/Westwood,2961,229,354,129,239,108,164,88,0,21,116,77,48,49,75,68,115,77,17,32,17,32,17,32,0,21,0,21,0,21,98,73,89,73,18,34,20,37,51,59,9,23,2607,251,1792,240,823,160,295,95,106,62,422,112,969,189,815,195,339,155,82,57,3,18,22,37,57,49,257,153,476,129,342,109,70,42,0,21,272,103,134,66
2.5,Highland Park,1348,186,31,28,0,21,0,21,0,21,0,21,0,21,0,21,31,28,14,26,14,26,0,21,0,21,14,26,0,21,17,30,17,30,0,21,0,21,17,30,0,21,1317,189,979,190,283,95,83,73,90,62,110,61,696,180,338,132,87,65,87,65,0,21,0,21,87,65,0,21,251,111,200,107,80,77,17,30,103,62,51,42
3.1,South Park,823,106,144,83,22,30,22,30,0,17,0,17,22,30,0,17,122,78,19,30,19,30,0,17,0,17,19,30,0,17,103,75,94,75,0,17,50,55,44,48,9,19,679,122,472,117,323,103,56,39,85,60,182,83,149,66,207,86,79,58,45,41,29,36,0,17,16,24,34,47,128,76,55,48,0,17,37,48,18,23,73,49
