area_id,area_name,b13002h001,b13002h001_moe,b13002h002,b13002h002_moe,b13002h003,b13002h003_moe,b13002h004,b13002h004_moe,b13002h005,b13002h005_moe,b13002h006,b13002h006_moe,b13002h007,b13002h007_moe
1.1,Arbor Heights,1106,162,30,32,30,32,0,17,1076,163,570,114,506,135
1.2,Fauntleroy/Seaview,2879,246,96,59,66,48,30,35,2783,255,1609,233,1174,218
1.3,West Seattle Junction/Genesee Hill,3802,328,235,93,235,93,0,29,3567,337,1513,215,2054,318
1.4,Alki/Admiral,2245,282,139,90,139,90,0,24,2106,263,859,144,1247,241
2.1,North Delridge,1005,193,131,95,112,80,19,30,874,201,316,101,558,174
2.2,High Point,859,163,31,36,31,36,0,17,828,169,326,105,502,173
2.3,Riverview,588,124,9,14,0,12,9,14,579,124,292,75,287,104
2.4,Roxhill/Westwood,1975,257,97,55,73,45,24,34,1878,252,724,150,1154,223
2.5,Highland Park,575,135,26,35,26,35,0,21,549,145,259,108,290,130
3.1,South Park,241,63,6,15,6,15,0,17,235,64,114,44,121,57
3.2,Georgetown,194,72,4,7,4,7,0,12,190,71,84,50,106,62
3.3,Duwamish/SODO,308,124,19,37,4,8,15,37,289,107,18,26,271,101
3.4,South Beacon Hill/NewHolly,406,161,0,24,0,24,0,24,406,161,149,69,257,141
3.5,Beacon Hill,493,129,31,40,31,40,0,17,462,130,260,115,202,91
3.6,North Beacon Hill/Jefferson Park,1378,216,158,89,136,82,22,39,1220,203,697,156,523,169
4.1,Rainier Beach,892,215,0,27,0,27,0,27,892,215,337,128,555,191
4.2,Columbia City,1559,234,98,61,98,61,0,27,1461,244,684,188,777,194
4.3,Seward Park,1173,158,77,45,77,45,0,17,1096,161,515,98,581,147
4.4,Mt. Baker/North Rainier,807,192,42,37,42,37,0,17,765,196,261,115,504,182
5.1,Madrona/Leschi,1725,271,81,59,81,59,0,21,1644,275,666,145,978,255
5.2,Judkins Park,169,61,36,42,36,42,0,12,133,55,77,39,56,37
5.3,Central Area/Squire Park,3408,341,242,117,199,104,43,56,3166,343,875,169,2291,318
6.1,First Hill,3121,419,23,43,0,24,23,43,3098,418,473,141,2625,391
6.2,Capitol Hill,5652,547,116,84,85,78,31,43,5536,553,1104,302,4432,491
6.3,North Capitol Hill,831,177,23,28,23,28,0,12,808,178,239,97,569,157
6.4,Miller Park,1555,176,87,53,77,48,10,26,1468,182,560,120,908,149
6.5,Madison Park,1068,198,11,18,11,18,0,17,1057,197,424,122,633,179
7.1,Montlake/Portage Bay,2562,364,59,40,34,31,25,29,2503,365,663,117,1840,382
7.2,University District,5166,643,104,83,65,77,39,38,5062,646,425,141,4637,639
7.3,Ravenna/Bryant,5367,450,235,83,235,83,0,32,5132,461,2064,262,3068,408
7.4,Wedgwood/View Ridge,2415,260,118,58,109,57,9,28,2297,266,1116,159,1181,222
7.5,Laurelhurst/Sand Point,2325,302,174,86,166,84,8,25,2151,313,890,157,1261,267
8.1,Northgate/Maple Leaf,2294,292,113,65,86,50,27,48,2181,283,941,185,1240,231
8.2,Olympic Hills/Victory Heights,2289,316,68,45,68,45,0,24,2221,315,972,187,1249,248
8.3,Cedar Park/Meadowbrook,1945,242,81,67,32,35,49,60,1864,245,850,153,1014,217
9.1,Broadview/Bitter Lake,1863,300,137,77,133,75,4,23,1726,296,858,194,868,241
9.2,Licton Springs,2211,303,104,65,104,65,0,17,2107,307,673,189,1434,315
9.3,Greenwood/Phinney Ridge,5497,341,314,101,302,99,12,32,5183,355,2456,267,2727,313
9.4,Green Lake,3139,369,163,88,163,88,0,24,2976,375,1239,192,1737,345
9.5,Haller Lake,1337,219,50,43,50,43,0,21,1287,216,702,180,585,187
10.1,North Beach/Blue Ridge,2117,241,64,56,64,56,0,21,2053,236,1206,158,847,181
10.2,Whittier Heights,2950,290,279,121,268,115,11,25,2671,312,1179,202,1492,262
10.3,Sunset Hill/Loyal Heights,3241,358,186,81,175,80,11,24,3055,361,1308,177,1747,371
10.4,Ballard,1504,231,106,99,106,99,0,17,1398,276,381,141,1017,240
11.1,Fremont,4488,385,160,92,124,84,36,43,4328,400,1342,201,2986,382
11.2,Wallingford,3929,541,143,72,131,72,12,27,3786,546,1036,150,2750,537
11.3,Cascade/Eastlake,2852,422,60,75,60,75,0,21,2792,419,495,204,2297,380
12.1,Magnolia,2282,361,206,116,206,116,0,24,2076,367,1170,159,906,343
12.2,Interbay,2428,289,63,49,39,38,24,32,2365,289,918,173,1447,243
12.3,Queen Anne,9158,736,370,133,326,126,44,62,8788,741,2710,315,6078,725
13.1,Belltown,1663,306,0,21,0,21,0,21,1663,306,542,152,1121,264
13.2,Downtown Commercial Core,634,159,9,16,9,16,0,12,625,160,171,83,454,145
13.3,Pioneer Square/International District,361,116,18,30,18,30,0,17,343,118,46,32,297,109
