area_id,area_name,b17001f001,b17001f001_moe,b17001f002,b17001f002_moe,b17001f003,b17001f003_moe,b17001f004,b17001f004_moe,b17001f005,b17001f005_moe,b17001f006,b17001f006_moe,b17001f007,b17001f007_moe,b17001f008,b17001f008_moe,b17001f009,b17001f009_moe,b17001f010,b17001f010_moe,b17001f011,b17001f011_moe,b17001f012,b17001f012_moe,b17001f013,b17001f013_moe,b17001f014,b17001f014_moe,b17001f015,b17001f015_moe,b17001f016,b17001f016_moe,b17001f017,b17001f017_moe,b17001f018,b17001f018_moe,b17001f019,b17001f019_moe,b17001f020,b17001f020_moe,b17001f021,b17001f021_moe,b17001f022,b17001f022_moe,b17001f023,b17001f023_moe,b17001f024,b17001f024_moe,b17001f025,b17001f025_moe,b17001f026,b17001f026_moe,b17001f027,b17001f027_moe,b17001f028,b17001f028_moe,b17001f029,b17001f029_moe,b17001f030,b17001f030_moe,b17001f031,b17001f031_moe,b17001f032,b17001f032_moe,b17001f033,b17001f033_moe,b17001f034,b17001f034_moe,b17001f035,b17001f035_moe,b17001f036,b17001f036_moe,b17001f037,b17001f037_moe,b17001f038,b17001f038_moe,b17001f039,b17001f039_moe,b17001f040,b17001f040_moe,b17001f041,b17001f041_moe,b17001f042,b17001f042_moe,b17001f043,b17001f043_moe,b17001f044,b17001f044_moe,b17001f045,b17001f045_moe,b17001f046,b17001f046_moe,b17001f047,b17001f047_moe,b17001f048,b17001f048_moe,b17001f049,b17001f049_moe,b17001f050,b17001f050_moe,b17001f051,b17001f051_moe,b17001f052,b17001f052_moe,b17001f053,b17001f053_moe,b17001f054,b17001f054_moe,b17001f055,b17001f055_moe,b17001f056,b17001f056_moe,b17001f057,b17001f057_moe,b17001f058,b17001f058_moe,b17001f059,b17001f059_moe
10.3,Sunset Hill/Loyal Heights,86,66,19,33,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,19,33,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,19,33,0,24,67,60,41,40,0,24,0,24,0,24,0,24,0,24,0,24,9,23,0,24,18,31,0,24,14,27,0,24,0,24,26,34,0,24,0,24,0,24,0,24,0,24,0,24,0,24,13,28,0,24,0,24,13,27,0,24,0,24
10.4,Ballard,30,36,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,30,36,15,26,0,17,0,17,0,17,0,17,0,17,0,17,0,17,15,26,0,17,0,17,0,17,0,17,0,17,15,25,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,15,25,0,17,0,17,0,17,0,17
11.1,Fremont,119,82,10,31,10,31,0,24,0,24,0,24,0,24,0,24,0,24,10,31,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,109,78,26,31,14,30,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,12,26,0,24,83,72,0,24,0,24,0,24,0,24,0,24,0,24,15,30,55,67,13,30,0,24,0,24,0,24,0,24
11.2,Wallingford,167,136,105,116,68,85,0,27,0,27,0,27,0,27,0,27,0,27,64,85,2,21,2,21,0,27,0,27,0,27,0,27,37,61,0,27,0,27,0,27,0,27,0,27,0,27,37,61,0,27,0,27,0,27,0,27,0,27,0,27,62,77,62,77,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,62,77,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
11.3,Cascade/Eastlake,283,205,58,62,26,39,0,21,0,21,0,21,0,21,0,21,0,21,0,21,15,30,11,32,0,21,0,21,0,21,0,21,32,53,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,32,53,0,21,225,195,181,191,52,84,0,21,0,21,0,21,0,21,0,21,30,36,58,97,41,67,0,21,0,21,0,21,0,21,44,44,0,21,0,21,0,21,0,21,0,21,0,21,0,21,34,43,0,21,0,21,0,21,0,21,10,23
12.1,Magnolia,72,83,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,72,83,72,83,47,74,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,25,44,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
12.2,Interbay,60,52,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,60,52,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,60,52,0,21,0,21,0,21,0,21,0,21,0,21,11,22,39,48,0,21,0,21,10,22,0,21,0,21
12.3,Queen Anne,459,192,123,135,64,101,0,40,0,40,0,40,0,40,0,40,0,40,27,56,0,40,37,93,0,40,0,40,0,40,0,40,59,74,0,40,0,40,0,40,0,40,0,40,0,40,30,61,14,44,0,40,15,52,0,40,0,40,0,40,336,138,150,84,0,40,0,40,19,47,10,40,16,44,0,40,27,44,46,56,0,40,28,47,4,39,0,40,0,40,186,106,0,40,0,40,0,40,19,47,32,64,0,40,0,40,119,92,0,40,16,44,0,40,0,40,0,40
13.1,Belltown,147,115,56,79,38,66,0,21,0,21,0,21,0,21,0,21,0,21,38,66,0,21,0,21,0,21,0,21,0,21,0,21,18,46,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,18,46,0,21,0,21,91,83,14,29,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,14,29,0,21,0,21,0,21,0,21,77,80,0,21,0,21,0,21,0,21,0,21,0,21,0,21,7,21,39,63,0,21,31,49,0,21,0,21
13.2,Downtown Commercial Core,111,97,32,38,19,24,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5,12,14,21,0,12,0,12,0,12,0,12,13,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,29,0,12,0,12,79,91,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,79,91,0,12,0,12,0,12,0,12,0,12,0,12,0,12,67,89,12,20,0,12,0,12,0,12,0,12
13.3,Pioneer Square/International District,64,54,39,41,28,37,0,17,0,17,0,17,0,17,0,17,0,17,28,37,0,17,0,17,0,17,0,17,0,17,0,17,11,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,11,22,0,17,0,17,0,17,0,17,0,17,25,36,25,36,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,25,36,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
