area_id,area_name,b06003001,b06003001_moe,b06003002,b06003002_moe,b06003003,b06003003_moe,b06003004,b06003004_moe,b06003005,b06003005_moe,b06003006,b06003006_moe,b06003007,b06003007_moe,b06003008,b06003008_moe,b06003009,b06003009_moe,b06003010,b06003010_moe,b06003011,b06003011_moe,b06003012,b06003012_moe,b06003013,b06003013_moe,b06003014,b06003014_moe,b06003015,b06003015_moe
10.1,North Beach/Blue Ridge,11519,481,5765,401,5754,325,5474,429,2666,309,2808,284,4549,378,2283,275,2266,211,234,100,134,70,100,73,1262,374,682,284,580,147
10.2,Whittier Heights,11802,443,5810,342,5992,317,5011,480,2394,350,2617,286,5831,457,2989,318,2842,278,181,84,137,74,44,32,779,194,290,119,489,138
10.3,Sunset Hill/Loyal Heights,13976,595,6797,390,7179,405,6590,593,3475,373,3115,363,6027,488,2855,316,3172,342,132,78,40,37,92,68,1227,249,427,126,800,200
10.4,Ballard,7173,508,3689,385,3484,397,2468,399,1241,283,1227,308,3588,421,1911,296,1677,296,173,106,133,93,40,45,944,401,404,211,540,271
11.1,Fremont,15498,538,7944,494,7554,502,5546,535,2874,407,2672,398,8006,561,4240,410,3766,386,457,160,111,63,346,146,1489,297,719,190,770,200
11.2,Wallingford,16385,902,8603,591,7782,636,6291,581,3255,432,3036,364,8108,652,4381,434,3727,435,338,174,157,102,181,96,1648,295,810,192,838,220
11.3,Cascade/Eastlake,12421,809,6773,647,5648,553,3227,523,1701,371,1526,338,6640,636,3676,426,2964,406,296,124,132,73,164,104,2258,538,1264,488,994,268
12.1,Magnolia,12590,649,5933,326,6657,543,5460,511,2742,324,2718,353,5322,479,2496,271,2826,354,295,130,122,84,173,107,1513,279,573,172,940,205
12.2,Interbay,10022,523,4830,413,5192,389,3271,406,1421,265,1850,350,5176,429,2742,345,2434,322,193,106,0,21,193,106,1382,387,667,264,715,199
12.3,Queen Anne,37065,1129,18228,971,18837,861,13516,969,6669,745,6847,622,18908,950,9299,681,9609,683,892,222,431,155,461,159,3749,466,1829,358,1920,290
13.1,Belltown,8266,580,4817,475,3449,381,1895,363,916,264,979,263,4621,448,2782,337,1839,288,205,115,131,90,74,64,1545,384,988,315,557,194
13.2,Downtown Commercial Core,3887,428,2451,355,1436,214,774,192,526,176,248,73,2211,393,1411,299,800,203,154,112,95,88,59,69,748,209,419,177,329,118
13.3,Pioneer Square/International District,5258,566,3052,364,2206,315,1300,320,846,243,454,155,1429,221,952,180,477,130,59,48,33,39,26,25,2470,361,1221,211,1249,210
