area_id,area_name,b16009001,b16009001_moe,b16009002,b16009002_moe,b16009003,b16009003_moe,b16009004,b16009004_moe,b16009005,b16009005_moe,b16009006,b16009006_moe,b16009007,b16009007_moe,b16009008,b16009008_moe,b16009009,b16009009_moe,b16009010,b16009010_moe,b16009011,b16009011_moe,b16009012,b16009012_moe,b16009013,b16009013_moe,b16009014,b16009014_moe,b16009015,b16009015_moe,b16009016,b16009016_moe,b16009017,b16009017_moe,b16009018,b16009018_moe,b16009019,b16009019_moe,b16009020,b16009020_moe,b16009021,b16009021_moe,b16009022,b16009022_moe,b16009023,b16009023_moe,b16009024,b16009024_moe,b16009025,b16009025_moe,b16009026,b16009026_moe,b16009027,b16009027_moe
1.1,Arbor Heights,5807,258,161,72,0,17,0,17,0,17,0,17,0,17,0,17,161,72,121,59,0,17,0,17,40,42,0,17,5646,262,870,137,790,138,32,38,8,18,40,60,0,17,4776,205,4279,250,210,123,129,74,142,98,16,29
1.2,Fauntleroy/Seaview,12766,594,782,272,102,85,89,75,13,27,0,24,0,24,0,24,680,227,615,213,46,43,15,29,4,20,0,24,11984,621,1510,285,1458,287,30,53,17,33,5,20,0,24,10474,472,9434,498,215,120,431,193,337,125,57,56
1.3,West Seattle Junction/Genesee Hill,16584,573,1185,311,172,109,103,81,0,29,51,72,18,37,0,29,1013,273,793,238,72,59,138,110,10,29,0,29,15399,631,2261,288,1977,281,24,43,121,86,124,101,15,33,13138,534,11780,560,292,166,547,189,486,170,33,39
1.4,Alki/Admiral,10506,472,785,245,57,50,19,36,0,24,0,24,0,24,38,43,728,225,561,193,13,27,73,85,0,24,81,86,9721,434,1051,183,918,206,66,81,67,78,0,24,0,24,8670,411,7735,435,262,163,423,209,250,133,0,24
2.1,North Delridge,4387,280,396,172,0,12,0,12,0,12,0,12,0,12,0,12,396,172,361,169,0,12,0,12,35,38,0,12,3991,298,302,141,260,147,0,12,28,41,14,23,0,12,3689,251,2768,335,207,167,272,201,335,200,107,157
2.2,High Point,5858,430,1949,412,583,183,271,185,22,40,0,17,94,94,196,172,1366,320,684,238,47,61,22,29,326,150,287,156,3909,476,497,228,360,163,0,17,0,17,25,34,112,161,3412,361,2464,345,18,28,23,41,729,212,178,168
2.3,Riverview,4413,275,397,215,103,109,46,58,0,12,0,12,0,12,57,93,294,127,266,120,1,2,0,12,0,12,27,43,4016,270,665,141,575,133,0,12,0,12,90,68,0,12,3351,237,2606,293,102,90,54,52,569,189,20,22
2.4,Roxhill/Westwood,11685,653,1591,483,391,233,18,34,296,221,0,21,77,77,0,21,1200,328,498,170,354,178,0,21,296,213,52,56,10094,676,1262,242,819,195,266,134,42,54,108,79,27,49,8832,573,6238,447,1206,447,217,122,883,260,288,206
2.5,Highland Park,5476,407,640,205,78,66,45,54,33,54,0,21,0,21,0,21,562,173,442,175,92,78,13,24,15,27,0,21,4836,421,649,184,367,158,32,47,0,21,224,130,26,30,4187,373,2866,363,322,206,57,72,658,241,284,157
3.1,South Park,3906,510,869,354,319,229,171,161,141,137,0,17,0,17,7,18,550,200,266,121,261,163,0,17,23,28,0,17,3037,579,598,208,95,49,261,159,0,17,242,147,0,17,2439,442,1036,169,799,389,14,24,578,143,12,23
3.2,Georgetown,1160,143,144,93,0,12,0,12,0,12,0,12,0,12,0,12,144,93,126,93,9,16,9,14,0,12,0,12,1016,126,109,40,29,30,32,47,0,12,48,33,0,12,907,115,615,107,135,118,41,42,116,72,0,12
3.3,Duwamish/SODO,2322,378,591,222,0,12,0,12,0,12,0,12,0,12,0,12,591,222,485,193,32,53,6,10,61,49,7,16,1731,232,177,39,109,90,0,12,0,12,68,68,0,12,1554,225,1125,148,144,128,23,44,251,110,11,18
3.4,South Beacon Hill/NewHolly,14285,1111,3303,910,1409,599,386,194,0,24,0,24,132,104,891,533,1894,436,515,206,14,38,0,24,706,279,659,309,10982,956,1985,407,715,201,13,26,0,24,923,315,334,223,8997,680,2997,394,191,95,70,42,4677,644,1062,422
3.5,Beacon Hill,8640,653,746,285,89,98,38,67,0,17,0,17,51,73,0,17,657,243,216,96,64,81,0,17,297,205,80,120,7894,676,828,193,330,160,37,66,14,25,378,126,69,86,7066,613,2608,402,259,237,201,136,3835,631,163,103
3.6,North Beacon Hill/Jefferson Park,12985,659,1847,447,230,158,68,70,0,24,0,24,53,60,109,139,1617,362,779,254,151,121,0,24,593,209,94,118,11138,708,1358,271,434,183,274,187,0,24,420,162,230,136,9780,606,4929,497,632,306,210,121,3611,462,398,170
4.1,Rainier Beach,14151,979,2506,675,686,338,349,207,40,54,0,27,178,135,119,191,1820,436,929,294,145,161,0,27,451,260,295,181,11645,1042,2116,545,1353,448,261,178,0,27,313,291,189,160,9529,734,5835,624,565,280,141,110,2436,492,552,271
4.2,Columbia City,15019,718,2427,548,509,250,300,198,0,27,0,27,195,147,14,32,1918,415,910,240,88,99,33,35,568,227,319,246,12592,861,1571,313,865,214,181,115,8,28,392,155,125,145,11021,757,6378,597,636,288,247,129,2814,434,946,359
4.3,Seward Park,7973,505,912,411,128,146,10,19,80,130,0,17,0,17,38,62,784,307,356,164,243,230,14,21,126,95,45,43,7061,407,998,171,797,158,22,37,31,29,105,62,43,45,6063,359,4219,334,324,260,244,154,951,186,325,152
4.4,Mt. Baker/North Rainier,5200,458,763,312,131,105,69,81,0,17,0,17,62,58,0,17,632,259,411,212,0,17,0,17,221,158,0,17,4437,479,778,214,499,190,44,51,96,73,103,128,36,51,3659,373,2975,295,164,108,96,80,273,172,151,154
5.1,Madrona/Leschi,9185,515,661,283,0,21,0,21,0,21,0,21,0,21,0,21,661,283,591,283,14,36,11,23,18,34,27,31,8524,517,1108,224,1013,231,28,33,22,25,45,31,0,21,7416,450,6579,504,296,168,217,108,262,106,62,87
5.2,Judkins Park,2648,279,703,231,43,54,0,12,0,12,0,12,43,54,0,12,660,192,275,105,0,12,0,12,362,164,23,35,1945,305,143,101,116,98,0,12,0,12,10,16,17,29,1802,271,1039,209,149,172,87,95,484,126,43,60
5.3,Central Area/Squire Park,15635,726,2251,487,287,223,144,102,0,24,0,24,0,24,143,198,1964,372,1460,288,54,69,62,51,238,183,150,133,13384,682,1118,245,905,239,135,89,13,29,7,25,58,72,12266,593,10585,578,485,171,521,163,418,201,257,170
6.1,First Hill,11217,595,3132,468,124,61,39,49,0,24,0,24,68,52,17,27,3008,457,1925,370,124,92,110,97,706,257,143,94,8085,571,112,124,75,95,37,77,0,24,0,24,0,24,7973,533,6096,496,451,175,621,194,581,214,224,123
6.2,Capitol Hill,19620,701,2716,405,15,37,0,29,0,29,0,29,0,29,15,37,2701,397,2072,337,195,130,149,119,158,85,127,134,16904,700,224,90,135,102,0,29,44,55,29,52,16,37,16680,680,14119,690,662,321,1079,321,636,287,184,168
6.3,North Capitol Hill,3798,196,272,123,0,12,0,12,0,12,0,12,0,12,0,12,272,123,272,123,0,12,0,12,0,12,0,12,3526,199,216,75,189,64,0,12,27,33,0,12,0,12,3310,190,3014,233,64,51,99,89,133,94,0,12
6.4,Miller Park,6841,408,669,193,11,21,11,21,0,17,0,17,0,17,0,17,658,191,529,170,22,24,40,31,63,58,4,16,6172,364,929,229,905,228,5,16,7,17,12,20,0,17,5243,258,4774,276,92,63,221,92,147,77,9,19
6.5,Madison Park,4925,329,199,129,0,17,0,17,0,17,0,17,0,17,0,17,199,129,137,94,0,17,0,17,62,91,0,17,4726,351,718,168,695,161,0,17,23,26,0,17,0,17,4008,284,3446,294,76,54,340,173,117,103,29,35
7.1,Montlake/Portage Bay,9003,473,585,212,26,43,26,43,0,21,0,21,0,21,0,21,559,196,506,195,0,21,44,45,9,22,0,21,8418,442,757,145,714,145,0,21,43,53,0,21,0,21,7661,393,6934,401,206,125,294,117,215,122,12,24
7.2,University District,11248,1192,5515,926,15,28,15,28,0,29,0,29,0,29,0,29,5500,926,3872,900,256,236,233,127,1097,267,42,52,5733,590,320,96,320,96,0,29,0,29,0,29,0,29,5413,587,4535,594,70,59,159,112,613,199,36,65
7.3,Ravenna/Bryant,22255,789,3765,549,152,82,87,67,13,34,20,43,0,32,32,44,3613,534,2667,454,179,95,188,97,571,318,8,31,18490,593,2302,225,2122,221,42,45,29,43,109,73,0,32,16188,540,13890,550,363,115,859,274,959,321,117,78
7.4,Wedgwood/View Ridge,14113,442,785,182,93,76,57,67,8,27,0,27,28,48,0,27,692,155,495,132,35,41,69,77,78,77,15,34,13328,430,2151,191,1901,208,46,52,56,45,148,76,0,27,11177,360,9088,369,290,114,643,194,1019,248,137,98
7.5,Laurelhurst/Sand Point,10091,539,1040,300,103,92,90,89,0,21,13,25,0,21,0,21,937,272,673,219,67,76,13,24,106,69,78,129,9051,504,1822,258,1522,237,77,80,33,41,190,138,0,21,7229,350,5917,372,144,121,401,148,752,273,15,29
8.1,Northgate/Maple Leaf,12553,549,1802,361,137,92,72,62,11,28,0,24,20,37,34,57,1665,332,996,256,158,116,78,76,366,157,67,62,10751,605,1026,218,815,190,0,24,100,78,111,82,0,24,9725,502,7209,452,492,256,512,163,992,264,520,278
8.2,Olympic Hills/Victory Heights,13795,624,1588,363,214,111,92,82,74,86,0,24,48,43,0,24,1374,305,705,205,141,161,147,160,259,168,122,114,12207,653,1243,221,1064,204,87,64,24,29,51,44,17,32,10964,559,8624,541,489,165,154,97,1459,413,238,154
8.3,Cedar Park/Meadowbrook,11361,568,1580,375,242,152,48,61,82,85,81,105,6,26,25,50,1338,273,845,198,184,161,119,80,135,88,55,62,9781,574,1098,213,877,197,76,70,4,26,81,68,60,80,8683,483,7105,439,461,243,306,130,622,184,189,145
9.1,Broadview/Bitter Lake,12809,777,2006,610,67,65,59,65,8,27,0,27,0,27,0,27,1939,603,1293,532,2,21,193,134,361,260,90,83,10803,626,1413,299,1080,240,55,52,88,75,53,48,137,180,9390,516,7679,470,320,149,469,171,557,213,365,226
9.2,Licton Springs,8264,425,1206,325,109,93,60,70,0,17,35,55,14,25,0,17,1097,277,591,197,130,116,97,116,248,120,31,50,7058,417,288,157,272,158,16,25,0,17,0,17,0,17,6770,372,5407,401,623,268,133,91,573,219,34,50
9.3,Greenwood/Phinney Ridge,22010,699,1634,311,66,62,66,62,0,29,0,29,0,29,0,29,1568,291,1202,250,58,50,137,81,149,126,22,34,20376,746,2468,299,2185,295,71,82,68,48,124,80,20,45,17908,613,15998,575,555,253,545,160,705,226,105,78
9.4,Green Lake,13074,598,997,263,46,50,8,25,0,24,26,45,12,28,0,24,951,251,702,218,60,49,98,64,91,74,0,24,12077,631,1017,196,867,188,0,24,131,87,19,37,0,24,11060,590,9595,594,384,187,537,169,508,158,36,47
9.5,Haller Lake,9190,417,1008,313,126,103,30,39,88,96,0,21,0,21,8,25,882,266,566,236,100,127,31,51,160,108,25,37,8182,432,911,198,579,161,84,84,54,67,150,80,44,72,7271,345,5613,395,150,85,395,239,845,198,268,188
10.1,North Beach/Blue Ridge,10917,457,671,217,83,60,50,41,0,21,0,21,33,43,0,21,588,182,456,144,57,65,41,39,34,69,0,21,10246,464,1467,245,1336,214,106,135,0,21,25,33,0,21,8779,338,7685,344,415,180,288,115,314,126,77,78
10.2,Whittier Heights,10899,425,655,221,84,90,48,72,0,24,0,24,36,55,0,24,571,178,419,137,17,32,65,102,55,61,15,32,10244,442,1111,253,1087,251,0,24,24,32,0,24,0,24,9133,395,8219,402,356,183,217,99,302,124,39,49
10.3,Sunset Hill/Loyal Heights,12979,565,1026,305,100,103,100,103,0,24,0,24,0,24,0,24,926,267,826,247,33,40,19,34,31,52,17,33,11953,536,1279,185,1207,185,18,32,28,35,26,34,0,24,10674,508,9562,502,208,128,549,230,355,179,0,24
10.4,Ballard,6832,493,550,240,22,36,22,36,0,17,0,17,0,17,0,17,528,222,423,196,19,32,13,29,73,117,0,17,6282,513,271,117,216,106,15,24,0,17,0,17,40,65,6011,476,5033,435,191,164,607,360,158,178,22,35
11.1,Fremont,14844,514,1275,270,85,98,71,96,0,24,14,32,0,24,0,24,1190,241,1012,216,76,59,31,38,62,75,9,26,13569,509,856,184,767,181,11,27,19,30,21,33,38,64,12713,475,11319,481,361,135,522,177,438,157,73,93
11.2,Wallingford,15614,892,3594,576,53,72,53,72,0,27,0,27,0,27,0,27,3541,566,2687,525,112,116,205,135,537,183,0,27,12020,612,1062,147,934,156,71,60,18,36,31,44,8,27,10958,593,9793,581,231,108,483,172,413,150,38,40
11.3,Cascade/Eastlake,12006,776,2351,572,8,23,8,23,0,21,0,21,0,21,0,21,2343,571,1865,541,83,66,109,93,217,127,69,89,9655,725,144,83,87,77,0,21,44,53,13,37,0,21,9511,714,7907,689,306,147,519,194,695,229,84,88
12.1,Magnolia,11758,591,567,281,56,90,0,24,0,24,56,90,0,24,0,24,511,229,400,200,0,24,70,61,41,41,0,24,11191,578,1924,291,1699,289,62,60,116,104,30,52,17,32,9267,421,8103,418,298,178,495,162,355,131,16,32
12.2,Interbay,9316,467,592,226,25,31,25,31,0,21,0,21,0,21,0,21,567,218,433,148,27,46,25,29,0,21,82,116,8724,447,791,172,660,174,42,38,89,77,0,21,0,21,7933,383,6697,421,249,139,619,214,329,199,39,56
12.3,Queen Anne,33394,1041,3075,644,59,69,59,69,0,40,0,40,0,40,0,40,3016,636,2576,577,224,186,64,59,137,103,15,44,30319,900,2324,332,2121,332,23,43,99,79,64,74,17,46,27995,767,24935,790,581,223,1143,240,1062,307,274,190
13.1,Belltown,8000,555,1351,378,27,46,27,46,0,21,0,21,0,21,0,21,1324,363,833,220,154,105,106,77,144,225,87,133,6649,498,37,40,37,40,0,21,0,21,0,21,0,21,6612,490,5616,444,119,98,399,158,409,171,69,132
13.2,Downtown Commercial Core,3581,393,1082,337,0,12,0,12,0,12,0,12,0,12,0,12,1082,337,864,281,13,29,70,56,106,93,29,35,2499,241,0,12,0,12,0,12,0,12,0,12,0,12,2499,241,2090,235,11,19,323,151,51,65,24,32
13.3,Pioneer Square/International District,4943,442,2045,427,285,230,0,17,0,17,0,17,110,143,175,209,1760,271,708,158,39,38,10,18,919,198,84,106,2898,314,127,68,25,27,0,17,21,33,69,47,12,46,2771,295,1608,252,57,61,91,60,935,179,80,72
