area_id,area_name,b01002f001,b01002f001_moe,b01002f002,b01002f002_moe,b01002f003,b01002f003_moe
1.3,West Seattle Junction/Genesee Hill,32,8,18,12,32,0
2.1,North Delridge,47,6,47,8,46,13
2.4,Roxhill/Westwood,71,34,44,55,102,53
3.1,South Park,15,12,13,3,37,45
3.4,South Beacon Hill/NewHolly,26,46,73,75,6,0
3.5,Beacon Hill,21,19,30,16,11,22
4.2,Columbia City,55,47,60,80,55,34
5.1,Madrona/Leschi,44,60,45,79,39,60
5.3,Central Area/Squire Park,26,0,29,14,25,52
6.1,First Hill,29,4,27,9,30,7
7.2,University District,41,2,43,38,40,2
7.3,Ravenna/Bryant,50,30,27,38,48,37
8.1,Northgate/Maple Leaf,73,17,67,24,71,11
8.2,Olympic Hills/Victory Heights,38,21,43,11,38,25
8.3,Cedar Park/Meadowbrook,50,24,64,10,57,9
9.1,Broadview/Bitter Lake,39,39,38,1,94,81
9.2,Licton Springs,27,22,27,9,42,29
9.3,Greenwood/Phinney Ridge,93,39,85,33,85,35
9.4,Green Lake,31,2,30,5,32,112
9.5,Haller Lake,32,4,31,5,33,5
10.3,Sunset Hill/Loyal Heights,56,48,58,47,44,41
11.1,Fremont,25,18,5,24,26,29
11.2,Wallingford,21,31,34,37,21,1
12.3,Queen Anne,94,29,76,46,101,37
13.1,Belltown,22,25,19,16,35,43
13.2,Downtown Commercial Core,34,3,23,18,35,10
