area_id,area_name,b19101001,b19101001_moe,b19101002,b19101002_moe,b19101003,b19101003_moe,b19101004,b19101004_moe,b19101005,b19101005_moe,b19101006,b19101006_moe,b19101007,b19101007_moe,b19101008,b19101008_moe,b19101009,b19101009_moe,b19101010,b19101010_moe,b19101011,b19101011_moe,b19101012,b19101012_moe,b19101013,b19101013_moe,b19101014,b19101014_moe,b19101015,b19101015_moe,b19101016,b19101016_moe,b19101017,b19101017_moe
9.3,Greenwood/Phinney Ridge,5397,306,31,37,135,88,78,51,102,61,125,73,192,91,129,71,139,66,133,78,313,137,339,104,952,183,912,185,668,148,629,156,520,119
9.4,Green Lake,2937,232,56,64,54,52,11,26,16,35,26,31,80,68,43,45,116,88,94,73,86,50,324,129,359,121,443,159,273,109,408,108,548,129
9.5,Haller Lake,2381,228,61,65,36,37,44,41,28,31,42,43,154,95,92,88,60,44,127,70,222,105,293,115,364,106,284,111,175,101,269,104,130,69
10.1,North Beach/Blue Ridge,3159,193,43,35,10,22,39,48,103,81,95,88,115,93,23,31,100,59,48,35,148,79,355,104,492,130,419,114,408,117,360,102,401,103
10.2,Whittier Heights,2878,246,67,64,0,24,45,41,25,30,29,33,27,29,70,55,150,100,77,64,121,83,362,128,538,162,497,145,379,124,265,99,226,86
10.3,Sunset Hill/Loyal Heights,3269,202,88,59,18,34,43,40,0,24,16,31,24,27,28,32,70,83,97,61,341,132,287,108,514,146,538,129,379,131,469,138,357,101
10.4,Ballard,1233,229,0,17,0,17,30,26,54,50,105,97,0,17,0,17,9,14,99,74,64,53,160,95,175,120,272,172,80,79,100,71,85,79
11.1,Fremont,2776,260,32,34,27,33,30,38,7,24,23,36,53,49,71,55,119,83,140,94,94,60,325,120,463,136,322,108,302,92,519,153,249,92
11.2,Wallingford,2475,231,67,70,8,26,109,79,54,46,56,45,84,49,40,40,107,74,32,31,91,64,109,63,259,76,282,98,224,72,376,97,577,121
11.3,Cascade/Eastlake,1426,294,115,131,75,65,18,34,55,64,0,21,147,152,24,41,56,62,0,21,112,94,91,82,140,71,131,75,187,106,114,72,161,101
12.1,Magnolia,3302,225,16,30,27,46,40,45,0,24,28,32,52,43,26,37,40,37,37,42,99,82,267,99,236,115,331,111,383,129,692,182,1028,186
12.2,Interbay,2040,217,8,18,22,31,0,21,13,24,0,21,115,69,138,84,90,77,64,59,154,79,184,107,345,108,226,105,293,117,95,71,293,125
12.3,Queen Anne,6804,416,106,59,56,55,52,52,131,74,88,64,171,88,164,105,113,71,189,129,289,124,478,165,911,205,876,199,611,162,978,206,1591,226
13.1,Belltown,1111,234,59,73,13,25,14,25,0,21,0,21,0,21,67,77,45,72,0,21,40,42,145,100,72,70,200,60,54,53,113,84,289,110
13.2,Downtown Commercial Core,440,138,28,35,42,47,13,20,0,12,0,12,0,12,0,12,15,24,0,12,44,35,23,27,9,16,12,20,13,20,25,28,216,102
13.3,Pioneer Square/International District,750,142,81,53,222,101,71,55,34,36,56,36,7,18,9,19,30,28,30,28,23,26,109,55,19,22,7,18,12,22,33,34,7,18
