area_id,area_name,c18130001,c18130001_moe,c18130002,c18130002_moe,c18130003,c18130003_moe,c18130004,c18130004_moe,c18130005,c18130005_moe,c18130006,c18130006_moe,c18130007,c18130007_moe,c18130008,c18130008_moe,c18130009,c18130009_moe,c18130010,c18130010_moe,c18130011,c18130011_moe,c18130012,c18130012_moe,c18130013,c18130013_moe,c18130014,c18130014_moe,c18130015,c18130015_moe,c18130016,c18130016_moe,c18130017,c18130017_moe,c18130018,c18130018_moe,c18130019,c18130019_moe,c18130020,c18130020_moe,c18130021,c18130021_moe,c18130022,c18130022_moe
1.1,Arbor Heights,6244,300,1307,165,61,58,0,17,61,58,1246,152,0,17,1246,152,4112,202,222,84,17,24,205,78,3890,199,140,67,3750,199,825,102,158,56,4,14,154,56,667,110,0,17,667,110
1.2,Fauntleroy/Seaview,13653,592,2515,276,0,24,0,24,0,24,2515,276,113,93,2402,291,9446,474,561,187,243,141,318,120,8885,452,402,165,8483,475,1692,151,514,143,35,40,479,140,1178,159,0,24,1178,159
1.3,West Seattle Junction/Genesee Hill,17511,594,3458,290,34,37,0,29,34,37,3424,290,239,162,3185,288,11997,476,654,225,200,129,454,183,11343,476,692,226,10651,520,2056,201,866,175,64,64,802,169,1190,175,57,49,1133,173
1.4,Alki/Admiral,11080,562,1707,269,48,49,0,24,48,49,1659,272,57,50,1602,266,7528,424,391,155,17,29,374,153,7137,414,584,199,6553,371,1845,245,445,148,56,54,389,127,1400,260,71,52,1329,256
2.1,North Delridge,4749,359,675,220,0,12,0,12,0,12,675,220,15,24,660,216,3735,260,182,85,86,55,96,61,3553,262,275,141,3278,251,339,59,91,60,2,4,89,61,248,70,33,32,215,73
2.2,High Point,6430,409,1652,249,38,44,0,17,38,44,1614,237,833,284,781,266,4316,390,670,245,364,183,306,160,3646,331,804,273,2842,315,462,136,199,110,109,97,90,60,263,90,89,72,174,87
2.3,Riverview,4674,298,1029,210,46,38,0,12,46,38,983,193,103,109,880,160,3293,223,163,77,49,40,114,55,3130,242,245,117,2885,244,352,60,52,33,0,12,52,33,300,60,0,12,300,60
2.4,Roxhill/Westwood,12514,701,2513,392,63,49,29,39,34,36,2450,396,648,319,1802,307,8819,558,708,218,178,95,530,199,8111,519,888,308,7223,502,1182,158,546,137,69,49,477,132,636,137,65,57,571,130
2.5,Highland Park,5814,462,1073,239,0,21,0,21,0,21,1073,239,78,66,995,229,3923,317,266,115,80,62,186,100,3657,300,314,132,3343,325,818,162,347,144,139,89,208,112,471,119,29,38,442,112
3.1,South Park,4287,602,1298,346,84,71,28,51,56,49,1214,310,403,297,811,260,2763,438,225,95,76,54,149,84,2538,434,410,184,2128,417,226,62,97,46,29,39,68,42,129,75,35,40,94,66
3.2,Georgetown,1184,151,133,44,0,12,0,12,0,12,133,44,0,12,133,44,965,152,214,95,78,80,136,75,751,155,59,35,692,147,86,49,22,17,7,11,15,13,64,50,0,12,64,50
3.3,Duwamish/SODO,2332,380,187,37,15,26,0,12,15,26,172,37,0,12,172,37,1839,308,312,102,250,91,62,46,1527,254,286,158,1241,182,306,127,161,75,41,40,120,61,145,83,14,20,131,80
3.4,South Beacon Hill/NewHolly,15525,1272,4634,896,44,39,24,30,20,30,4590,896,1852,884,2738,449,9245,668,823,226,336,166,487,158,8422,668,1206,322,7216,663,1646,207,819,186,228,115,591,152,827,146,124,60,703,132
3.5,Beacon Hill,9295,693,1597,266,11,22,0,17,11,22,1586,265,116,113,1470,269,6307,559,410,153,133,102,277,122,5897,518,396,211,5501,545,1391,178,359,129,46,52,313,126,1032,184,82,60,950,180
3.6,North Beacon Hill/Jefferson Park,14172,731,2782,319,95,71,0,24,95,71,2687,315,318,230,2369,335,9559,616,534,171,229,126,305,130,9025,612,833,271,8192,568,1831,203,792,175,291,124,501,148,1039,208,264,138,775,207
4.1,Rainier Beach,15119,984,3789,579,39,49,0,27,39,49,3750,577,971,407,2779,546,9582,635,1123,263,322,133,801,239,8459,602,1216,388,7243,624,1748,228,727,200,117,96,610,182,1021,185,165,102,856,187
4.2,Columbia City,16119,813,3180,504,180,105,65,63,115,86,3000,497,533,243,2467,443,11161,625,917,225,297,152,620,184,10244,647,1329,362,8915,709,1778,205,734,168,223,117,511,137,1044,195,69,51,975,188
4.3,Seward Park,8589,543,1758,255,30,28,0,17,30,28,1728,256,185,200,1543,201,5645,375,325,128,136,85,189,86,5320,347,492,259,4828,303,1186,193,363,141,88,73,275,108,823,142,68,64,755,130
4.4,Mt. Baker/North Rainier,5483,466,1192,162,0,17,0,17,0,17,1192,162,131,105,1061,201,3694,397,398,155,112,71,286,139,3296,356,451,255,2845,318,597,143,279,85,45,42,234,81,318,117,24,30,294,109
5.1,Madrona/Leschi,9909,573,1832,241,31,35,0,21,31,35,1801,242,155,126,1646,215,6860,456,386,160,38,47,348,156,6474,414,454,234,6020,382,1217,169,246,115,80,74,166,92,971,159,89,69,882,162
5.2,Judkins Park,2723,277,278,102,0,12,0,12,0,12,278,102,43,54,235,113,1822,222,180,95,53,37,127,88,1642,226,271,157,1371,244,623,94,339,99,180,75,159,80,284,71,156,68,128,53
5.3,Central Area/Squire Park,16533,779,2317,379,53,61,15,33,38,56,2264,375,383,255,1881,317,12747,617,1112,252,341,133,771,209,11635,618,1360,335,10275,581,1469,195,616,176,197,86,419,147,853,157,66,54,787,155
6.1,First Hill,11441,600,474,150,15,27,6,24,9,25,459,151,270,113,189,145,9152,555,815,254,536,235,279,113,8337,507,1990,360,6347,476,1815,188,827,146,233,99,594,139,988,173,249,117,739,134
6.2,Capitol Hill,20164,773,811,257,0,29,0,29,0,29,811,257,200,197,611,200,18102,720,1128,243,519,179,609,165,16974,753,2026,356,14948,726,1251,255,341,108,69,53,272,103,910,245,87,70,823,237
6.3,North Capitol Hill,3918,239,336,102,0,12,0,12,0,12,336,102,0,12,336,102,3131,219,85,83,0,12,85,83,3046,249,232,118,2814,234,451,88,181,98,40,36,141,91,270,66,0,12,270,66
