area_id,area_name,b25003d001,b25003d001_moe,b25003d002,b25003d002_moe,b25003d003,b25003d003_moe
1.1,Arbor Heights,106,53,106,53,0,17
1.2,Fauntleroy/Seaview,240,96,168,79,72,54
1.3,West Seattle Junction/Genesee Hill,178,79,120,64,58,54
1.4,Alki/Admiral,302,114,168,96,134,74
2.1,North Delridge,212,100,158,92,54,50
2.2,High Point,590,146,255,111,335,128
2.3,Riverview,228,61,228,61,0,12
2.4,Roxhill/Westwood,491,129,214,83,277,119
2.5,Highland Park,267,78,191,80,76,67
3.1,South Park,191,51,134,52,57,50
3.2,Georgetown,25,20,25,20,0,12
3.3,Duwamish/SODO,209,55,151,42,58,37
3.4,South Beacon Hill/NewHolly,2013,195,1299,171,714,184
3.5,Beacon Hill,1505,186,1189,190,316,139
3.6,North Beacon Hill/Jefferson Park,2271,215,1170,179,1101,213
4.1,Rainier Beach,1148,198,903,163,245,132
4.2,Columbia City,1359,191,762,136,597,194
4.3,Seward Park,565,83,371,75,194,71
4.4,Mt. Baker/North Rainier,382,82,140,74,242,73
5.1,Madrona/Leschi,254,91,150,64,104,69
5.2,Judkins Park,597,106,135,55,462,101
5.3,Central Area/Squire Park,473,150,195,81,278,126
6.1,First Hill,1179,208,77,46,1102,201
6.2,Capitol Hill,1106,279,340,137,766,248
6.3,North Capitol Hill,187,107,152,99,35,40
6.4,Miller Park,180,65,86,49,94,48
6.5,Madison Park,125,99,45,51,80,81
7.1,Montlake/Portage Bay,202,81,64,38,138,79
7.2,University District,1400,220,32,34,1368,222
7.3,Ravenna/Bryant,977,185,478,113,499,161
7.4,Wedgwood/View Ridge,623,103,419,86,204,76
7.5,Laurelhurst/Sand Point,486,143,311,129,175,78
8.1,Northgate/Maple Leaf,1211,201,380,95,831,199
8.2,Olympic Hills/Victory Heights,1062,198,465,115,597,174
8.3,Cedar Park/Meadowbrook,532,135,196,70,336,116
9.1,Broadview/Bitter Lake,513,135,244,90,269,111
9.2,Licton Springs,835,175,378,131,457,159
9.3,Greenwood/Phinney Ridge,701,155,390,117,311,130
9.4,Green Lake,403,118,225,97,178,79
9.5,Haller Lake,523,130,330,113,193,118
10.1,North Beach/Blue Ridge,220,77,162,67,58,39
10.2,Whittier Heights,212,82,113,66,99,59
10.3,Sunset Hill/Loyal Heights,231,102,165,77,66,82
10.4,Ballard,273,124,102,64,171,105
11.1,Fremont,390,117,207,82,183,93
11.2,Wallingford,868,185,181,69,687,174
11.3,Cascade/Eastlake,1391,291,129,90,1262,287
12.1,Magnolia,214,89,156,76,58,53
12.2,Interbay,256,128,79,64,177,111
12.3,Queen Anne,1492,276,513,166,979,238
13.1,Belltown,640,203,240,147,400,147
13.2,Downtown Commercial Core,194,105,31,34,163,98
13.3,Pioneer Square/International District,1302,146,49,28,1253,148
