area_id,area_name,b19037a001,b19037a001_moe,b19037a002,b19037a002_moe,b19037a003,b19037a003_moe,b19037a004,b19037a004_moe,b19037a005,b19037a005_moe,b19037a006,b19037a006_moe,b19037a007,b19037a007_moe,b19037a008,b19037a008_moe,b19037a009,b19037a009_moe,b19037a010,b19037a010_moe,b19037a011,b19037a011_moe,b19037a012,b19037a012_moe,b19037a013,b19037a013_moe,b19037a014,b19037a014_moe,b19037a015,b19037a015_moe,b19037a016,b19037a016_moe,b19037a017,b19037a017_moe,b19037a018,b19037a018_moe,b19037a019,b19037a019_moe,b19037a020,b19037a020_moe,b19037a021,b19037a021_moe,b19037a022,b19037a022_moe,b19037a023,b19037a023_moe,b19037a024,b19037a024_moe,b19037a025,b19037a025_moe,b19037a026,b19037a026_moe,b19037a027,b19037a027_moe,b19037a028,b19037a028_moe,b19037a029,b19037a029_moe,b19037a030,b19037a030_moe,b19037a031,b19037a031_moe,b19037a032,b19037a032_moe,b19037a033,b19037a033_moe,b19037a034,b19037a034_moe,b19037a035,b19037a035_moe,b19037a036,b19037a036_moe,b19037a037,b19037a037_moe,b19037a038,b19037a038_moe,b19037a039,b19037a039_moe,b19037a040,b19037a040_moe,b19037a041,b19037a041_moe,b19037a042,b19037a042_moe,b19037a043,b19037a043_moe,b19037a044,b19037a044_moe,b19037a045,b19037a045_moe,b19037a046,b19037a046_moe,b19037a047,b19037a047_moe,b19037a048,b19037a048_moe,b19037a049,b19037a049_moe,b19037a050,b19037a050_moe,b19037a051,b19037a051_moe,b19037a052,b19037a052_moe,b19037a053,b19037a053_moe,b19037a054,b19037a054_moe,b19037a055,b19037a055_moe,b19037a056,b19037a056_moe,b19037a057,b19037a057_moe,b19037a058,b19037a058_moe,b19037a059,b19037a059_moe,b19037a060,b19037a060_moe,b19037a061,b19037a061_moe,b19037a062,b19037a062_moe,b19037a063,b19037a063_moe,b19037a064,b19037a064_moe,b19037a065,b19037a065_moe,b19037a066,b19037a066_moe,b19037a067,b19037a067_moe,b19037a068,b19037a068_moe,b19037a069,b19037a069_moe
1.1,Arbor Heights,2333,129,15,28,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,15,28,0,17,0,17,0,17,0,17,0,17,0,17,822,115,0,17,0,17,8,17,6,16,43,39,0,17,20,21,78,62,0,17,40,44,71,43,176,63,154,82,45,33,89,57,92,54,1032,110,10,21,0,17,7,16,0,17,12,23,18,20,45,34,28,28,32,27,122,59,85,43,240,87,128,66,43,38,150,61,112,61,464,76,0,17,10,20,13,19,27,27,29,29,50,37,35,29,7,17,35,24,29,23,92,65,21,19,43,34,40,33,23,22,10,19
1.2,Fauntleroy/Seaview,5908,239,54,50,0,24,16,30,0,24,0,24,0,24,0,24,0,24,20,34,18,32,0,24,0,24,0,24,0,24,0,24,0,24,0,24,2169,236,55,43,11,25,0,24,0,24,16,31,86,61,53,48,34,43,137,94,97,63,230,114,283,125,269,117,280,124,220,86,398,145,2488,210,103,72,84,54,63,51,71,77,87,57,61,57,70,72,59,41,71,53,122,70,143,72,283,103,415,126,181,81,281,106,394,116,1197,147,35,40,77,55,84,60,31,35,179,83,45,47,59,48,32,35,33,36,93,57,32,37,214,92,49,45,65,51,54,43,115,95
1.3,West Seattle Junction/Genesee Hill,7684,277,218,104,0,29,18,38,0,29,15,33,12,31,12,32,0,29,65,77,13,33,26,34,0,29,15,33,42,41,0,29,0,29,0,29,2938,239,131,88,59,52,20,29,26,49,18,38,90,62,84,82,16,35,124,101,286,113,353,152,446,124,319,99,167,84,494,144,305,122,2968,256,140,117,85,73,82,59,48,46,113,98,125,86,142,92,102,79,101,89,159,76,258,108,422,129,419,135,307,124,298,117,167,71,1560,189,92,61,117,86,88,54,160,99,92,54,161,86,86,59,73,52,57,45,111,68,115,67,228,97,67,57,69,60,0,29,44,44
1.4,Alki/Admiral,5148,253,22,30,0,24,0,24,0,24,0,24,0,24,0,24,22,30,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1789,232,52,64,52,49,41,69,40,48,170,104,71,54,73,67,19,35,175,90,69,71,215,105,177,91,222,94,107,71,124,68,182,98,2100,197,57,47,34,33,51,50,62,79,89,75,29,34,49,45,34,33,41,50,155,107,119,67,298,106,196,86,238,92,284,100,364,119,1237,151,60,49,146,94,82,72,17,30,76,50,99,77,31,39,102,60,46,42,111,64,104,51,120,60,41,37,50,42,9,23,143,105
2.1,North Delridge,1838,170,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,946,162,27,31,0,12,13,22,0,12,15,24,49,46,54,79,45,73,79,74,76,55,93,60,187,108,98,69,65,49,71,78,74,63,688,117,35,46,13,22,22,32,0,12,0,12,18,30,15,24,35,40,19,32,75,77,80,54,21,27,99,77,28,32,178,90,50,49,204,58,19,28,0,12,0,12,34,33,15,24,27,41,14,21,0,12,0,12,30,32,0,12,36,32,0,12,29,36,0,12,0,12
2.2,High Point,1340,196,101,90,13,24,0,17,0,17,13,25,55,85,0,17,0,17,0,17,4,14,0,17,16,19,0,17,0,17,0,17,0,17,0,17,743,151,47,75,11,22,0,17,26,43,16,28,10,20,41,68,16,28,0,17,74,58,24,38,166,84,26,32,60,44,126,92,100,84,334,99,33,31,49,42,10,19,17,30,0,17,0,17,0,17,13,25,0,17,6,16,56,59,52,40,62,48,8,18,28,29,0,17,162,70,37,36,13,26,9,18,9,20,24,33,11,22,10,20,11,15,8,18,11,20,0,17,7,17,12,22,0,17,0,17,0,17
2.3,Riverview,1134,108,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,470,106,0,12,0,12,29,46,0,12,29,27,37,44,0,12,16,19,0,12,26,24,81,58,66,41,120,62,14,17,26,25,26,40,541,94,29,27,0,12,26,26,24,23,17,19,17,21,58,49,54,45,0,12,31,29,56,35,105,59,38,29,47,33,18,21,21,26,123,48,0,12,0,12,0,12,40,36,8,13,16,19,0,12,0,12,7,11,0,12,0,12,24,21,7,13,7,11,5,9,9,14
2.4,Roxhill/Westwood,3933,227,74,49,11,25,13,29,0,21,0,21,9,23,0,21,0,21,14,28,0,21,15,29,12,25,0,21,0,21,0,21,0,21,0,21,1882,213,31,31,25,36,20,29,21,29,93,77,43,34,121,90,39,37,46,47,200,85,339,131,309,121,213,95,206,78,150,70,26,27,1326,151,28,31,29,35,39,36,83,70,95,68,81,56,40,33,56,50,41,35,116,62,153,70,198,71,148,69,129,80,60,43,30,32,651,126,13,27,82,49,113,59,33,36,57,42,34,30,56,49,24,29,7,20,62,48,42,38,97,73,0,21,11,25,0,21,20,27
2.5,Highland Park,1917,191,65,81,0,21,0,21,0,21,50,79,0,21,0,21,0,21,0,21,15,27,0,21,0,21,0,21,0,21,0,21,0,21,0,21,741,146,39,46,31,39,0,21,18,31,58,52,23,38,37,44,28,35,23,38,51,47,222,128,86,57,33,40,54,49,38,43,0,21,606,136,52,49,30,38,36,43,40,45,0,21,0,21,18,31,22,38,29,36,47,45,98,61,45,39,96,64,16,22,32,41,45,69,505,132,74,61,90,84,66,57,33,39,79,58,19,32,33,53,18,31,0,21,16,28,39,42,27,33,11,22,0,21,0,21,0,21
3.1,South Park,884,126,30,39,0,17,0,17,10,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,20,34,0,17,0,17,0,17,0,17,0,17,462,102,45,49,21,38,11,22,49,53,59,53,14,22,36,42,19,32,8,18,43,49,15,22,55,39,21,23,7,16,31,47,28,46,292,95,35,50,6,16,0,17,7,16,31,39,36,47,0,17,64,57,12,19,9,19,22,22,34,33,6,16,17,24,0,17,13,27,100,48,0,17,29,39,0,17,0,17,35,31,0,17,15,22,0,17,0,17,0,17,14,26,0,17,0,17,7,17,0,17,0,17
