area_id,area_name,b19313b001,b19313b001_moe
1.2,Fauntleroy/Seaview,13559900,15940210
1.3,West Seattle Junction/Genesee Hill,10173700,6393215
1.4,Alki/Admiral,4709600,3885464
2.1,North Delridge,17894900,12687124
2.2,High Point,18326600,6641976
2.3,Riverview,9860100,10079973
2.4,Roxhill/Westwood,26207300,9844867
2.5,Highland Park,13033900,3350034
3.1,South Park,4536000,2672364
3.2,Georgetown,634600,827365
3.3,Duwamish/SODO,6294900,4184596
3.4,South Beacon Hill/NewHolly,51069500,12522561
3.5,Beacon Hill,34277100,18086793
3.6,North Beacon Hill/Jefferson Park,31097900,8141262
4.1,Rainier Beach,89563400,17740931
4.2,Columbia City,106481100,27152381
4.3,Seward Park,37747500,8067810
4.4,Mt. Baker/North Rainier,19635500,8353545
5.1,Madrona/Leschi,56776600,15289102
5.2,Judkins Park,12217000,4586316
5.3,Central Area/Squire Park,85141700,18589449
6.1,First Hill,29260500,15553506
6.2,Capitol Hill,25171600,9628353
6.4,Miller Park,16914100,6332240
6.5,Madison Park,5903700,5464787
7.1,Montlake/Portage Bay,17159000,19118577
7.2,University District,5491400,3015545
7.3,Ravenna/Bryant,18015000,12047158
7.4,Wedgwood/View Ridge,10794700,6653433
7.5,Laurelhurst/Sand Point,1036500,781672
8.1,Northgate/Maple Leaf,15789200,8196675
8.2,Olympic Hills/Victory Heights,18674100,11695404
8.3,Cedar Park/Meadowbrook,13638000,5799592
9.1,Broadview/Bitter Lake,16088300,5727893
9.2,Licton Springs,6599100,4776527
9.3,Greenwood/Phinney Ridge,10901200,6131868
9.4,Green Lake,5319600,4058367
9.5,Haller Lake,16277300,9511099
10.4,Ballard,3104700,2738648
11.1,Fremont,2498800,2623977
11.2,Wallingford,6257700,4408851
11.3,Cascade/Eastlake,18834900,10712742
12.2,Interbay,15307000,9110087
12.3,Queen Anne,24335100,10893832
13.1,Belltown,11996200,5735362
13.2,Downtown Commercial Core,6516300,3554543
13.3,Pioneer Square/International District,13155000,8193891
