area_id,area_name,b13002b001,b13002b001_moe,b13002b002,b13002b002_moe,b13002b003,b13002b003_moe,b13002b004,b13002b004_moe,b13002b005,b13002b005_moe,b13002b006,b13002b006_moe,b13002b007,b13002b007_moe
1.1,Arbor Heights,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,21,29,0,24,0,24,0,24,21,29,0,24,21,29
1.3,West Seattle Junction/Genesee Hill,64,55,0,29,0,29,0,29,64,55,18,38,46,47
1.4,Alki/Admiral,87,81,0,24,0,24,0,24,87,81,40,44,47,70
2.1,North Delridge,175,142,55,80,55,80,0,12,120,117,0,12,120,117
2.2,High Point,664,182,87,70,79,71,8,19,577,205,126,116,451,166
2.3,Riverview,194,107,0,12,0,12,0,12,194,107,66,62,128,86
2.4,Roxhill/Westwood,357,171,20,37,0,21,20,37,337,166,76,62,261,143
2.5,Highland Park,151,61,0,21,0,21,0,21,151,61,100,45,51,53
3.1,South Park,64,49,0,17,0,17,0,17,64,49,24,33,40,49
3.2,Georgetown,8,15,0,12,0,12,0,12,8,15,0,12,8,15
3.3,Duwamish/SODO,74,79,0,12,0,12,0,12,74,79,74,79,0,12
3.4,South Beacon Hill/NewHolly,1230,305,84,74,53,67,31,38,1146,286,566,182,580,196
3.5,Beacon Hill,229,148,34,36,34,36,0,17,195,145,87,80,108,85
3.6,North Beacon Hill/Jefferson Park,411,176,45,65,45,65,0,24,366,191,108,81,258,166
4.1,Rainier Beach,1117,298,102,110,102,110,0,27,1015,311,353,203,662,239
4.2,Columbia City,968,262,75,86,75,86,0,27,893,261,318,156,575,240
4.3,Seward Park,348,170,0,17,0,17,0,17,348,170,113,83,235,115
4.4,Mt. Baker/North Rainier,156,129,0,17,0,17,0,17,156,129,18,26,138,115
5.1,Madrona/Leschi,427,210,68,90,68,90,0,21,359,201,99,64,260,193
5.2,Judkins Park,111,69,0,12,0,12,0,12,111,69,59,52,52,40
5.3,Central Area/Squire Park,675,227,40,41,40,41,0,24,635,223,156,87,479,176
6.1,First Hill,282,110,0,24,0,24,0,24,282,110,40,58,242,96
6.2,Capitol Hill,277,154,86,102,56,92,30,53,191,120,58,76,133,99
6.3,North Capitol Hill,18,29,0,12,0,12,0,12,18,29,0,12,18,29
6.4,Miller Park,127,57,11,20,11,20,0,17,116,56,33,49,83,52
6.5,Madison Park,42,41,0,17,0,17,0,17,42,41,22,26,20,32
7.1,Montlake/Portage Bay,48,76,0,21,0,21,0,21,48,76,48,76,0,21
7.2,University District,201,119,0,29,0,29,0,29,201,119,0,29,201,119
7.3,Ravenna/Bryant,108,67,14,36,14,36,0,32,94,63,6,32,88,63
7.4,Wedgwood/View Ridge,58,64,0,27,0,27,0,27,58,64,12,30,46,61
7.5,Laurelhurst/Sand Point,23,34,20,34,0,21,20,34,3,18,3,18,0,21
8.1,Northgate/Maple Leaf,132,83,0,24,0,24,0,24,132,83,12,28,120,81
8.2,Olympic Hills/Victory Heights,202,119,12,29,12,29,0,24,190,119,61,55,129,101
8.3,Cedar Park/Meadowbrook,223,133,12,31,12,31,0,27,211,132,44,43,167,129
9.1,Broadview/Bitter Lake,374,184,54,84,0,27,54,84,320,162,82,68,238,142
9.2,Licton Springs,158,95,39,45,39,45,0,17,119,87,31,53,88,72
9.3,Greenwood/Phinney Ridge,130,107,78,102,78,102,0,29,52,45,12,33,40,42
9.4,Green Lake,48,46,0,24,0,24,0,24,48,46,14,30,34,41
9.5,Haller Lake,187,113,0,21,0,21,0,21,187,113,98,90,89,73
10.1,North Beach/Blue Ridge,47,70,0,21,0,21,0,21,47,70,0,21,47,70
10.2,Whittier Heights,0,24,0,24,0,24,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,17,33,0,24,0,24,0,24,17,33,0,24,17,33
10.4,Ballard,59,53,0,17,0,17,0,17,59,53,0,17,59,53
11.1,Fremont,57,47,0,24,0,24,0,24,57,47,46,48,11,26
11.2,Wallingford,106,107,0,27,0,27,0,27,106,107,13,32,93,104
11.3,Cascade/Eastlake,181,110,0,21,0,21,0,21,181,110,0,21,181,110
12.1,Magnolia,0,24,0,24,0,24,0,24,0,24,0,24,0,24
12.2,Interbay,83,68,0,21,0,21,0,21,83,68,0,21,83,68
12.3,Queen Anne,253,151,0,40,0,40,0,40,253,151,49,84,204,109
13.1,Belltown,68,54,0,21,0,21,0,21,68,54,15,28,53,48
13.2,Downtown Commercial Core,0,12,0,12,0,12,0,12,0,12,0,12,0,12
13.3,Pioneer Square/International District,130,73,43,55,43,55,0,17,87,48,17,28,70,45
