area_id,area_name,b17001c001,b17001c001_moe,b17001c002,b17001c002_moe,b17001c003,b17001c003_moe,b17001c004,b17001c004_moe,b17001c005,b17001c005_moe,b17001c006,b17001c006_moe,b17001c007,b17001c007_moe,b17001c008,b17001c008_moe,b17001c009,b17001c009_moe,b17001c010,b17001c010_moe,b17001c011,b17001c011_moe,b17001c012,b17001c012_moe,b17001c013,b17001c013_moe,b17001c014,b17001c014_moe,b17001c015,b17001c015_moe,b17001c016,b17001c016_moe,b17001c017,b17001c017_moe,b17001c018,b17001c018_moe,b17001c019,b17001c019_moe,b17001c020,b17001c020_moe,b17001c021,b17001c021_moe,b17001c022,b17001c022_moe,b17001c023,b17001c023_moe,b17001c024,b17001c024_moe,b17001c025,b17001c025_moe,b17001c026,b17001c026_moe,b17001c027,b17001c027_moe,b17001c028,b17001c028_moe,b17001c029,b17001c029_moe,b17001c030,b17001c030_moe,b17001c031,b17001c031_moe,b17001c032,b17001c032_moe,b17001c033,b17001c033_moe,b17001c034,b17001c034_moe,b17001c035,b17001c035_moe,b17001c036,b17001c036_moe,b17001c037,b17001c037_moe,b17001c038,b17001c038_moe,b17001c039,b17001c039_moe,b17001c040,b17001c040_moe,b17001c041,b17001c041_moe,b17001c042,b17001c042_moe,b17001c043,b17001c043_moe,b17001c044,b17001c044_moe,b17001c045,b17001c045_moe,b17001c046,b17001c046_moe,b17001c047,b17001c047_moe,b17001c048,b17001c048_moe,b17001c049,b17001c049_moe,b17001c050,b17001c050_moe,b17001c051,b17001c051_moe,b17001c052,b17001c052_moe,b17001c053,b17001c053_moe,b17001c054,b17001c054_moe,b17001c055,b17001c055_moe,b17001c056,b17001c056_moe,b17001c057,b17001c057_moe,b17001c058,b17001c058_moe,b17001c059,b17001c059_moe
1.1,Arbor Heights,111,127,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,111,127,75,86,0,17,0,17,28,39,14,22,0,17,0,17,0,17,0,17,0,17,14,22,0,17,19,31,0,17,36,46,0,17,0,17,0,17,0,17,18,25,18,25,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,50,40,12,25,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,12,25,0,24,0,24,0,24,0,24,0,24,0,24,12,25,0,24,0,24,0,24,0,24,0,24,0,24,38,35,26,29,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,24,28,2,19,0,24,0,24,12,26,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,12,26,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,147,116,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,147,116,65,81,14,33,0,29,0,29,0,29,0,29,0,29,0,29,50,79,0,29,0,29,0,29,1,27,0,29,82,72,0,29,0,29,0,29,0,29,0,29,0,29,0,29,59,58,0,29,23,33,0,29,0,29,0,29
1.4,Alki/Admiral,49,50,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,49,50,31,41,0,24,0,24,0,24,0,24,0,24,10,23,0,24,21,35,0,24,0,24,0,24,0,24,0,24,18,34,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,18,34,0,24,0,24,0,24
2.1,North Delridge,42,49,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,42,49,18,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,29,0,12,0,12,0,12,0,12,0,12,24,39,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,24,39,0,12,0,12,0,12,0,12
2.2,High Point,8,20,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,8,20,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,8,20,0,17,0,17,0,17,0,17,0,17,0,17,8,20,0,17,0,17,0,17,0,17,0,17,0,17
2.3,Riverview,44,67,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,44,67,21,34,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,34,0,12,0,12,0,12,0,12,23,34,0,12,0,12,0,12,23,34,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,101,128,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,101,128,62,97,0,21,0,21,0,21,22,38,0,21,0,21,40,65,0,21,0,21,0,21,0,21,0,21,0,21,39,44,0,21,0,21,0,21,0,21,0,21,0,21,0,21,3,19,18,34,0,21,18,34,0,21,0,21
2.5,Highland Park,37,47,28,45,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,28,45,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,28,45,0,21,0,21,9,18,9,18,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,9,18,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
3.1,South Park,28,47,28,47,14,26,0,17,0,17,14,26,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,14,26,0,17,0,17,0,17,14,26,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
3.2,Georgetown,25,26,7,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,12,0,12,0,12,0,12,0,12,18,24,18,24,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,24,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,66,103,7,17,7,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,59,102,15,26,0,12,0,12,0,12,0,12,0,12,15,26,0,12,0,12,0,12,0,12,0,12,0,12,0,12,44,76,0,12,0,12,0,12,0,12,18,32,0,12,0,12,0,12,12,22,0,12,0,12,0,12,14,22
3.4,South Beacon Hill/NewHolly,210,178,4,19,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,4,19,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,4,19,0,24,0,24,0,24,206,178,98,106,0,24,0,24,20,34,0,24,17,32,17,32,0,24,0,24,14,31,20,34,10,27,0,24,0,24,108,83,23,38,0,24,0,24,0,24,0,24,0,24,0,24,17,33,0,24,33,39,13,30,13,28,9,25
3.5,Beacon Hill,36,39,29,37,28,39,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,28,39,0,17,0,17,0,17,0,17,1,12,0,17,0,17,0,17,0,17,0,17,0,17,1,12,0,17,0,17,0,17,0,17,0,17,0,17,7,17,7,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,7,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
