area_id,area_name,b19113d001,b19113d001_moe
1.2,Fauntleroy/Seaview,61059,130543
1.3,West Seattle Junction/Genesee Hill,48375,10526
1.4,Alki/Admiral,100310,208947
2.1,North Delridge,90924,63447
2.2,High Point,51913,66980
2.3,Riverview,93750,32619
2.4,Roxhill/Westwood,201583,40641
2.5,Highland Park,66833,62254
3.1,South Park,39938,14421
3.2,Georgetown,72083,23846
3.3,Duwamish/SODO,76094,23350
3.4,South Beacon Hill/NewHolly,181306,27263
3.5,Beacon Hill,148202,18576
3.6,North Beacon Hill/Jefferson Park,190448,24724
4.1,Rainier Beach,142618,82512
4.2,Columbia City,178826,49814
4.3,Seward Park,123541,31618
4.4,Mt. Baker/North Rainier,32151,56752
5.1,Madrona/Leschi,231304,54679
5.2,Judkins Park,43068,14290
5.3,Central Area/Squire Park,226858,34961
6.1,First Hill,166336,70745
6.2,Capitol Hill,304549,307187
6.3,North Capitol Hill,96417,89845
6.4,Miller Park,44327,70395
6.5,Madison Park,31815,141591
7.1,Montlake/Portage Bay,189151,87288
7.2,University District,41006,83618
7.3,Ravenna/Bryant,420088,161324
7.4,Wedgwood/View Ridge,486040,122602
7.5,Laurelhurst/Sand Point,247050,65410
8.1,Northgate/Maple Leaf,196876,117413
8.2,Olympic Hills/Victory Heights,147617,86488
8.3,Cedar Park/Meadowbrook,346924,297565
9.1,Broadview/Bitter Lake,293989,159157
9.2,Licton Springs,139830,60580
9.3,Greenwood/Phinney Ridge,444298,275136
9.4,Green Lake,269566,200149
9.5,Haller Lake,155645,64411
10.1,North Beach/Blue Ridge,186181,116461
10.2,Whittier Heights,219590,133680
10.3,Sunset Hill/Loyal Heights,201721,44360
10.4,Ballard,26842,62814
11.1,Fremont,227035,346094
11.2,Wallingford,279536,193310
11.3,Cascade/Eastlake,314107,158705
12.1,Magnolia,155167,24307
12.2,Interbay,168314,89673
12.3,Queen Anne,548473,160933
13.1,Belltown,221607,260346
13.2,Downtown Commercial Core,217361,184547
13.3,Pioneer Square/International District,39854,6733
