area_id,area_name,b25014b001,b25014b001_moe,b25014b002,b25014b002_moe,b25014b003,b25014b003_moe
1.1,Arbor Heights,54,53,54,53,0,17
1.2,Fauntleroy/Seaview,79,85,79,85,0,24
1.3,West Seattle Junction/Genesee Hill,192,136,192,136,0,29
1.4,Alki/Admiral,156,107,156,107,0,24
2.1,North Delridge,97,81,97,81,0,12
2.2,High Point,688,177,601,192,87,73
2.3,Riverview,151,74,128,79,23,34
2.4,Roxhill/Westwood,532,159,490,151,42,52
2.5,Highland Park,177,71,152,86,25,29
3.1,South Park,95,53,95,53,0,17
3.2,Georgetown,16,21,16,21,0,12
3.3,Duwamish/SODO,140,102,140,102,0,12
3.4,South Beacon Hill/NewHolly,1281,221,1167,230,114,83
3.5,Beacon Hill,347,130,321,125,26,32
3.6,North Beacon Hill/Jefferson Park,850,174,845,172,5,23
4.1,Rainier Beach,1829,237,1748,257,81,101
4.2,Columbia City,1985,293,1947,297,38,48
4.3,Seward Park,647,136,641,135,6,17
4.4,Mt. Baker/North Rainier,374,143,357,141,17,25
5.1,Madrona/Leschi,900,179,900,179,0,21
5.2,Judkins Park,433,128,433,128,0,12
5.3,Central Area/Squire Park,1611,237,1541,220,70,72
6.1,First Hill,600,176,588,175,12,27
6.2,Capitol Hill,816,254,799,252,17,38
6.3,North Capitol Hill,18,29,18,29,0,12
6.4,Miller Park,284,93,273,90,11,20
6.5,Madison Park,40,40,40,40,0,17
7.1,Montlake/Portage Bay,86,76,86,76,0,21
7.2,University District,142,102,142,102,0,29
7.3,Ravenna/Bryant,218,95,218,95,0,32
7.4,Wedgwood/View Ridge,121,79,87,58,34,57
7.5,Laurelhurst/Sand Point,71,83,51,73,20,34
8.1,Northgate/Maple Leaf,326,143,326,143,0,24
8.2,Olympic Hills/Victory Heights,299,150,299,150,0,24
8.3,Cedar Park/Meadowbrook,313,167,302,167,11,29
9.1,Broadview/Bitter Lake,529,195,512,193,17,37
9.2,Licton Springs,180,102,180,102,0,17
9.3,Greenwood/Phinney Ridge,141,84,121,80,20,40
9.4,Green Lake,113,93,113,93,0,24
9.5,Haller Lake,236,141,236,141,0,21
10.1,North Beach/Blue Ridge,47,70,47,70,0,21
10.2,Whittier Heights,57,65,57,65,0,24
10.3,Sunset Hill/Loyal Heights,31,30,31,30,0,24
10.4,Ballard,58,49,58,49,0,17
11.1,Fremont,51,48,33,41,18,35
11.2,Wallingford,206,131,206,131,0,27
11.3,Cascade/Eastlake,415,162,371,160,44,32
12.1,Magnolia,17,32,17,32,0,24
12.2,Interbay,224,129,224,129,0,21
12.3,Queen Anne,565,246,565,246,0,40
13.1,Belltown,499,216,454,198,45,69
13.2,Downtown Commercial Core,207,102,207,102,0,12
13.3,Pioneer Square/International District,367,132,326,121,41,51
