area_id,area_name,b25014g001,b25014g001_moe,b25014g002,b25014g002_moe,b25014g003,b25014g003_moe
1.1,Arbor Heights,98,64,98,64,0,17
1.2,Fauntleroy/Seaview,85,57,85,57,0,24
1.3,West Seattle Junction/Genesee Hill,226,107,226,107,0,29
1.4,Alki/Admiral,173,88,173,88,0,24
2.1,North Delridge,115,82,115,82,0,12
2.2,High Point,77,50,77,50,0,17
2.3,Riverview,125,66,125,66,0,12
2.4,Roxhill/Westwood,229,98,229,98,0,21
2.5,Highland Park,117,101,117,101,0,21
3.1,South Park,68,61,44,51,24,40
3.2,Georgetown,19,21,8,12,11,18
3.3,Duwamish/SODO,26,26,26,26,0,12
3.4,South Beacon Hill/NewHolly,169,90,169,90,0,24
3.5,Beacon Hill,122,80,122,80,0,17
3.6,North Beacon Hill/Jefferson Park,329,131,319,136,10,28
4.1,Rainier Beach,197,125,174,122,23,36
4.2,Columbia City,342,129,342,129,0,27
4.3,Seward Park,122,63,122,63,0,17
4.4,Mt. Baker/North Rainier,140,83,140,83,0,17
5.1,Madrona/Leschi,178,122,178,122,0,21
5.2,Judkins Park,64,56,64,56,0,12
5.3,Central Area/Squire Park,362,147,362,147,0,24
6.1,First Hill,176,85,176,85,0,24
6.2,Capitol Hill,497,179,479,177,18,39
6.3,North Capitol Hill,78,80,78,80,0,12
6.4,Miller Park,122,76,122,76,0,17
6.5,Madison Park,20,23,20,23,0,17
7.1,Montlake/Portage Bay,131,82,131,82,0,21
7.2,University District,282,122,282,122,0,29
7.3,Ravenna/Bryant,352,114,352,114,0,32
7.4,Wedgwood/View Ridge,171,92,171,92,0,27
7.5,Laurelhurst/Sand Point,192,108,192,108,0,21
8.1,Northgate/Maple Leaf,130,62,130,62,0,24
8.2,Olympic Hills/Victory Heights,294,132,294,132,0,24
8.3,Cedar Park/Meadowbrook,161,84,161,84,0,27
9.1,Broadview/Bitter Lake,220,125,220,125,0,27
9.2,Licton Springs,146,97,146,97,0,17
9.3,Greenwood/Phinney Ridge,349,114,334,113,15,38
9.4,Green Lake,175,105,175,105,0,24
9.5,Haller Lake,90,81,90,81,0,21
10.1,North Beach/Blue Ridge,131,70,121,67,10,25
10.2,Whittier Heights,177,101,177,101,0,24
10.3,Sunset Hill/Loyal Heights,148,89,148,89,0,24
10.4,Ballard,160,148,160,148,0,17
11.1,Fremont,327,151,327,151,0,24
11.2,Wallingford,335,125,335,125,0,27
11.3,Cascade/Eastlake,340,151,340,151,0,21
12.1,Magnolia,59,52,37,38,22,39
12.2,Interbay,219,132,219,132,0,21
12.3,Queen Anne,724,223,705,221,19,48
13.1,Belltown,273,117,273,117,0,21
13.2,Downtown Commercial Core,74,80,61,78,13,20
13.3,Pioneer Square/International District,102,57,102,57,0,17
