area_id,area_name,b19301c001,b19301c001_moe
1.1,Arbor Heights,11134,3226
1.2,Fauntleroy/Seaview,65145,32283
1.3,West Seattle Junction/Genesee Hill,56858,28746
1.4,Alki/Admiral,50902,37733
3.3,Duwamish/SODO,18162,3772
3.4,South Beacon Hill/NewHolly,25702,25453
4.1,Rainier Beach,7105,10571
4.3,Seward Park,13718,20786
4.4,Mt. Baker/North Rainier,25498,13209
5.3,Central Area/Squire Park,55395,30306
6.1,First Hill,46392,25149
6.2,Capitol Hill,61854,21529
7.2,University District,11416,17831
7.5,Laurelhurst/Sand Point,63867,36362
8.1,Northgate/Maple Leaf,14232,10799
8.3,Cedar Park/Meadowbrook,80423,18228
9.1,Broadview/Bitter Lake,41421,34847
9.3,Greenwood/Phinney Ridge,42366,14563
9.5,Haller Lake,162047,129080
10.1,North Beach/Blue Ridge,20926,10446
10.3,Sunset Hill/Loyal Heights,37847,3311
11.2,Wallingford,73231,24927
11.3,Cascade/Eastlake,39945,29624
12.1,Magnolia,31519,13780
12.2,Interbay,31539,13020
12.3,Queen Anne,94780,22735
13.1,Belltown,20585,11136
13.2,Downtown Commercial Core,3120,3440
