area_id,area_name,b01002b001,b01002b001_moe,b01002b002,b01002b002_moe,b01002b003,b01002b003_moe
1.2,Fauntleroy/Seaview,88,35,88,25,72,78
1.3,West Seattle Junction/Genesee Hill,94,27,75,33,87,8
1.4,Alki/Admiral,33,5,33,5,38,19
2.1,North Delridge,32,5,34,7,29,7
2.2,High Point,48,15,20,18,58,17
2.3,Riverview,22,22,17,7,37,5
2.4,Roxhill/Westwood,124,25,125,62,115,51
2.5,Highland Park,37,4,37,14,37,7
3.1,South Park,49,14,58,10,42,30
3.3,Duwamish/SODO,34,33,54,14,31,9
3.4,South Beacon Hill/NewHolly,63,16,73,18,66,25
3.5,Beacon Hill,82,28,70,43,90,39
3.6,North Beacon Hill/Jefferson Park,119,37,93,59,137,31
4.1,Rainier Beach,62,9,54,18,71,20
4.2,Columbia City,123,16,108,27,133,24
4.3,Seward Park,85,12,81,7,94,22
4.4,Mt. Baker/North Rainier,45,11,45,10,46,43
5.1,Madrona/Leschi,94,15,90,23,109,24
5.2,Judkins Park,46,8,47,7,46,17
5.3,Central Area/Squire Park,172,28,152,28,170,46
6.1,First Hill,117,27,113,18,108,33
6.2,Capitol Hill,144,74,132,71,168,70
6.4,Miller Park,83,29,79,19,106,13
6.5,Madison Park,33,25,14,46,38,16
7.2,University District,64,22,80,71,64,26
7.3,Ravenna/Bryant,63,31,63,41,77,88
7.4,Wedgwood/View Ridge,40,31,40,46,28,43
7.5,Laurelhurst/Sand Point,17,34,37,46,4,35
8.1,Northgate/Maple Leaf,102,50,81,44,106,69
8.2,Olympic Hills/Victory Heights,54,27,60,8,69,7
8.3,Cedar Park/Meadowbrook,64,18,65,22,70,23
9.1,Broadview/Bitter Lake,61,12,60,16,61,47
9.2,Licton Springs,27,5,27,13,27,4
9.3,Greenwood/Phinney Ridge,123,31,110,55,136,101
9.4,Green Lake,31,7,35,0,30,0
9.5,Haller Lake,54,12,94,81,54,26
10.4,Ballard,20,10,18,6,46,9
11.1,Fremont,37,28,43,48,37,40
11.2,Wallingford,45,34,73,63,52,19
11.3,Cascade/Eastlake,97,18,109,17,86,21
12.2,Interbay,77,33,77,36,77,88
12.3,Queen Anne,124,35,115,70,126,16
13.1,Belltown,97,15,97,15,92,73
13.2,Downtown Commercial Core,48,10,46,13,59,9
13.3,Pioneer Square/International District,58,45,74,51,32,62
