area_id,area_name,c21001f001,c21001f001_moe,c21001f002,c21001f002_moe,c21001f003,c21001f003_moe,c21001f004,c21001f004_moe,c21001f005,c21001f005_moe,c21001f006,c21001f006_moe,c21001f007,c21001f007_moe,c21001f008,c21001f008_moe,c21001f009,c21001f009_moe,c21001f010,c21001f010_moe,c21001f011,c21001f011_moe,c21001f012,c21001f012_moe,c21001f013,c21001f013_moe,c21001f014,c21001f014_moe,c21001f015,c21001f015_moe
1.1,Arbor Heights,41,37,41,37,41,37,19,25,22,25,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,71,86,36,38,36,38,17,31,19,27,0,24,0,24,0,24,35,57,35,57,0,24,35,57,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,130,109,56,63,56,63,0,29,56,63,0,29,0,29,0,29,74,90,74,90,59,90,15,26,0,29,0,29,0,29
1.4,Alki/Admiral,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,148,153,80,70,80,70,0,12,80,70,0,12,0,12,0,12,68,85,68,85,0,12,68,85,0,12,0,12,0,12
2.2,High Point,21,31,7,18,7,18,0,17,7,18,0,17,0,17,0,17,14,21,14,21,0,17,14,21,0,17,0,17,0,17
2.3,Riverview,17,17,9,12,9,12,0,12,9,12,0,12,0,12,0,12,8,13,0,12,0,12,0,12,8,13,0,12,8,13
2.4,Roxhill/Westwood,460,265,336,221,336,221,0,21,336,221,0,21,0,21,0,21,124,87,98,77,0,21,98,77,26,43,0,21,26,43
2.5,Highland Park,67,61,21,35,21,35,0,21,21,35,0,21,0,21,0,21,46,51,46,51,0,21,46,51,0,21,0,21,0,21
3.1,South Park,54,58,23,31,23,31,0,17,23,31,0,17,0,17,0,17,31,32,31,32,0,17,31,32,0,17,0,17,0,17
3.2,Georgetown,58,79,42,58,42,58,0,12,42,58,0,12,0,12,0,12,16,21,16,21,0,12,16,21,0,12,0,12,0,12
3.3,Duwamish/SODO,58,94,58,94,46,67,0,12,46,67,12,30,0,12,12,30,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,55,53,43,41,29,36,0,24,29,36,14,29,0,24,14,29,12,25,12,25,0,24,12,25,0,24,0,24,0,24
3.5,Beacon Hill,160,209,96,130,89,115,0,17,89,115,7,28,7,28,0,17,64,91,55,67,0,17,55,67,9,34,0,17,9,34
3.6,North Beacon Hill/Jefferson Park,229,227,193,222,193,222,0,24,193,222,0,24,0,24,0,24,36,47,36,47,0,24,36,47,0,24,0,24,0,24
4.1,Rainier Beach,240,227,149,159,149,159,0,27,149,159,0,27,0,27,0,27,91,85,91,85,0,27,91,85,0,27,0,27,0,27
4.2,Columbia City,158,115,74,67,65,58,23,43,42,44,9,28,9,28,0,27,84,70,68,55,0,27,68,55,16,36,0,27,16,36
4.3,Seward Park,52,51,19,26,11,22,0,17,11,22,8,18,8,18,0,17,33,41,0,17,0,17,0,17,33,41,0,17,33,41
4.4,Mt. Baker/North Rainier,14,22,14,22,14,22,0,17,14,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
5.1,Madrona/Leschi,112,91,52,51,52,51,0,21,52,51,0,21,0,21,0,21,60,59,60,59,12,23,48,47,0,21,0,21,0,21
5.2,Judkins Park,14,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,23,14,23,0,12,14,23,0,12,0,12,0,12
5.3,Central Area/Squire Park,137,106,92,86,92,86,0,24,92,86,0,24,0,24,0,24,45,37,45,37,0,24,45,37,0,24,0,24,0,24
6.1,First Hill,381,147,268,129,268,129,0,24,268,129,0,24,0,24,0,24,113,78,113,78,0,24,113,78,0,24,0,24,0,24
6.2,Capitol Hill,146,90,66,49,66,49,0,29,66,49,0,29,0,29,0,29,80,80,80,80,0,29,80,80,0,29,0,29,0,29
6.3,North Capitol Hill,56,63,56,63,56,63,0,12,56,63,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
6.4,Miller Park,16,20,0,17,0,17,0,17,0,17,0,17,0,17,0,17,16,20,16,20,0,17,16,20,0,17,0,17,0,17
6.5,Madison Park,12,19,12,19,12,19,0,17,12,19,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,58,77,0,21,0,21,0,21,0,21,0,21,0,21,0,21,58,77,58,77,0,21,58,77,0,21,0,21,0,21
7.2,University District,473,281,192,134,192,134,53,84,139,104,0,29,0,29,0,29,281,249,281,249,0,29,281,249,0,29,0,29,0,29
7.3,Ravenna/Bryant,162,88,109,75,109,75,0,32,109,75,0,32,0,32,0,32,53,41,53,41,0,32,53,41,0,32,0,32,0,32
7.4,Wedgwood/View Ridge,41,35,10,28,10,28,0,27,10,28,0,27,0,27,0,27,31,34,31,34,0,27,31,34,0,27,0,27,0,27
7.5,Laurelhurst/Sand Point,17,26,10,24,10,24,10,24,0,21,0,21,0,21,0,21,7,20,7,20,0,21,7,20,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,291,216,180,147,165,146,0,24,165,146,15,29,0,24,15,29,111,78,111,78,28,33,83,75,0,24,0,24,0,24
8.2,Olympic Hills/Victory Heights,231,159,111,83,111,83,13,28,98,82,0,24,0,24,0,24,120,80,120,80,0,24,120,80,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,476,260,374,243,369,244,0,27,369,244,5,25,0,27,5,25,102,96,102,96,0,27,102,96,0,27,0,27,0,27
9.1,Broadview/Bitter Lake,113,73,65,60,65,60,46,52,19,36,0,27,0,27,0,27,48,46,29,34,10,27,19,34,19,36,0,27,19,36
9.2,Licton Springs,263,188,122,107,102,90,0,17,102,90,20,30,20,30,0,17,141,95,116,80,0,17,116,80,25,36,25,36,0,17
9.3,Greenwood/Phinney Ridge,451,241,195,139,195,139,0,29,195,139,0,29,0,29,0,29,256,131,246,131,0,29,246,131,10,31,0,29,10,31
9.4,Green Lake,190,118,122,108,122,108,0,24,122,108,0,24,0,24,0,24,68,54,50,44,0,24,50,44,18,34,0,24,18,34
9.5,Haller Lake,139,115,109,104,109,104,22,37,87,99,0,21,0,21,0,21,30,34,30,34,0,21,30,34,0,21,0,21,0,21
10.1,North Beach/Blue Ridge,89,92,41,52,41,52,11,25,30,50,0,21,0,21,0,21,48,47,48,47,0,21,48,47,0,21,0,21,0,21
10.2,Whittier Heights,134,130,35,58,35,58,0,24,35,58,0,24,0,24,0,24,99,90,99,90,0,24,99,90,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,86,66,41,40,41,40,14,27,27,30,0,24,0,24,0,24,45,41,26,34,0,24,26,34,19,33,0,24,19,33
10.4,Ballard,30,36,15,26,15,26,0,17,15,26,0,17,0,17,0,17,15,25,15,25,0,17,15,25,0,17,0,17,0,17
11.1,Fremont,105,79,22,33,10,31,0,24,10,31,12,26,0,24,12,26,83,72,83,72,0,24,83,72,0,24,0,24,0,24
11.2,Wallingford,167,136,130,113,130,113,0,27,130,113,0,27,0,27,0,27,37,61,37,61,0,27,37,61,0,27,0,27,0,27
11.3,Cascade/Eastlake,231,140,155,124,155,124,15,29,140,124,0,21,0,21,0,21,76,67,34,43,0,21,34,43,42,56,0,21,42,56
12.1,Magnolia,25,44,25,44,25,44,0,24,25,44,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
12.2,Interbay,60,52,0,21,0,21,0,21,0,21,0,21,0,21,0,21,60,52,60,52,0,21,60,52,0,21,0,21,0,21
12.3,Queen Anne,409,176,178,117,178,117,0,40,178,117,0,40,0,40,0,40,231,113,231,113,8,38,223,113,0,40,0,40,0,40
13.1,Belltown,169,117,57,72,57,72,0,21,57,72,0,21,0,21,0,21,112,92,112,92,0,21,112,92,0,21,0,21,0,21
13.2,Downtown Commercial Core,160,101,68,63,68,63,0,12,68,63,0,12,0,12,0,12,92,93,92,93,0,12,92,93,0,12,0,12,0,12
13.3,Pioneer Square/International District,64,54,53,50,53,50,0,17,53,50,0,17,0,17,0,17,11,22,11,22,0,17,11,22,0,17,0,17,0,17
