area_id,area_name,b17010d001,b17010d001_moe,b17010d002,b17010d002_moe,b17010d003,b17010d003_moe,b17010d004,b17010d004_moe,b17010d005,b17010d005_moe,b17010d006,b17010d006_moe,b17010d007,b17010d007_moe,b17010d008,b17010d008_moe,b17010d009,b17010d009_moe,b17010d010,b17010d010_moe,b17010d011,b17010d011_moe,b17010d012,b17010d012_moe,b17010d013,b17010d013_moe,b17010d014,b17010d014_moe,b17010d015,b17010d015_moe,b17010d016,b17010d016_moe,b17010d017,b17010d017_moe,b17010d018,b17010d018_moe,b17010d019,b17010d019_moe,b17010d020,b17010d020_moe,b17010d021,b17010d021_moe,b17010d022,b17010d022_moe,b17010d023,b17010d023_moe,b17010d024,b17010d024_moe,b17010d025,b17010d025_moe,b17010d026,b17010d026_moe,b17010d027,b17010d027_moe,b17010d028,b17010d028_moe,b17010d029,b17010d029_moe,b17010d030,b17010d030_moe,b17010d031,b17010d031_moe,b17010d032,b17010d032_moe,b17010d033,b17010d033_moe,b17010d034,b17010d034_moe,b17010d035,b17010d035_moe,b17010d036,b17010d036_moe,b17010d037,b17010d037_moe,b17010d038,b17010d038_moe,b17010d039,b17010d039_moe,b17010d040,b17010d040_moe,b17010d041,b17010d041_moe
1.1,Arbor Heights,28,29,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,28,29,28,29,22,27,0,17,0,17,22,27,6,16,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,156,78,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,156,78,72,47,21,32,14,29,2,19,5,19,51,39,84,73,8,23,0,24,0,24,0,24,0,24,8,23,76,76,76,76,29,48,0,24,47,63,0,24
1.3,West Seattle Junction/Genesee Hill,89,57,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,89,57,75,51,65,46,33,43,0,29,32,33,10,29,14,33,0,29,0,29,0,29,0,29,0,29,0,29,14,33,0,29,0,29,0,29,0,29,14,33
1.4,Alki/Admiral,88,62,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,88,62,88,62,26,33,26,33,0,24,0,24,62,53,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,161,93,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,161,93,88,65,35,45,0,12,35,45,0,12,53,48,73,67,49,60,0,12,0,12,0,12,0,12,49,60,24,30,14,23,0,12,14,23,0,12,10,20
2.2,High Point,326,111,128,89,0,17,0,17,0,17,0,17,0,17,0,17,128,89,0,17,0,17,0,17,0,17,0,17,0,17,128,89,76,59,0,17,0,17,76,59,52,81,198,82,184,78,75,57,11,23,0,17,64,54,109,59,14,24,0,17,0,17,0,17,0,17,0,17,0,17,14,24,14,24,0,17,0,17,14,24,0,17
2.3,Riverview,219,61,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,219,61,162,52,77,45,14,19,30,24,33,44,85,41,57,42,12,20,12,20,0,12,0,12,12,20,0,12,45,36,15,22,0,12,15,22,0,12,30,28
2.4,Roxhill/Westwood,390,117,79,68,79,68,37,46,0,21,0,21,37,46,42,54,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,311,110,236,97,112,61,30,34,29,37,53,39,124,78,75,70,44,60,3,18,3,18,0,21,0,21,41,60,31,39,31,39,0,21,0,21,31,39,0,21
2.5,Highland Park,230,69,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,230,69,163,79,95,61,9,22,44,56,42,41,68,46,67,56,27,41,27,41,0,21,0,21,27,41,0,21,40,44,40,44,17,34,0,21,23,32,0,21
3.1,South Park,184,49,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,184,49,104,40,92,39,26,30,31,34,35,28,12,18,80,49,35,45,9,20,0,17,0,17,9,20,26,44,45,39,6,16,0,17,0,17,6,16,39,37
