area_id,area_name,b19113a001,b19113a001_moe
1.1,Arbor Heights,198923,14973
1.2,Fauntleroy/Seaview,244396,23219
1.3,West Seattle Junction/Genesee Hill,305423,18454
1.4,Alki/Admiral,253292,37761
2.1,North Delridge,89705,26988
2.2,High Point,180955,58595
2.3,Riverview,85350,11284
2.4,Roxhill/Westwood,240125,21772
2.5,Highland Park,72998,3649
3.1,South Park,43636,12078
3.2,Georgetown,76250,28673
3.3,Duwamish/SODO,100625,51856
3.4,South Beacon Hill/NewHolly,168004,96715
3.5,Beacon Hill,244219,41934
3.6,North Beacon Hill/Jefferson Park,258308,103655
4.1,Rainier Beach,142916,35621
4.2,Columbia City,299499,64683
4.3,Seward Park,211964,46796
4.4,Mt. Baker/North Rainier,160664,29197
5.1,Madrona/Leschi,292740,50024
5.2,Judkins Park,90972,34790
5.3,Central Area/Squire Park,409913,55088
6.1,First Hill,392273,102186
6.2,Capitol Hill,397946,82610
6.3,North Capitol Hill,186851,24437
6.4,Miller Park,298893,37846
6.5,Madison Park,166106,27119
7.1,Montlake/Portage Bay,261731,52667
7.2,University District,149389,79918
7.3,Ravenna/Bryant,720746,107605
7.4,Wedgwood/View Ridge,460771,59554
7.5,Laurelhurst/Sand Point,280690,52562
8.1,Northgate/Maple Leaf,263902,38242
8.2,Olympic Hills/Victory Heights,274634,43113
8.3,Cedar Park/Meadowbrook,407608,49732
9.1,Broadview/Bitter Lake,314054,53559
9.2,Licton Springs,186467,40295
9.3,Greenwood/Phinney Ridge,638240,46860
9.4,Green Lake,334143,31684
9.5,Haller Lake,169107,21374
10.1,North Beach/Blue Ridge,318657,35359
10.2,Whittier Heights,190659,21539
10.3,Sunset Hill/Loyal Heights,207279,25486
10.4,Ballard,92240,26704
11.1,Fremont,290041,44566
11.2,Wallingford,505915,69390
11.3,Cascade/Eastlake,273300,76131
12.1,Magnolia,302647,32227
12.2,Interbay,224425,46630
12.3,Queen Anne,872798,87386
13.1,Belltown,331350,179688
13.2,Downtown Commercial Core,154519,86847
13.3,Pioneer Square/International District,210511,86457
