area_id,area_name,c27001f001,c27001f001_moe,c27001f002,c27001f002_moe,c27001f003,c27001f003_moe,c27001f004,c27001f004_moe,c27001f005,c27001f005_moe,c27001f006,c27001f006_moe,c27001f007,c27001f007_moe,c27001f008,c27001f008_moe,c27001f009,c27001f009_moe,c27001f010,c27001f010_moe
1.1,Arbor Heights,41,37,0,17,0,17,0,17,41,37,34,30,7,18,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,101,134,30,53,30,53,0,24,71,86,37,43,34,51,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,159,135,38,62,38,62,0,29,121,107,121,107,0,29,0,29,0,29,0,29
1.4,Alki/Admiral,24,43,24,43,24,43,0,24,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,148,153,0,12,0,12,0,12,148,153,43,52,105,158,0,12,0,12,0,12
2.2,High Point,55,79,34,58,34,58,0,17,21,31,21,31,0,17,0,17,0,17,0,17
2.3,Riverview,17,17,0,12,0,12,0,12,9,12,9,12,0,12,8,13,8,13,0,12
2.4,Roxhill/Westwood,705,410,245,208,245,208,0,21,434,249,177,132,257,167,26,43,0,21,26,43
2.5,Highland Park,67,61,0,21,0,21,0,21,67,61,27,44,40,48,0,21,0,21,0,21
3.1,South Park,132,160,78,106,64,102,14,25,54,58,41,56,13,23,0,17,0,17,0,17
3.2,Georgetown,58,79,0,12,0,12,0,12,58,79,0,12,58,79,0,12,0,12,0,12
3.3,Duwamish/SODO,58,94,0,12,0,12,0,12,46,67,21,33,25,59,12,30,12,30,0,12
3.4,South Beacon Hill/NewHolly,82,89,27,45,27,45,0,24,41,49,28,34,13,27,14,29,14,29,0,24
3.5,Beacon Hill,254,320,94,123,94,123,0,17,144,168,55,63,89,118,16,58,16,58,0,17
3.6,North Beacon Hill/Jefferson Park,242,231,13,29,13,29,0,24,229,227,87,141,142,112,0,24,0,24,0,24
4.1,Rainier Beach,569,540,329,324,329,324,0,27,240,227,240,227,0,27,0,27,0,27,0,27
4.2,Columbia City,145,117,14,32,14,32,0,27,124,93,62,58,62,62,7,33,7,33,0,27
4.3,Seward Park,52,51,0,17,0,17,0,17,11,22,11,22,0,17,41,47,41,47,0,17
4.4,Mt. Baker/North Rainier,14,22,0,17,0,17,0,17,14,22,14,22,0,17,0,17,0,17,0,17
5.1,Madrona/Leschi,162,112,50,70,50,70,0,21,112,91,112,91,0,21,0,21,0,21,0,21
5.2,Judkins Park,14,23,0,12,0,12,0,12,14,23,14,23,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,159,125,22,38,22,38,0,24,137,106,95,68,42,67,0,24,0,24,0,24
6.1,First Hill,276,137,0,24,0,24,0,24,276,137,157,84,119,99,0,24,0,24,0,24
6.2,Capitol Hill,146,90,0,29,0,29,0,29,146,90,134,89,12,33,0,29,0,29,0,29
6.3,North Capitol Hill,56,63,0,12,0,12,0,12,56,63,56,63,0,12,0,12,0,12,0,12
6.4,Miller Park,16,20,0,17,0,17,0,17,16,20,16,20,0,17,0,17,0,17,0,17
6.5,Madison Park,35,56,23,38,23,38,0,17,12,19,12,19,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,69,79,11,24,11,24,0,21,58,77,58,77,0,21,0,21,0,21,0,21
7.2,University District,473,281,0,29,0,29,0,29,473,281,379,272,94,81,0,29,0,29,0,29
