area_id,area_name,b05008001,b05008001_moe,b05008002,b05008002_moe,b05008003,b05008003_moe,b05008004,b05008004_moe,b05008005,b05008005_moe,b05008006,b05008006_moe,b05008007,b05008007_moe,b05008008,b05008008_moe,b05008009,b05008009_moe,b05008010,b05008010_moe,b05008011,b05008011_moe,b05008012,b05008012_moe,b05008013,b05008013_moe,b05008014,b05008014_moe,b05008015,b05008015_moe,b05008016,b05008016_moe,b05008017,b05008017_moe,b05008018,b05008018_moe,b05008019,b05008019_moe,b05008020,b05008020_moe,b05008021,b05008021_moe,b05008022,b05008022_moe,b05008023,b05008023_moe,b05008024,b05008024_moe,b05008025,b05008025_moe,b05008026,b05008026_moe,b05008027,b05008027_moe,b05008028,b05008028_moe,b05008029,b05008029_moe,b05008030,b05008030_moe,b05008031,b05008031_moe,b05008032,b05008032_moe,b05008033,b05008033_moe,b05008034,b05008034_moe,b05008035,b05008035_moe,b05008036,b05008036_moe,b05008037,b05008037_moe,b05008038,b05008038_moe,b05008039,b05008039_moe,b05008040,b05008040_moe,b05008041,b05008041_moe,b05008042,b05008042_moe,b05008043,b05008043_moe,b05008044,b05008044_moe,b05008045,b05008045_moe,b05008046,b05008046_moe,b05008047,b05008047_moe,b05008048,b05008048_moe,b05008049,b05008049_moe,b05008050,b05008050_moe,b05008051,b05008051_moe,b05008052,b05008052_moe,b05008053,b05008053_moe,b05008054,b05008054_moe,b05008055,b05008055_moe,b05008056,b05008056_moe,b05008057,b05008057_moe,b05008058,b05008058_moe,b05008059,b05008059_moe,b05008060,b05008060_moe,b05008061,b05008061_moe,b05008062,b05008062_moe,b05008063,b05008063_moe,b05008064,b05008064_moe,b05008065,b05008065_moe,b05008066,b05008066_moe,b05008067,b05008067_moe,b05008068,b05008068_moe,b05008069,b05008069_moe
9.3,Greenwood/Phinney Ridge,2386,383,944,208,294,109,18,33,53,50,223,95,291,122,16,39,51,49,224,103,149,99,0,29,0,29,149,99,12,29,0,29,0,29,12,29,100,89,100,89,0,29,0,29,100,89,0,29,0,29,0,29,0,29,37,45,0,29,0,29,37,45,210,107,17,34,39,43,154,97,1442,253,276,112,31,60,103,61,142,70,685,148,16,36,132,73,537,123,242,119,0,29,141,79,101,79,0,29,0,29,0,29,0,29,134,103,86,82,0,29,49,59,37,46,48,66,0,29,0,29,48,66,108,67,0,29,92,60,16,31,239,135,12,33,149,123,78,57
9.4,Green Lake,1504,269,776,204,321,144,0,24,151,113,170,97,327,130,0,24,65,51,262,122,74,51,0,24,28,34,46,46,13,30,0,24,0,24,13,30,44,41,44,41,0,24,28,34,16,30,0,24,0,24,0,24,0,24,17,36,0,24,0,24,17,36,54,45,0,24,54,45,0,24,728,159,142,64,0,24,49,43,93,57,375,121,12,28,127,76,236,90,110,72,0,24,38,42,72,61,61,60,0,24,16,34,45,55,20,38,0,24,0,24,0,24,0,24,20,38,0,24,0,24,20,38,29,32,0,24,22,33,7,24,101,51,0,24,27,31,74,49
9.5,Haller Lake,2173,403,952,189,176,112,0,21,0,21,176,112,352,127,0,21,59,51,293,121,110,90,0,21,102,93,8,21,0,21,0,21,0,21,0,21,96,81,88,83,0,21,88,83,0,21,8,21,0,21,0,21,8,21,14,24,0,21,14,24,0,21,314,138,0,21,38,38,276,124,1221,270,218,146,0,21,17,29,201,155,673,172,36,41,269,134,368,144,146,160,0,21,146,160,0,21,0,21,0,21,0,21,0,21,130,148,130,148,0,21,130,148,0,21,0,21,0,21,0,21,0,21,16,27,0,21,16,27,0,21,184,106,0,21,77,59,107,91
10.1,North Beach/Blue Ridge,1262,374,682,284,166,63,0,21,0,21,166,63,195,80,17,32,26,31,152,76,244,214,0,21,93,83,151,148,16,30,0,21,0,21,16,30,208,211,181,208,0,21,84,83,97,139,27,34,0,21,0,21,27,34,20,29,0,21,9,23,11,25,77,72,0,21,11,24,66,70,580,147,177,60,0,21,0,21,177,60,199,86,0,21,67,66,132,63,108,86,0,21,53,51,55,72,0,21,0,21,0,21,0,21,83,81,83,81,0,21,39,45,44,71,0,21,0,21,0,21,0,21,25,32,0,21,14,29,11,25,96,75,0,21,0,21,96,75
10.2,Whittier Heights,779,194,290,119,73,52,0,24,20,39,53,38,105,78,16,30,45,56,44,53,50,61,0,24,30,34,20,35,0,24,0,24,0,24,0,24,33,37,0,24,0,24,0,24,0,24,33,37,0,24,13,27,20,35,17,32,0,24,17,32,0,24,62,49,0,24,25,29,37,40,489,138,180,79,0,24,35,34,145,76,214,88,0,24,109,69,105,63,14,29,0,24,14,29,0,24,0,24,0,24,0,24,0,24,14,29,0,24,0,24,0,24,0,24,14,29,0,24,14,29,0,24,0,24,0,24,0,24,0,24,81,64,0,24,17,33,64,58
10.3,Sunset Hill/Loyal Heights,1227,249,427,126,209,90,0,24,83,52,126,73,109,64,0,24,34,41,75,55,23,27,0,24,0,24,23,27,14,28,0,24,0,24,14,28,9,23,9,23,0,24,0,24,9,23,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,86,53,0,24,0,24,86,53,800,200,275,124,40,62,28,45,207,110,304,113,0,24,64,49,240,107,52,49,0,24,18,34,34,42,0,24,0,24,0,24,0,24,18,34,0,24,0,24,0,24,0,24,18,34,0,24,18,34,0,24,34,42,0,24,0,24,34,42,169,90,0,24,58,69,111,65
10.4,Ballard,944,401,404,211,239,173,0,17,132,132,107,105,57,67,18,29,17,27,22,35,78,102,0,17,36,59,42,50,0,17,0,17,0,17,0,17,78,102,78,102,0,17,36,59,42,50,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,30,42,0,17,0,17,30,42,540,271,260,171,0,17,115,127,145,97,222,192,19,31,116,160,87,82,15,25,0,17,0,17,15,25,0,17,0,17,0,17,0,17,15,25,0,17,0,17,0,17,0,17,15,25,0,17,0,17,15,25,0,17,0,17,0,17,0,17,43,47,0,17,0,17,43,47
11.1,Fremont,1489,297,719,190,251,109,19,33,107,64,125,82,197,103,9,26,46,44,142,89,82,59,0,24,57,50,25,37,0,24,0,24,0,24,0,24,56,48,42,45,0,24,17,34,25,37,14,30,0,24,14,30,0,24,26,38,0,24,26,38,0,24,189,103,0,24,47,44,142,95,770,200,260,107,18,34,153,86,89,58,319,128,0,24,168,105,151,71,96,82,0,24,23,43,73,74,21,37,0,24,0,24,21,37,23,43,23,43,0,24,23,43,0,24,0,24,0,24,0,24,0,24,52,66,0,24,0,24,52,66,95,73,0,24,48,45,47,45
11.2,Wallingford,1648,295,810,192,206,89,0,27,67,57,139,71,378,141,11,28,197,120,170,77,88,79,0,27,26,31,62,77,0,27,0,27,0,27,0,27,26,31,15,27,0,27,15,27,0,27,11,26,0,27,11,26,0,27,62,77,0,27,0,27,62,77,138,79,6,26,78,70,54,41,838,220,155,69,0,27,30,30,125,61,523,195,27,37,284,161,212,98,77,68,0,27,0,27,77,68,0,27,0,27,0,27,0,27,25,30,25,30,0,27,0,27,25,30,0,27,0,27,0,27,0,27,52,66,0,27,0,27,52,66,83,53,0,27,37,40,46,37
11.3,Cascade/Eastlake,2258,538,1264,488,215,126,16,32,142,109,57,53,788,449,10,24,480,434,298,139,102,68,0,21,51,56,51,44,0,21,0,21,0,21,0,21,49,52,32,46,0,21,32,46,0,21,17,32,0,21,0,21,17,32,53,46,0,21,19,35,34,34,159,88,24,42,93,71,42,43,994,268,153,109,16,40,55,47,82,87,563,206,47,77,362,172,154,89,119,81,15,29,34,43,70,68,32,53,0,21,0,21,32,53,15,29,15,29,15,29,0,21,0,21,0,21,0,21,0,21,0,21,72,59,0,21,34,43,38,46,159,106,0,21,43,49,116,93
12.1,Magnolia,1513,279,573,172,261,120,0,24,58,57,203,105,170,87,0,24,25,39,145,83,13,27,0,24,13,27,0,24,0,24,0,24,0,24,0,24,13,27,13,27,0,24,13,27,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,129,69,0,24,0,24,129,69,940,205,246,98,0,24,33,42,213,95,345,117,0,24,114,86,231,94,92,70,0,24,60,58,32,43,0,24,0,24,0,24,0,24,47,54,47,54,0,24,47,54,0,24,0,24,0,24,0,24,0,24,45,44,0,24,13,27,32,43,257,129,0,24,92,102,165,78
12.2,Interbay,1382,387,667,264,229,118,0,21,117,100,112,71,213,156,0,21,91,89,122,129,48,48,0,21,22,34,26,37,22,34,0,21,22,34,0,21,13,30,0,21,0,21,0,21,0,21,13,30,0,21,0,21,13,30,13,27,0,21,0,21,13,27,177,181,43,61,78,111,56,53,715,199,216,103,0,21,77,54,139,92,320,148,0,21,82,79,238,127,116,80,0,21,68,53,48,51,13,30,0,21,13,30,0,21,57,55,27,46,0,21,0,21,27,46,30,35,0,21,16,28,14,29,46,54,0,21,39,44,7,19,63,47,0,21,0,21,63,47
12.3,Queen Anne,3749,466,1829,358,594,175,13,43,135,88,446,154,693,239,65,67,281,173,347,137,182,120,0,40,85,104,97,71,4,37,0,40,0,40,4,37,157,117,127,114,0,40,64,101,63,66,30,48,0,40,10,42,20,47,21,45,0,40,11,42,10,41,360,155,0,40,127,86,233,123,1920,290,367,121,7,40,96,69,264,101,1042,238,55,58,323,158,664,196,157,104,13,42,122,97,22,48,0,40,0,40,0,40,0,40,99,85,64,77,0,40,64,77,0,40,35,54,13,42,0,40,22,48,58,72,0,40,58,72,0,40,354,142,0,40,167,111,187,91
13.1,Belltown,1545,384,988,315,104,71,0,21,46,55,58,46,396,231,0,21,230,198,166,133,71,79,28,47,0,21,43,67,0,21,0,21,0,21,0,21,43,67,5,20,0,21,0,21,5,20,38,66,0,21,0,21,38,66,28,47,28,47,0,21,0,21,417,212,0,21,211,111,206,195,557,194,79,83,0,21,47,55,32,39,292,131,26,43,115,85,151,90,61,67,0,21,54,67,7,21,0,21,0,21,0,21,0,21,46,63,39,63,0,21,39,63,0,21,7,21,0,21,0,21,7,21,15,28,0,21,15,28,0,21,125,80,16,31,48,46,61,60
13.2,Downtown Commercial Core,748,209,419,177,111,69,12,19,40,40,59,55,116,80,0,12,51,49,65,57,58,74,0,12,50,62,8,15,0,12,0,12,0,12,0,12,53,73,53,73,0,12,45,61,8,15,0,12,0,12,0,12,0,12,5,12,0,12,5,12,0,12,134,75,6,13,80,64,48,42,329,118,73,44,12,19,22,25,39,35,155,96,0,12,64,69,91,64,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,101,91,0,12,0,12,101,91
13.3,Pioneer Square/International District,2470,361,1221,211,43,35,0,17,0,17,43,35,927,154,12,24,392,110,523,146,57,61,0,17,32,52,25,36,0,17,0,17,0,17,0,17,25,36,0,17,0,17,0,17,0,17,25,36,0,17,0,17,25,36,32,52,0,17,32,52,0,17,194,149,22,37,136,127,36,44,1249,210,12,30,0,17,12,30,0,17,1035,165,16,19,371,125,648,135,22,29,11,22,0,17,11,22,0,17,0,17,0,17,0,17,22,29,11,22,11,22,0,17,0,17,11,22,0,17,0,17,11,22,0,17,0,17,0,17,0,17,180,173,20,33,125,159,35,36
