area_id,area_name,c21001g001,c21001g001_moe,c21001g002,c21001g002_moe,c21001g003,c21001g003_moe,c21001g004,c21001g004_moe,c21001g005,c21001g005_moe,c21001g006,c21001g006_moe,c21001g007,c21001g007_moe,c21001g008,c21001g008_moe,c21001g009,c21001g009_moe,c21001g010,c21001g010_moe,c21001g011,c21001g011_moe,c21001g012,c21001g012_moe,c21001g013,c21001g013_moe,c21001g014,c21001g014_moe,c21001g015,c21001g015_moe
1.1,Arbor Heights,218,127,86,60,86,60,23,26,63,54,0,17,0,17,0,17,132,80,132,80,0,17,132,80,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,191,96,74,54,74,54,0,24,74,54,0,24,0,24,0,24,117,76,93,73,0,24,93,73,24,26,0,24,24,26
1.3,West Seattle Junction/Genesee Hill,351,123,189,90,189,90,25,35,164,88,0,29,0,29,0,29,162,82,162,82,0,29,162,82,0,29,0,29,0,29
1.4,Alki/Admiral,273,115,106,75,101,74,16,32,85,67,5,20,0,24,5,20,167,89,145,82,0,24,145,82,22,38,0,24,22,38
2.1,North Delridge,218,108,76,53,76,53,0,12,76,53,0,12,0,12,0,12,142,83,142,83,0,12,142,83,0,12,0,12,0,12
2.2,High Point,126,67,93,54,93,54,7,17,86,53,0,17,0,17,0,17,33,36,18,24,0,17,18,24,15,27,0,17,15,27
2.3,Riverview,178,80,68,54,68,54,8,12,60,54,0,12,0,12,0,12,110,77,102,75,0,12,102,75,8,13,0,12,8,13
2.4,Roxhill/Westwood,394,157,154,89,140,86,0,21,140,86,14,27,14,27,0,21,240,110,240,110,0,21,240,110,0,21,0,21,0,21
2.5,Highland Park,220,135,144,102,144,102,0,21,144,102,0,21,0,21,0,21,76,78,76,78,0,21,76,78,0,21,0,21,0,21
3.1,South Park,247,236,97,92,81,89,5,16,76,89,16,29,16,29,0,17,150,150,150,150,0,17,150,150,0,17,0,17,0,17
3.2,Georgetown,69,68,19,20,4,9,4,9,0,12,15,16,0,12,15,16,50,55,50,55,0,12,50,55,0,12,0,12,0,12
3.3,Duwamish/SODO,73,55,65,52,65,52,0,12,65,52,0,12,0,12,0,12,8,15,8,15,0,12,8,15,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,279,124,111,64,99,61,0,24,99,61,12,28,0,24,12,28,168,94,145,88,0,24,145,88,23,28,15,30,8,21
3.5,Beacon Hill,220,153,97,74,65,55,0,17,65,55,32,49,0,17,32,49,123,97,123,97,0,17,123,97,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,504,179,305,121,291,120,19,37,272,116,14,29,0,24,14,29,199,104,174,103,0,24,174,103,25,35,0,24,25,35
4.1,Rainier Beach,508,243,121,94,121,94,0,27,121,94,0,27,0,27,0,27,387,192,387,192,14,30,373,190,0,27,0,27,0,27
4.2,Columbia City,437,152,159,78,156,78,71,54,85,52,3,22,3,22,0,27,278,124,230,117,33,37,197,113,48,48,0,27,48,48
4.3,Seward Park,295,133,167,88,147,81,30,35,117,60,20,22,11,20,9,19,128,68,98,63,0,17,98,63,30,30,0,17,30,30
4.4,Mt. Baker/North Rainier,199,102,47,36,39,37,0,17,39,37,8,17,8,17,0,17,152,86,138,82,0,17,138,82,14,22,0,17,14,22
5.1,Madrona/Leschi,351,244,207,134,172,121,67,101,105,64,35,39,15,21,20,35,144,125,144,125,0,21,144,125,0,21,0,21,0,21
5.2,Judkins Park,137,119,73,69,73,69,9,15,64,67,0,12,0,12,0,12,64,56,64,56,0,12,64,56,0,12,0,12,0,12
5.3,Central Area/Squire Park,711,226,178,81,178,81,30,33,148,73,0,24,0,24,0,24,533,216,454,201,0,24,454,201,79,80,0,24,79,80
6.1,First Hill,634,135,337,87,337,87,17,32,320,84,0,24,0,24,0,24,297,107,292,106,0,24,292,106,5,23,0,24,5,23
6.2,Capitol Hill,749,252,431,212,431,212,0,29,431,212,0,29,0,29,0,29,318,129,307,127,16,35,291,125,11,30,0,29,11,30
6.3,North Capitol Hill,90,86,78,80,78,80,0,12,78,80,0,12,0,12,0,12,12,20,12,20,0,12,12,20,0,12,0,12,0,12
6.4,Miller Park,181,86,76,56,76,56,0,17,76,56,0,17,0,17,0,17,105,65,105,65,0,17,105,65,0,17,0,17,0,17
6.5,Madison Park,50,42,33,30,33,30,13,20,20,23,0,17,0,17,0,17,17,28,17,28,0,17,17,28,0,17,0,17,0,17
7.1,Montlake/Portage Bay,304,123,133,86,133,86,0,21,133,86,0,21,0,21,0,21,171,86,160,85,0,21,160,85,11,24,0,21,11,24
7.2,University District,901,224,428,142,428,142,0,29,428,142,0,29,0,29,0,29,473,166,473,166,0,29,473,166,0,29,0,29,0,29
7.3,Ravenna/Bryant,802,194,339,118,278,109,13,35,265,106,61,52,61,52,0,32,463,142,458,143,23,54,435,137,5,31,0,32,5,31
7.4,Wedgwood/View Ridge,346,132,217,111,217,111,0,27,217,111,0,27,0,27,0,27,129,72,116,69,0,27,116,69,13,31,0,27,13,31
7.5,Laurelhurst/Sand Point,268,136,136,86,136,86,38,59,98,63,0,21,0,21,0,21,132,105,119,103,0,21,119,103,13,25,0,21,13,25
8.1,Northgate/Maple Leaf,270,106,129,69,117,66,17,26,100,64,12,25,0,24,12,25,141,79,141,79,0,24,141,79,0,24,0,24,0,24
8.2,Olympic Hills/Victory Heights,533,223,244,112,228,107,9,25,219,105,16,31,0,24,16,31,289,174,275,172,0,24,275,172,14,30,0,24,14,30
8.3,Cedar Park/Meadowbrook,276,102,203,90,203,90,14,25,189,96,0,27,0,27,0,27,73,48,69,47,0,27,69,47,4,25,0,27,4,25
9.1,Broadview/Bitter Lake,435,207,120,95,120,95,0,27,120,95,0,27,0,27,0,27,315,143,266,134,0,27,266,134,49,50,0,27,49,50
9.2,Licton Springs,330,144,180,100,180,100,0,17,180,100,0,17,0,17,0,17,150,89,150,89,0,17,150,89,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,729,238,342,140,338,140,18,32,320,140,4,28,4,28,0,29,387,137,387,137,21,34,366,131,0,29,0,29,0,29
9.4,Green Lake,470,205,141,92,141,92,32,52,109,66,0,24,0,24,0,24,329,208,329,208,0,24,329,208,0,24,0,24,0,24
9.5,Haller Lake,204,106,115,84,108,83,0,21,108,83,7,21,0,21,7,21,89,62,75,59,0,21,75,59,14,26,14,26,0,21
10.1,North Beach/Blue Ridge,347,155,155,80,153,80,1,17,152,80,2,17,2,17,0,21,192,112,192,112,0,21,192,112,0,21,0,21,0,21
10.2,Whittier Heights,328,177,202,106,202,106,0,24,202,106,0,24,0,24,0,24,126,94,126,94,0,24,126,94,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,397,146,133,72,133,72,0,24,133,72,0,24,0,24,0,24,264,118,236,114,18,34,218,110,28,30,0,24,28,30
10.4,Ballard,284,184,89,79,89,79,0,17,89,79,0,17,0,17,0,17,195,157,195,157,0,17,195,157,0,17,0,17,0,17
11.1,Fremont,502,180,173,106,173,106,30,40,143,98,0,24,0,24,0,24,329,145,310,145,0,24,310,145,19,29,0,24,19,29
11.2,Wallingford,648,185,277,123,277,123,2,24,275,123,0,27,0,27,0,27,371,136,339,125,0,27,339,125,32,55,0,27,32,55
11.3,Cascade/Eastlake,472,188,175,124,175,124,28,38,147,120,0,21,0,21,0,21,297,145,297,145,0,21,297,145,0,21,0,21,0,21
12.1,Magnolia,131,88,20,29,20,29,0,24,20,29,0,24,0,24,0,24,111,87,111,87,0,24,111,87,0,24,0,24,0,24
12.2,Interbay,343,164,170,103,170,103,0,21,170,103,0,21,0,21,0,21,173,111,173,111,0,21,173,111,0,21,0,21,0,21
12.3,Queen Anne,1557,418,842,298,830,298,48,43,782,296,12,41,0,40,12,41,715,211,700,207,0,40,700,207,15,45,15,45,0,40
13.1,Belltown,317,135,116,78,80,53,0,21,80,53,36,60,0,21,36,60,201,112,201,112,0,21,201,112,0,21,0,21,0,21
13.2,Downtown Commercial Core,211,127,162,111,161,111,4,9,157,110,1,2,1,2,0,12,49,49,49,49,0,12,49,49,0,12,0,12,0,12
