area_id,area_name,b19113i001,b19113i001_moe
1.1,Arbor Heights,258069,114710
1.2,Fauntleroy/Seaview,150526,193412
1.3,West Seattle Junction/Genesee Hill,365186,122075
1.4,Alki/Admiral,39740,188778
2.1,North Delridge,24699,82088
2.2,High Point,22125,32300
2.3,Riverview,85347,82199
2.4,Roxhill/Westwood,190542,93048
2.5,Highland Park,49853,71260
3.1,South Park,33958,23472
3.2,Georgetown,48417,8052
3.3,Duwamish/SODO,34643,83493
3.4,South Beacon Hill/NewHolly,63328,12914
3.6,North Beacon Hill/Jefferson Park,101515,34583
4.1,Rainier Beach,67148,55915
4.2,Columbia City,175047,104994
4.3,Seward Park,90638,74563
4.4,Mt. Baker/North Rainier,152417,11738
5.3,Central Area/Squire Park,271489,74466
6.1,First Hill,140953,107981
6.2,Capitol Hill,26875,19359
6.3,North Capitol Hill,205066,300471
6.4,Miller Park,255104,117444
7.1,Montlake/Portage Bay,126250,57653
7.2,University District,12206,270284
7.3,Ravenna/Bryant,359799,246816
7.4,Wedgwood/View Ridge,476029,208099
8.1,Northgate/Maple Leaf,232129,398478
8.2,Olympic Hills/Victory Heights,209571,167321
8.3,Cedar Park/Meadowbrook,140491,233724
9.1,Broadview/Bitter Lake,7452,172394
9.2,Licton Springs,86250,64373
9.3,Greenwood/Phinney Ridge,265559,329422
9.4,Green Lake,203042,346441
9.5,Haller Lake,131023,144261
10.1,North Beach/Blue Ridge,60681,16751
10.2,Whittier Heights,43188,50546
10.3,Sunset Hill/Loyal Heights,140078,74641
11.1,Fremont,41544,72160
11.2,Wallingford,74806,34984
11.3,Cascade/Eastlake,34483,177674
12.2,Interbay,154049,130967
12.3,Queen Anne,259735,127315
