area_id,area_name,b17001d001,b17001d001_moe,b17001d002,b17001d002_moe,b17001d003,b17001d003_moe,b17001d004,b17001d004_moe,b17001d005,b17001d005_moe,b17001d006,b17001d006_moe,b17001d007,b17001d007_moe,b17001d008,b17001d008_moe,b17001d009,b17001d009_moe,b17001d010,b17001d010_moe,b17001d011,b17001d011_moe,b17001d012,b17001d012_moe,b17001d013,b17001d013_moe,b17001d014,b17001d014_moe,b17001d015,b17001d015_moe,b17001d016,b17001d016_moe,b17001d017,b17001d017_moe,b17001d018,b17001d018_moe,b17001d019,b17001d019_moe,b17001d020,b17001d020_moe,b17001d021,b17001d021_moe,b17001d022,b17001d022_moe,b17001d023,b17001d023_moe,b17001d024,b17001d024_moe,b17001d025,b17001d025_moe,b17001d026,b17001d026_moe,b17001d027,b17001d027_moe,b17001d028,b17001d028_moe,b17001d029,b17001d029_moe,b17001d030,b17001d030_moe,b17001d031,b17001d031_moe,b17001d032,b17001d032_moe,b17001d033,b17001d033_moe,b17001d034,b17001d034_moe,b17001d035,b17001d035_moe,b17001d036,b17001d036_moe,b17001d037,b17001d037_moe,b17001d038,b17001d038_moe,b17001d039,b17001d039_moe,b17001d040,b17001d040_moe,b17001d041,b17001d041_moe,b17001d042,b17001d042_moe,b17001d043,b17001d043_moe,b17001d044,b17001d044_moe,b17001d045,b17001d045_moe,b17001d046,b17001d046_moe,b17001d047,b17001d047_moe,b17001d048,b17001d048_moe,b17001d049,b17001d049_moe,b17001d050,b17001d050_moe,b17001d051,b17001d051_moe,b17001d052,b17001d052_moe,b17001d053,b17001d053_moe,b17001d054,b17001d054_moe,b17001d055,b17001d055_moe,b17001d056,b17001d056_moe,b17001d057,b17001d057_moe,b17001d058,b17001d058_moe,b17001d059,b17001d059_moe
1.1,Arbor Heights,424,142,40,42,13,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,13,22,0,17,0,17,0,17,0,17,0,17,27,40,0,17,0,17,0,17,0,17,0,17,0,17,27,40,0,17,0,17,0,17,0,17,0,17,0,17,384,149,118,69,0,17,0,17,14,24,15,25,0,17,0,17,0,17,0,17,24,29,29,40,0,17,30,26,6,16,266,107,0,17,0,17,27,30,13,23,8,18,0,17,9,18,39,56,43,39,33,34,8,18,64,65,22,24
1.2,Fauntleroy/Seaview,558,167,4,20,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,4,20,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,4,20,0,24,0,24,0,24,554,168,159,89,26,44,0,24,0,24,0,24,5,19,0,24,0,24,42,49,27,30,25,24,0,24,24,27,10,23,395,115,3,19,0,24,26,34,0,24,0,24,0,24,34,43,187,100,57,48,24,29,34,43,12,25,18,21
1.3,West Seattle Junction/Genesee Hill,808,235,79,66,20,35,0,29,0,29,0,29,0,29,0,29,0,29,20,35,0,29,0,29,0,29,0,29,0,29,0,29,59,57,0,29,0,29,0,29,0,29,0,29,34,43,25,48,0,29,0,29,0,29,0,29,0,29,0,29,729,228,260,120,14,33,0,29,0,29,0,29,37,38,23,43,38,48,14,33,64,52,5,26,53,39,0,29,12,23,469,158,81,84,0,29,32,33,0,29,0,29,0,29,25,35,104,78,114,74,74,48,14,33,11,31,14,33
1.4,Alki/Admiral,481,168,35,46,11,25,0,24,0,24,0,24,0,24,0,24,0,24,11,25,0,24,0,24,0,24,0,24,0,24,0,24,24,34,0,24,0,24,0,24,0,24,0,24,0,24,11,25,0,24,0,24,0,24,0,24,0,24,13,27,446,164,146,105,9,27,0,24,0,24,0,24,0,24,0,24,0,24,26,33,24,29,52,83,17,31,0,24,18,32,300,109,15,29,0,24,0,24,0,24,0,24,0,24,37,42,63,55,93,59,45,44,0,24,23,32,24,40
2.1,North Delridge,524,281,35,38,11,17,0,12,0,12,0,12,0,12,0,12,0,12,10,17,0,12,0,12,1,2,0,12,0,12,0,12,24,33,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,24,33,0,12,0,12,0,12,489,287,233,161,47,48,0,12,35,45,0,12,0,12,0,12,0,12,0,12,58,63,60,51,0,12,33,38,0,12,256,145,0,12,0,12,0,12,14,23,0,12,0,12,31,49,43,43,81,61,0,12,36,39,40,51,11,19
2.2,High Point,1332,293,405,197,62,63,0,17,0,17,0,17,33,53,0,17,14,27,0,17,0,17,0,17,0,17,0,17,0,17,15,30,343,176,0,17,0,17,30,33,0,17,0,17,0,17,62,65,0,17,107,111,76,59,0,17,68,75,0,17,927,266,484,169,0,17,0,17,39,48,25,34,0,17,0,17,72,66,50,78,52,49,58,42,141,76,47,45,0,17,443,155,59,73,0,17,0,17,16,30,0,17,16,26,0,17,65,53,84,55,101,62,67,47,35,39,0,17
2.3,Riverview,997,224,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,997,224,506,132,23,21,0,12,62,50,0,12,0,12,36,49,68,46,51,30,82,49,71,44,41,32,52,33,20,25,491,120,69,39,0,12,13,21,0,12,12,21,0,12,26,34,103,49,29,31,83,50,111,60,37,27,8,12
2.4,Roxhill/Westwood,1455,347,308,256,122,106,0,21,0,21,0,21,13,26,0,21,0,21,0,21,0,21,30,49,25,42,12,25,42,54,0,21,186,153,0,21,0,21,26,43,0,21,0,21,26,45,12,25,33,52,0,21,13,27,55,62,15,30,6,20,1147,284,466,148,0,21,17,30,28,31,8,21,0,21,19,26,53,63,117,68,42,40,53,56,45,33,32,31,52,53,681,171,34,35,0,21,49,36,14,30,0,21,23,32,0,21,173,96,100,61,153,76,77,64,58,59,0,21
2.5,Highland Park,1246,370,85,84,70,80,0,21,0,21,0,21,0,21,0,21,32,50,38,43,0,21,0,21,0,21,0,21,0,21,0,21,15,27,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,15,27,1161,377,611,226,79,84,20,31,10,23,80,61,5,19,24,32,76,58,113,106,80,60,51,47,31,32,42,35,0,21,550,183,40,51,0,21,18,30,40,51,12,22,54,79,33,37,82,71,65,47,99,63,71,49,36,44,0,21
3.1,South Park,738,225,13,22,13,22,0,17,0,17,0,17,0,17,0,17,0,17,6,16,0,17,0,17,0,17,7,16,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,725,222,309,141,47,36,0,17,26,28,0,17,0,17,9,18,0,17,65,57,42,36,19,22,51,35,50,53,0,17,416,120,7,18,37,43,8,18,35,35,10,20,4,14,37,38,81,67,46,39,59,44,56,47,0,17,36,34
