area_id,area_name,c15002e001,c15002e001_moe,c15002e002,c15002e002_moe,c15002e003,c15002e003_moe,c15002e004,c15002e004_moe,c15002e005,c15002e005_moe,c15002e006,c15002e006_moe,c15002e007,c15002e007_moe,c15002e008,c15002e008_moe,c15002e009,c15002e009_moe,c15002e010,c15002e010_moe,c15002e011,c15002e011_moe
1.1,Arbor Heights,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,57,82,0,24,0,24,0,24,0,24,0,24,57,82,0,24,0,24,57,82,0,24
1.3,West Seattle Junction/Genesee Hill,52,77,0,29,0,29,0,29,0,29,0,29,52,77,0,29,0,29,52,77,0,29
1.4,Alki/Admiral,22,56,15,41,7,24,0,24,0,24,8,26,7,23,0,24,7,23,0,24,0,24
2.1,North Delridge,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.2,High Point,22,38,0,17,0,17,0,17,0,17,0,17,22,38,0,17,22,38,0,17,0,17
2.3,Riverview,21,23,21,23,0,12,0,12,21,23,0,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,122,106,87,90,0,21,75,87,12,29,0,21,35,44,13,26,11,24,11,27,0,21
2.5,Highland Park,43,84,16,41,0,21,8,23,8,22,0,21,27,48,0,21,27,48,0,21,0,21
3.1,South Park,99,94,42,46,0,17,33,42,0,17,9,21,57,53,0,17,42,48,15,23,0,17
3.2,Georgetown,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,86,98,0,24,0,24,0,24,0,24,0,24,86,98,31,57,32,50,0,24,23,40
3.5,Beacon Hill,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,96,100,72,80,0,24,0,24,28,43,44,71,24,40,24,40,0,24,0,24,0,24
4.1,Rainier Beach,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
4.2,Columbia City,241,232,110,112,52,74,45,63,13,37,0,27,131,137,42,65,13,39,76,118,0,27
4.3,Seward Park,19,35,0,17,0,17,0,17,0,17,0,17,19,35,8,19,0,17,11,22,0,17
4.4,Mt. Baker/North Rainier,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
5.1,Madrona/Leschi,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
5.2,Judkins Park,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,9,26,0,24,0,24,0,24,0,24,0,24,9,26,0,24,0,24,9,26,0,24
6.1,First Hill,35,44,35,44,10,29,8,27,17,33,0,24,0,24,0,24,0,24,0,24,0,24
6.2,Capitol Hill,17,38,0,29,0,29,0,29,0,29,0,29,17,38,0,29,17,38,0,29,0,29
6.3,North Capitol Hill,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
6.4,Miller Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
6.5,Madison Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
7.2,University District,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
7.3,Ravenna/Bryant,34,50,19,38,0,32,0,32,19,38,0,32,15,46,0,32,0,32,15,46,0,32
7.4,Wedgwood/View Ridge,13,30,13,30,0,27,0,27,13,30,0,27,0,27,0,27,0,27,0,27,0,27
7.5,Laurelhurst/Sand Point,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,65,74,65,74,0,24,30,51,0,24,35,59,0,24,0,24,0,24,0,24,0,24
8.2,Olympic Hills/Victory Heights,58,80,0,24,0,24,0,24,0,24,0,24,58,80,40,59,0,24,18,30,0,24
8.3,Cedar Park/Meadowbrook,25,36,11,27,0,27,0,27,0,27,11,27,14,31,0,27,0,27,14,31,0,27
9.1,Broadview/Bitter Lake,27,53,11,29,11,29,0,27,0,27,0,27,16,36,16,36,0,27,0,27,0,27
9.2,Licton Springs,22,26,13,24,0,17,0,17,13,24,0,17,9,20,0,17,0,17,9,20,0,17
9.3,Greenwood/Phinney Ridge,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
9.4,Green Lake,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
9.5,Haller Lake,138,107,48,45,0,21,0,21,48,45,0,21,90,88,0,21,0,21,27,26,63,89
10.1,North Beach/Blue Ridge,15,34,6,20,0,21,0,21,0,21,6,20,9,25,9,25,0,21,0,21,0,21
10.2,Whittier Heights,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,24,27,10,25,0,24,0,24,0,24,10,25,14,26,14,26,0,24,0,24,0,24
10.4,Ballard,30,38,0,17,0,17,0,17,0,17,0,17,30,38,0,17,9,18,21,33,0,17
11.1,Fremont,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
11.2,Wallingford,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
11.3,Cascade/Eastlake,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
12.1,Magnolia,12,24,12,24,12,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
