area_id,area_name,b11002c001,b11002c001_moe,b11002c002,b11002c002_moe,b11002c003,b11002c003_moe,b11002c004,b11002c004_moe,b11002c005,b11002c005_moe,b11002c006,b11002c006_moe,b11002c007,b11002c007_moe,b11002c008,b11002c008_moe,b11002c009,b11002c009_moe,b11002c010,b11002c010_moe,b11002c011,b11002c011_moe,b11002c012,b11002c012_moe
1.1,Arbor Heights,188,213,188,213,188,213,188,213,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,45,51,31,48,31,48,31,48,0,24,0,24,0,24,0,24,0,24,0,24,0,24,14,29
1.3,West Seattle Junction/Genesee Hill,124,122,90,112,3,41,3,41,0,29,0,29,0,29,0,29,87,106,71,83,16,36,34,59
1.4,Alki/Admiral,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,42,49,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,42,49
2.2,High Point,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
2.3,Riverview,68,104,68,104,68,104,68,104,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,108,131,90,128,10,34,10,34,0,21,0,21,0,21,0,21,80,125,80,125,0,21,18,34
2.5,Highland Park,50,55,22,37,22,37,22,37,0,21,0,21,0,21,0,21,0,21,0,21,0,21,28,45
3.1,South Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
3.2,Georgetown,25,26,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,25,26
3.3,Duwamish/SODO,76,132,76,132,0,12,0,12,0,12,0,12,0,12,0,12,76,132,76,132,0,12,0,12
3.4,South Beacon Hill/NewHolly,259,202,250,201,250,201,211,181,39,61,0,24,0,24,0,24,0,24,0,24,0,24,9,25
3.5,Beacon Hill,32,51,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,32,51
3.6,North Beacon Hill/Jefferson Park,23,39,23,39,23,39,23,39,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
4.1,Rainier Beach,52,67,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,52,67
4.2,Columbia City,11,28,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,11,28
4.3,Seward Park,61,80,50,79,50,79,50,79,0,17,0,17,0,17,0,17,0,17,0,17,0,17,11,22
4.4,Mt. Baker/North Rainier,94,111,67,105,0,17,0,17,0,17,67,105,67,105,0,17,0,17,0,17,0,17,27,34
5.1,Madrona/Leschi,74,92,55,88,0,21,0,21,0,21,0,21,0,21,0,21,55,88,55,88,0,21,19,35
5.2,Judkins Park,21,32,21,32,21,32,21,32,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,71,72,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,71,72
6.1,First Hill,448,249,418,246,36,57,36,57,0,24,157,125,102,83,55,48,225,201,181,161,44,55,30,53
6.2,Capitol Hill,263,142,65,81,46,77,46,77,0,29,0,29,0,29,0,29,19,40,19,40,0,29,198,120
6.3,North Capitol Hill,89,130,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,89,130
6.4,Miller Park,28,27,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,28,27
6.5,Madison Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,74,106,62,104,62,104,62,104,0,21,0,21,0,21,0,21,0,21,0,21,0,21,12,24
7.2,University District,65,106,65,106,65,106,42,71,23,44,0,29,0,29,0,29,0,29,0,29,0,29,0,29
7.3,Ravenna/Bryant,104,105,58,70,58,70,58,70,0,32,0,32,0,32,0,32,0,32,0,32,0,32,46,84
7.4,Wedgwood/View Ridge,32,55,32,55,0,27,0,27,0,27,0,27,0,27,0,27,32,55,32,55,0,27,0,27
7.5,Laurelhurst/Sand Point,58,64,28,53,28,53,28,53,0,21,0,21,0,21,0,21,0,21,0,21,0,21,30,39
8.1,Northgate/Maple Leaf,221,205,149,189,98,161,98,161,0,24,0,24,0,24,0,24,51,84,51,84,0,24,72,66
8.2,Olympic Hills/Victory Heights,38,65,38,65,38,65,38,65,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,139,115,96,109,34,41,34,41,0,27,0,27,0,27,0,27,62,104,62,104,0,27,43,40
9.1,Broadview/Bitter Lake,179,180,108,167,108,167,91,141,17,35,0,27,0,27,0,27,0,27,0,27,0,27,71,75
9.2,Licton Springs,36,44,25,41,25,41,25,41,0,17,0,17,0,17,0,17,0,17,0,17,0,17,11,22
9.3,Greenwood/Phinney Ridge,199,151,156,135,9,30,9,30,0,29,12,33,12,33,0,29,135,132,116,112,19,40,43,74
9.4,Green Lake,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
9.5,Haller Lake,122,83,67,64,39,50,39,50,0,21,0,21,0,21,0,21,28,45,28,45,0,21,55,53
10.1,North Beach/Blue Ridge,47,53,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,47,53
10.2,Whittier Heights,55,87,55,87,0,24,0,24,0,24,55,87,38,61,17,32,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,31,51,31,51,0,24,0,24,0,24,0,24,0,24,0,24,31,51,31,51,0,24,0,24
10.4,Ballard,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
11.1,Fremont,72,83,72,83,40,67,40,67,0,24,0,24,0,24,0,24,32,54,32,54,0,24,0,24
11.2,Wallingford,52,55,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,52,55
11.3,Cascade/Eastlake,333,200,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,333,200
12.1,Magnolia,75,98,50,88,50,88,50,88,0,24,0,24,0,24,0,24,0,24,0,24,0,24,25,48
12.2,Interbay,45,58,33,54,0,21,0,21,0,21,0,21,0,21,0,21,33,54,33,54,0,21,12,23
12.3,Queen Anne,274,182,140,139,92,118,92,118,0,40,48,82,48,82,0,40,0,40,0,40,0,40,134,114
13.1,Belltown,146,117,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,146,117
13.2,Downtown Commercial Core,20,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,20,29
13.3,Pioneer Square/International District,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
