area_id,area_name,b20017d001,b20017d001_moe,b20017d002,b20017d002_moe,b20017d003,b20017d003_moe,b20017d004,b20017d004_moe,b20017d005,b20017d005_moe,b20017d006,b20017d006_moe,b20017d007,b20017d007_moe
1.1,Arbor Heights,33750,131666,108250,182227,188571,88425,12500,25589,33000,114192,105288,126989,4120,164242
1.2,Fauntleroy/Seaview,36755,24783,53828,77068,54688,77869,16583,207756,36303,16935,50952,25393,14803,15407
2.1,North Delridge,50662,12361,47214,17024,57607,14254,24125,22206,51250,28297,64044,41652,27000,41817
2.2,High Point,43182,19543,44792,28788,51848,11561,28051,42729,42578,34114,71513,33421,11406,12253
2.3,Riverview,31447,4586,33313,5834,41989,14206,10321,5059,28698,7116,35625,25694,13403,7906
2.5,Highland Park,23787,7461,30813,14508,38690,2911,8009,8816,18352,5160,36016,24106,12554,12284
3.1,South Park,20843,6072,21719,19147,43393,4287,11538,3212,20643,5942,22740,2993,13281,11297
3.3,Duwamish/SODO,27361,14240,50417,28566,58833,25035,27273,15792,17292,8591,32426,15113,8622,1301
3.4,South Beacon Hill/NewHolly,73142,7857,78811,16166,99803,16145,32733,19292,67937,11732,97390,15858,37299,18865
3.5,Beacon Hill,54363,6742,50148,8287,82850,16162,19622,14740,59133,12162,68134,10250,20936,8336
3.6,North Beacon Hill/Jefferson Park,83060,9862,83806,10352,99006,13555,38283,14610,78681,17957,95022,16071,45648,7340
4.1,Rainier Beach,48539,6662,47231,12600,76178,19226,14041,3175,50152,7247,68723,24519,23779,7599
4.2,Columbia City,45182,10365,57802,19627,72778,15655,23948,9514,37736,11610,53472,8738,19122,5677
4.3,Seward Park,63374,28910,56024,17827,63839,26941,16715,61236,75750,18218,94469,27293,16458,3096
4.4,Mt. Baker/North Rainier,28203,13862,18015,19826,44444,72491,12670,6453,28906,10154,30901,5281,16568,10295
5.2,Judkins Park,33947,4948,41607,17606,50000,38288,36467,11335,29538,5284,34875,28766,10500,6517
5.3,Central Area/Squire Park,63179,25932,42949,5905,88542,20453,27040,54580,82908,49477,94867,74063,53237,42961
6.2,Capitol Hill,66477,47015,97361,80350,157088,57712,39777,12486,83712,32423,86399,109396,19821,31205
6.3,North Capitol Hill,44688,37145,43676,45841,83897,242480,22566,24164,58333,40580,80946,40915,43500,33856
7.2,University District,10648,6526,9669,5101,45089,49385,7996,3995,20104,22500,30859,13328,4511,19605
7.3,Ravenna/Bryant,164914,103777,123475,166768,325849,341344,85231,13309,151285,104485,346920,151901,96643,78617
7.4,Wedgwood/View Ridge,145250,81249,200074,123245,249416,168486,149813,127921,107128,76764,253298,132496,66223,72786
7.5,Laurelhurst/Sand Point,85804,18246,131287,93194,259159,231742,26040,14166,89606,44752,106549,20558,26276,22254
8.1,Northgate/Maple Leaf,54594,10492,73528,26988,103097,23536,33432,14281,50101,7013,58828,22317,45374,15806
8.2,Olympic Hills/Victory Heights,99263,22595,100693,23159,119066,69127,25112,43838,105688,38016,155500,51896,38589,24145
8.3,Cedar Park/Meadowbrook,38046,9268,33036,34660,54904,66300,21103,15338,38433,6703,38856,6062,25000,19514
9.1,Broadview/Bitter Lake,33631,13664,39700,26716,52054,21985,12333,57307,25938,21106,43750,24926,14688,22380
9.2,Licton Springs,71136,21775,61667,35316,89336,59971,40860,13974,72871,37025,142311,40887,51281,27709
9.3,Greenwood/Phinney Ridge,71952,20748,66635,37377,91861,50898,31513,6099,73478,31668,94295,22542,18776,24249
9.4,Green Lake,26767,7710,35903,22494,66838,55807,25086,21146,17500,8382,19659,8498,15521,11209
9.5,Haller Lake,43993,14206,54138,37706,70781,26726,17614,9836,42674,13943,47719,17942,30000,19701
10.1,North Beach/Blue Ridge,82583,25644,72422,44620,166319,176901,40306,61933,74294,33596,85962,68826,67459,3249
11.2,Wallingford,7071,2861,10357,3931,82784,28075,6967,2865,5825,2830,16417,13311,2902,3635
11.3,Cascade/Eastlake,77828,21239,79659,13978,87048,23395,55333,36051,51175,21375,70083,53291,34125,37597
12.3,Queen Anne,137660,51158,206226,83777,220176,69830,128548,63750,120313,66871,160371,142832,55573,72848
13.3,Pioneer Square/International District,32356,18856,37917,13873,86750,61258,30069,13524,25174,26993,47507,18370,15207,14084
