area_id,area_name,b22001001,b22001001_moe,b22001002,b22001002_moe,b22001003,b22001003_moe,b22001004,b22001004_moe,b22001005,b22001005_moe,b22001006,b22001006_moe,b22001007,b22001007_moe
1.1,Arbor Heights,2639,96,81,50,20,26,61,45,2558,100,881,108,1677,122
1.2,Fauntleroy/Seaview,6410,211,277,128,94,64,183,116,6133,236,1919,192,4214,257
1.3,West Seattle Junction/Genesee Hill,8391,238,425,183,106,92,319,161,7966,250,2427,231,5539,284
1.4,Alki/Admiral,5786,190,148,87,79,70,69,57,5638,200,2033,227,3605,250
2.1,North Delridge,2387,100,220,132,10,16,210,131,2167,167,452,102,1715,178
2.2,High Point,2731,199,810,194,255,116,555,174,1921,221,307,119,1614,207
2.3,Riverview,1680,73,232,97,62,37,170,88,1448,110,402,94,1046,128
2.4,Roxhill/Westwood,5489,176,643,161,278,94,365,149,4846,219,1035,160,3811,242
2.5,Highland Park,2563,202,437,143,191,91,246,119,2126,198,677,138,1449,206
3.1,South Park,1323,80,372,94,122,58,250,92,951,110,214,76,737,115
3.2,Georgetown,630,55,62,30,16,13,46,32,568,60,90,51,478,77
3.3,Duwamish/SODO,944,90,130,59,33,25,97,54,814,92,196,52,618,103
3.4,South Beacon Hill/NewHolly,4531,190,1201,213,351,108,850,212,3330,244,1215,165,2115,246
3.5,Beacon Hill,2893,137,487,130,286,91,201,97,2406,190,1035,156,1371,201
3.6,North Beacon Hill/Jefferson Park,5765,192,1050,200,605,152,445,165,4715,252,1434,197,3281,268
4.1,Rainier Beach,5403,197,1116,274,610,174,506,200,4287,307,1251,185,3036,290
4.2,Columbia City,6493,254,1187,260,436,136,751,234,5306,323,1621,206,3685,320
4.3,Seward Park,3376,140,225,90,109,47,116,78,3151,144,1225,153,1926,150
4.4,Mt. Baker/North Rainier,2340,165,324,114,112,65,212,106,2016,169,594,122,1422,166
5.1,Madrona/Leschi,4262,205,177,99,146,94,31,36,4085,213,1240,173,2845,235
5.2,Judkins Park,1553,98,351,80,266,80,85,48,1202,112,291,86,911,96
5.3,Central Area/Squire Park,8106,238,955,222,407,139,548,177,7151,284,1544,211,5607,289
6.1,First Hill,7537,281,987,187,250,83,737,180,6550,304,1629,195,4921,299
6.2,Capitol Hill,13942,322,1200,265,299,141,901,234,12742,403,1493,286,11249,439
6.3,North Capitol Hill,2363,123,66,70,24,28,42,62,2297,145,504,113,1793,170
6.4,Miller Park,3180,100,97,53,50,42,47,38,3083,102,575,85,2508,113
6.5,Madison Park,2679,129,58,55,43,41,15,24,2621,143,1155,158,1466,168
7.1,Montlake/Portage Bay,4576,111,109,76,33,32,76,71,4467,135,1150,151,3317,199
7.2,University District,5280,209,253,149,126,111,127,83,5027,248,467,102,4560,252
7.3,Ravenna/Bryant,9895,238,370,140,98,68,272,124,9525,268,2476,206,7049,292
7.4,Wedgwood/View Ridge,6148,153,95,58,10,28,85,57,6053,165,2137,153,3916,206
7.5,Laurelhurst/Sand Point,4412,158,222,92,36,36,186,88,4190,180,1339,157,2851,198
8.1,Northgate/Maple Leaf,6976,196,443,140,193,91,250,104,6533,235,1693,220,4840,265
8.2,Olympic Hills/Victory Heights,6737,204,707,185,248,98,459,163,6030,254,1745,194,4285,296
8.3,Cedar Park/Meadowbrook,5748,207,559,151,75,43,484,153,5189,233,1428,164,3761,236
9.1,Broadview/Bitter Lake,6683,218,532,174,208,88,324,163,6151,261,2628,242,3523,287
9.2,Licton Springs,4422,146,355,123,103,54,252,105,4067,174,644,126,3423,198
9.3,Greenwood/Phinney Ridge,10923,235,651,168,142,76,509,153,10272,282,2204,225,8068,319
9.4,Green Lake,6673,219,281,118,176,94,105,69,6392,249,1454,221,4938,281
9.5,Haller Lake,4467,139,439,179,81,46,358,174,4028,208,1335,149,2693,218
10.1,North Beach/Blue Ridge,5103,114,126,63,33,30,93,57,4977,133,1557,128,3420,170
10.2,Whittier Heights,5610,116,250,117,48,49,202,108,5360,153,975,137,4385,193
10.3,Sunset Hill/Loyal Heights,6432,193,316,121,125,84,191,104,6116,214,1565,194,4551,239
10.4,Ballard,4091,212,189,102,54,41,135,92,3902,239,745,160,3157,236
11.1,Fremont,8389,231,446,165,79,49,367,157,7943,260,884,143,7059,271
11.2,Wallingford,7409,188,456,146,90,65,366,141,6953,224,1288,136,5665,230
11.3,Cascade/Eastlake,8722,431,862,226,248,98,614,216,7860,432,876,202,6984,434
12.1,Magnolia,5548,152,42,39,29,34,13,26,5506,156,2010,190,3496,205
12.2,Interbay,5251,185,229,110,51,40,178,101,5022,210,1130,151,3892,242
12.3,Queen Anne,19175,394,777,198,234,129,543,176,18398,417,3941,294,14457,462
13.1,Belltown,5934,298,1032,244,259,132,773,234,4902,325,896,182,4006,329
13.2,Downtown Commercial Core,2452,178,632,155,223,101,409,135,1820,212,293,107,1527,191
13.3,Pioneer Square/International District,3024,156,1098,161,685,123,413,132,1926,177,467,105,1459,160
