area_id,area_name,b25061001,b25061001_moe,b25061002,b25061002_moe,b25061003,b25061003_moe,b25061004,b25061004_moe,b25061005,b25061005_moe,b25061006,b25061006_moe,b25061007,b25061007_moe,b25061008,b25061008_moe,b25061009,b25061009_moe,b25061010,b25061010_moe,b25061011,b25061011_moe,b25061012,b25061012_moe,b25061013,b25061013_moe,b25061014,b25061014_moe,b25061015,b25061015_moe,b25061016,b25061016_moe,b25061017,b25061017_moe,b25061018,b25061018_moe,b25061019,b25061019_moe,b25061020,b25061020_moe,b25061021,b25061021_moe,b25061022,b25061022_moe
1.1,Arbor Heights,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,174,128,0,24,0,24,0,24,0,24,0,24,0,24,0,24,48,77,0,24,16,31,0,24,0,24,0,24,0,24,0,24,0,24,0,24,47,77,50,79,13,26,0,24
1.3,West Seattle Junction/Genesee Hill,288,166,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,46,75,0,29,36,62,95,105,40,67,32,60,39,66,0,29,0,29
1.4,Alki/Admiral,46,77,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,46,77,0,24,0,24
2.1,North Delridge,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.2,High Point,87,49,0,17,0,17,0,17,0,17,0,17,0,17,16,30,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,39,44,0,17,32,39
2.3,Riverview,72,63,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,31,46,0,12,0,12,0,12,0,12,19,30,0,12,22,35,0,12
2.4,Roxhill/Westwood,176,132,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,32,55,52,80,49,79,0,21,0,21,43,66,0,21,0,21
2.5,Highland Park,328,174,0,21,0,21,0,21,0,21,0,21,0,21,0,21,19,32,0,21,0,21,0,21,39,64,0,21,104,116,0,21,62,100,0,21,49,78,0,21,55,87,0,21
3.1,South Park,57,54,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,8,18,0,17,23,41,17,30,0,17,0,17,0,17,9,20,0,17,0,17
3.2,Georgetown,22,22,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,14,0,12,7,11,0,12,0,12,0,12,0,12,7,13,0,12,0,12,0,12
3.3,Duwamish/SODO,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,82,79,36,61,0,24,0,24,34,51,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,12,30,0,24,0,24,0,24
3.5,Beacon Hill,35,56,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,35,56,0,17
3.6,North Beacon Hill/Jefferson Park,107,98,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,74,87,0,24,0,24,33,53,0,24,0,24
4.1,Rainier Beach,147,111,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,41,71,0,27,0,27,30,51,20,41,0,27,0,27,56,68,0,27
4.2,Columbia City,358,183,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,43,74,53,83,118,110,27,49,90,103,27,51,0,27,0,27
4.3,Seward Park,22,37,0,17,0,17,0,17,0,17,0,17,22,37,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
4.4,Mt. Baker/North Rainier,84,90,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,42,66,0,17,0,17,42,67
5.1,Madrona/Leschi,101,114,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,49,81,0,21,0,21,52,83,0,21,0,21
5.2,Judkins Park,62,60,13,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,26,42,0,12,0,12,23,37
5.3,Central Area/Squire Park,147,106,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,24,43,0,24,0,24,0,24,0,24,53,65,28,39,0,24,42,70,0,24
6.1,First Hill,409,177,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,17,35,40,70,63,76,0,24,57,74,0,24,34,43,54,62,36,50,108,91
6.2,Capitol Hill,239,147,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,37,67,0,29,0,29,0,29,0,29,58,72,34,57,0,29,0,29,0,29,87,100,23,44
6.3,North Capitol Hill,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
6.4,Miller Park,22,38,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,22,38,0,17,0,17
6.5,Madison Park,48,78,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,48,78
7.1,Montlake/Portage Bay,14,26,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,14,26,0,21
7.2,University District,111,87,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,41,70,14,33,0,29,0,29,0,29,0,29,0,29,0,29,24,46,0,29,32,43,0,29,0,29
7.3,Ravenna/Bryant,314,172,0,32,0,32,0,32,46,76,0,32,0,32,0,32,0,32,0,32,0,32,0,32,14,37,70,83,0,32,45,74,17,39,0,32,39,68,9,33,47,81,27,51
7.4,Wedgwood/View Ridge,58,57,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,19,40,0,27,0,27,0,27,0,27,0,27,27,48,0,27,12,28
7.5,Laurelhurst/Sand Point,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,164,125,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,48,78,0,24,0,24,0,24,0,24,0,24,0,24,51,86,16,35,0,24,49,47
8.2,Olympic Hills/Victory Heights,43,72,0,24,0,24,0,24,0,24,43,72,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,209,137,0,27,0,27,35,61,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,114,108,0,27,24,42,0,27,0,27,36,63
9.1,Broadview/Bitter Lake,313,167,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,53,86,0,27,55,63,131,120,0,27,29,47,0,27,45,78,0,27
9.2,Licton Springs,77,87,0,17,0,17,0,17,0,17,31,49,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,46,73,0,17,0,17,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,139,107,24,48,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,12,33,0,29,0,29,43,75,0,29,0,29,0,29,35,61,25,46
9.4,Green Lake,76,77,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,41,68,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,35,43
9.5,Haller Lake,81,92,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,81,92,0,21,0,21,0,21,0,21,0,21
10.1,North Beach/Blue Ridge,64,73,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,33,55,0,21,31,54,0,21,0,21,0,21
10.2,Whittier Heights,125,107,0,24,0,24,0,24,0,24,45,72,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,51,70,0,24,0,24,29,48,0,24
10.3,Sunset Hill/Loyal Heights,28,49,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,28,49,0,24,0,24,0,24,0,24
10.4,Ballard,197,165,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,39,61,0,17,0,17,0,17,0,17,32,50,126,150,0,17,0,17
11.1,Fremont,167,133,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,43,71,0,24,0,24,0,24,0,24,0,24,37,63,0,24,0,24,0,24,40,66,0,24,47,78
11.2,Wallingford,73,87,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,47,78,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,26,47,0,27,0,27
11.3,Cascade/Eastlake,725,305,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,21,40,0,21,0,21,41,70,0,21,0,21,0,21,93,99,47,73,71,80,33,50,419,250
12.1,Magnolia,75,82,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,35,56,0,24,40,64
12.2,Interbay,47,77,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,47,77,0,21,0,21,0,21
12.3,Queen Anne,759,239,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,36,70,48,75,0,40,191,147,66,87,250,142,168,128
13.1,Belltown,232,148,0,21,0,21,0,21,0,21,0,21,0,21,0,21,39,64,0,21,0,21,40,64,0,21,0,21,37,62,0,21,0,21,0,21,82,92,34,58,0,21,0,21
13.2,Downtown Commercial Core,78,89,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,39,65,0,12,39,62,0,12
13.3,Pioneer Square/International District,143,98,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,22,38,41,59,0,17,0,17,55,62,0,17,0,17,25,42,0,17,0,17,0,17,0,17
