area_id,area_name,c27016001,c27016001_moe,c27016002,c27016002_moe,c27016003,c27016003_moe,c27016004,c27016004_moe,c27016005,c27016005_moe,c27016006,c27016006_moe,c27016007,c27016007_moe,c27016008,c27016008_moe,c27016009,c27016009_moe,c27016010,c27016010_moe,c27016011,c27016011_moe,c27016012,c27016012_moe,c27016013,c27016013_moe,c27016014,c27016014_moe,c27016015,c27016015_moe,c27016016,c27016016_moe,c27016017,c27016017_moe,c27016018,c27016018_moe,c27016019,c27016019_moe,c27016020,c27016020_moe,c27016021,c27016021_moe,c27016022,c27016022_moe,c27016023,c27016023_moe,c27016024,c27016024_moe,c27016025,c27016025_moe,c27016026,c27016026_moe,c27016027,c27016027_moe,c27016028,c27016028_moe,c27016029,c27016029_moe,c27016030,c27016030_moe,c27016031,c27016031_moe,c27016032,c27016032_moe,c27016033,c27016033_moe,c27016034,c27016034_moe,c27016035,c27016035_moe,c27016036,c27016036_moe,c27016037,c27016037_moe,c27016038,c27016038_moe,c27016039,c27016039_moe,c27016040,c27016040_moe,c27016041,c27016041_moe
1.1,Arbor Heights,6244,300,401,175,99,94,99,94,0,17,263,96,147,67,116,63,39,35,37,35,2,13,257,131,10,20,10,20,0,17,173,112,45,35,128,98,74,44,74,44,0,17,1705,281,358,120,345,121,13,25,1025,177,866,168,159,104,322,122,322,122,0,17,3881,375,840,155,831,155,9,18,2651,253,2522,261,129,98,390,78,390,78,0,17
1.2,Fauntleroy/Seaview,13653,592,1260,331,139,101,139,101,0,24,975,266,660,184,315,159,146,74,146,74,0,24,671,261,75,64,75,64,0,24,388,180,254,132,134,107,208,106,208,106,0,24,2384,452,396,213,357,203,39,66,1541,293,1338,275,203,89,447,133,447,133,0,24,9338,634,1905,269,1763,266,142,161,6542,461,6124,483,418,209,891,182,891,182,0,24
1.3,West Seattle Junction/Genesee Hill,17511,594,1768,397,269,166,269,166,0,29,1257,302,913,251,344,166,242,114,242,114,0,29,1139,349,213,137,158,111,55,66,662,242,544,240,118,90,264,130,264,130,0,29,4311,597,862,247,831,247,31,55,2762,402,2441,397,321,154,687,183,687,183,0,29,10293,675,2114,278,2092,281,22,42,7316,513,7163,509,153,94,863,177,863,177,0,29
1.4,Alki/Admiral,11080,562,1212,312,103,72,65,62,38,43,849,255,441,154,408,196,260,105,260,105,0,24,460,214,16,30,0,24,16,30,286,155,229,140,57,67,158,107,158,107,0,24,2375,467,381,178,381,178,0,24,1478,359,1238,294,240,134,516,149,516,149,0,24,7033,556,1207,259,1177,260,30,40,4915,378,4813,370,102,75,911,232,911,232,0,24
2.1,North Delridge,4749,359,636,207,29,33,29,33,0,12,556,193,426,168,130,101,51,46,51,46,0,12,174,166,28,45,28,45,0,12,139,159,24,28,115,158,7,14,7,14,0,12,1191,428,182,163,182,163,0,12,917,317,844,301,73,81,92,59,92,59,0,12,2748,408,436,144,436,144,0,12,2123,311,2010,292,113,92,189,77,189,77,0,12
2.2,High Point,6430,409,2702,556,940,295,891,313,49,78,1528,365,1169,326,359,154,234,110,234,110,0,17,458,238,135,122,135,122,0,17,290,150,237,136,53,57,33,40,33,40,0,17,1311,436,318,218,318,218,0,17,845,272,727,236,118,79,148,95,148,95,0,17,1959,320,259,110,259,110,0,17,1653,274,1623,275,30,27,47,37,47,37,0,17
2.3,Riverview,4674,298,851,350,292,242,261,239,31,50,525,165,169,91,356,151,34,39,34,39,0,12,265,143,18,23,10,18,8,14,221,125,92,70,129,84,26,34,26,34,0,12,1179,252,227,118,219,117,8,13,813,165,642,139,171,71,139,60,139,60,0,12,2379,349,492,121,432,130,60,73,1734,265,1629,249,105,69,153,61,153,61,0,12
2.4,Roxhill/Westwood,12514,701,2383,592,784,330,676,306,108,96,1358,336,696,242,662,215,241,102,241,102,0,21,1093,391,244,138,195,126,49,58,704,283,475,191,229,121,145,68,145,68,0,21,4406,652,874,232,792,212,82,68,3135,511,2279,361,856,395,397,135,371,129,26,43,4632,502,611,167,568,156,43,52,3622,393,3430,378,192,104,399,160,399,160,0,21
2.5,Highland Park,5814,462,1118,411,239,160,239,160,0,21,677,275,356,183,321,146,202,106,202,106,0,21,854,349,304,215,304,215,0,21,362,156,288,138,74,75,188,105,174,99,14,27,1591,486,321,165,288,162,33,32,1020,325,720,262,300,124,250,142,250,142,0,21,2251,414,209,120,209,120,0,21,1864,354,1717,325,147,95,178,76,178,76,0,21
3.1,South Park,4287,602,1390,510,510,341,437,331,73,69,774,278,341,132,433,227,106,44,106,44,0,17,517,213,183,113,150,109,33,53,334,125,256,121,78,58,0,17,0,17,0,17,1846,630,562,318,537,313,25,42,1186,373,690,226,496,268,98,60,98,60,0,17,534,158,43,35,43,35,0,17,469,148,378,133,91,62,22,25,22,25,0,17
3.2,Georgetown,1184,151,226,110,0,12,0,12,0,12,213,107,160,74,53,58,13,17,13,17,0,12,141,67,0,12,0,12,0,12,132,61,19,19,113,55,9,12,9,12,0,12,595,144,123,44,91,43,32,47,438,116,307,84,131,98,34,23,34,23,0,12,222,107,10,18,10,18,0,12,182,94,182,94,0,12,30,41,30,41,0,12
3.3,Duwamish/SODO,2332,380,692,257,0,12,0,12,0,12,613,212,412,116,201,136,79,80,79,80,0,12,157,72,0,12,0,12,0,12,116,65,98,67,18,28,41,39,41,39,0,12,787,249,145,57,145,57,0,12,547,206,327,117,220,143,95,54,95,54,0,12,696,155,42,44,42,44,0,12,563,119,550,114,13,30,91,47,91,47,0,12
3.4,South Beacon Hill/NewHolly,15525,1272,5252,1201,2470,898,2146,860,324,229,2278,458,1617,393,661,183,504,145,504,145,0,24,1327,444,354,185,345,183,9,25,702,265,498,211,204,112,271,110,271,110,0,24,5838,1085,1279,404,1116,320,163,139,3995,747,2723,490,1272,477,564,155,539,151,25,33,3108,654,531,271,531,271,0,24,2270,453,2037,416,233,117,307,109,307,109,0,24
3.5,Beacon Hill,9295,693,1314,456,286,171,286,171,0,17,768,286,475,242,293,145,260,126,260,126,0,17,1208,450,313,206,301,201,12,23,678,269,519,230,159,155,217,118,217,118,0,17,3645,749,472,163,464,163,8,19,2607,604,2230,611,377,159,566,137,541,127,25,42,3128,693,526,220,526,220,0,17,2254,490,1972,455,282,140,348,134,348,134,0,17
3.6,North Beacon Hill/Jefferson Park,14172,731,3659,628,1022,320,915,317,107,145,1940,390,1187,257,753,250,697,193,697,193,0,24,1561,600,445,271,353,227,92,146,903,356,417,200,486,246,213,117,213,117,0,24,4850,802,712,249,712,249,0,24,3406,548,2639,427,767,258,732,230,732,230,0,24,4102,641,603,239,592,237,11,29,3310,484,3140,472,170,121,189,115,189,115,0,24
4.1,Rainier Beach,15119,984,5240,1058,1920,548,1432,468,488,293,2765,606,1622,427,1143,412,555,176,537,167,18,43,921,383,248,218,248,218,0,27,419,180,321,152,98,78,254,141,254,141,0,27,4544,1091,1275,461,1219,454,56,69,2846,674,2516,598,330,182,423,180,423,180,0,27,4414,591,346,168,346,168,0,27,3552,480,2994,421,558,280,516,142,516,142,0,27
