area_id,area_name,b17001g001,b17001g001_moe,b17001g002,b17001g002_moe,b17001g003,b17001g003_moe,b17001g004,b17001g004_moe,b17001g005,b17001g005_moe,b17001g006,b17001g006_moe,b17001g007,b17001g007_moe,b17001g008,b17001g008_moe,b17001g009,b17001g009_moe,b17001g010,b17001g010_moe,b17001g011,b17001g011_moe,b17001g012,b17001g012_moe,b17001g013,b17001g013_moe,b17001g014,b17001g014_moe,b17001g015,b17001g015_moe,b17001g016,b17001g016_moe,b17001g017,b17001g017_moe,b17001g018,b17001g018_moe,b17001g019,b17001g019_moe,b17001g020,b17001g020_moe,b17001g021,b17001g021_moe,b17001g022,b17001g022_moe,b17001g023,b17001g023_moe,b17001g024,b17001g024_moe,b17001g025,b17001g025_moe,b17001g026,b17001g026_moe,b17001g027,b17001g027_moe,b17001g028,b17001g028_moe,b17001g029,b17001g029_moe,b17001g030,b17001g030_moe,b17001g031,b17001g031_moe,b17001g032,b17001g032_moe,b17001g033,b17001g033_moe,b17001g034,b17001g034_moe,b17001g035,b17001g035_moe,b17001g036,b17001g036_moe,b17001g037,b17001g037_moe,b17001g038,b17001g038_moe,b17001g039,b17001g039_moe,b17001g040,b17001g040_moe,b17001g041,b17001g041_moe,b17001g042,b17001g042_moe,b17001g043,b17001g043_moe,b17001g044,b17001g044_moe,b17001g045,b17001g045_moe,b17001g046,b17001g046_moe,b17001g047,b17001g047_moe,b17001g048,b17001g048_moe,b17001g049,b17001g049_moe,b17001g050,b17001g050_moe,b17001g051,b17001g051_moe,b17001g052,b17001g052_moe,b17001g053,b17001g053_moe,b17001g054,b17001g054_moe,b17001g055,b17001g055_moe,b17001g056,b17001g056_moe,b17001g057,b17001g057_moe,b17001g058,b17001g058_moe,b17001g059,b17001g059_moe
1.1,Arbor Heights,459,239,11,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,11,22,0,17,0,17,0,17,0,17,0,17,0,17,11,22,0,17,0,17,0,17,0,17,0,17,0,17,448,237,176,112,44,44,0,17,0,17,22,24,13,22,11,20,9,21,41,48,0,17,10,20,26,29,0,17,0,17,272,159,47,44,30,37,76,75,0,17,0,17,0,17,0,17,33,38,43,42,23,28,20,27,0,17,0,17
1.2,Fauntleroy/Seaview,498,206,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,498,206,243,123,49,48,12,25,103,76,5,20,0,24,0,24,12,27,0,24,0,24,62,50,0,24,0,24,0,24,255,125,44,43,0,24,43,58,33,50,0,24,18,34,2,24,0,24,34,40,33,40,24,33,3,20,21,29
1.3,West Seattle Junction/Genesee Hill,834,243,48,64,10,30,10,30,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,38,47,0,29,0,29,0,29,0,29,12,33,0,29,0,29,25,34,1,25,0,29,0,29,0,29,0,29,786,233,466,162,114,80,12,30,104,73,0,29,0,29,47,47,0,29,98,73,56,48,0,29,35,50,0,29,0,29,320,135,53,52,57,86,56,52,18,38,0,29,0,29,0,29,53,52,45,45,38,48,0,29,0,29,0,29
1.4,Alki/Admiral,460,216,15,29,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,15,29,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,15,29,0,24,0,24,0,24,445,220,182,125,60,54,0,24,0,24,21,35,0,24,0,24,0,24,37,41,64,59,0,24,0,24,0,24,0,24,263,132,43,48,0,24,24,40,23,40,21,35,0,24,0,24,14,29,59,47,10,23,47,52,22,38,0,24
2.1,North Delridge,245,125,76,54,23,31,0,12,0,12,0,12,0,12,0,12,0,12,1,2,22,31,0,12,0,12,0,12,0,12,0,12,53,36,0,12,0,12,0,12,0,12,0,12,0,12,16,26,0,12,0,12,17,26,20,29,0,12,0,12,169,120,80,57,0,12,0,12,0,12,0,12,0,12,27,42,36,40,0,12,16,26,1,2,0,12,0,12,0,12,89,80,0,12,0,12,0,12,0,12,0,12,0,12,23,36,0,12,42,64,24,36,0,12,0,12,0,12
2.2,High Point,240,120,82,89,6,15,0,17,0,17,0,17,0,17,0,17,0,17,4,14,0,17,0,17,2,13,0,17,0,17,0,17,76,89,0,17,0,17,17,30,0,17,0,17,59,86,0,17,0,17,0,17,0,17,0,17,0,17,0,17,158,83,102,59,15,27,0,17,0,17,0,17,0,17,0,17,29,32,35,32,16,30,7,17,0,17,0,17,0,17,56,45,21,29,0,17,0,17,7,17,0,17,0,17,0,17,0,17,0,17,13,24,0,17,15,27,0,17
2.3,Riverview,389,174,8,12,8,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,381,171,214,113,75,76,0,12,79,59,0,12,0,12,0,12,15,23,16,19,29,47,0,12,0,12,0,12,0,12,167,111,20,24,0,12,37,45,0,12,0,12,0,12,34,48,68,59,0,12,0,12,0,12,0,12,8,13
2.4,Roxhill/Westwood,694,219,61,61,34,56,17,31,0,21,0,21,0,21,0,21,0,21,0,21,0,21,17,32,0,21,0,21,0,21,0,21,27,32,0,21,0,21,0,21,0,21,0,21,0,21,13,25,0,21,0,21,0,21,14,29,0,21,0,21,633,213,268,113,65,49,0,21,31,37,0,21,0,21,35,43,54,55,26,29,30,41,13,25,0,21,0,21,14,27,365,150,25,27,22,32,37,38,58,54,0,21,10,25,33,41,66,54,51,49,54,44,9,22,0,21,0,21
2.5,Highland Park,348,197,97,86,97,86,0,21,0,21,0,21,0,21,0,21,0,21,23,36,27,38,0,21,25,41,22,37,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,251,170,99,78,17,29,14,26,21,33,0,21,0,21,0,21,26,43,7,19,0,21,14,26,0,21,0,21,0,21,152,123,47,55,0,21,21,32,0,21,8,23,0,21,14,27,0,21,16,30,46,70,0,21,0,21,0,21
3.1,South Park,288,257,39,49,16,29,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,16,29,0,17,23,41,0,17,0,17,0,17,0,17,0,17,0,17,0,17,23,41,0,17,0,17,0,17,0,17,0,17,249,257,87,93,6,16,0,17,0,17,0,17,0,17,0,17,52,82,5,16,0,17,24,32,0,17,0,17,0,17,162,165,6,15,0,17,6,16,0,17,23,32,0,17,90,105,37,50,0,17,0,17,0,17,0,17,0,17
