area_id,area_name,b19037d001,b19037d001_moe,b19037d002,b19037d002_moe,b19037d003,b19037d003_moe,b19037d004,b19037d004_moe,b19037d005,b19037d005_moe,b19037d006,b19037d006_moe,b19037d007,b19037d007_moe,b19037d008,b19037d008_moe,b19037d009,b19037d009_moe,b19037d010,b19037d010_moe,b19037d011,b19037d011_moe,b19037d012,b19037d012_moe,b19037d013,b19037d013_moe,b19037d014,b19037d014_moe,b19037d015,b19037d015_moe,b19037d016,b19037d016_moe,b19037d017,b19037d017_moe,b19037d018,b19037d018_moe,b19037d019,b19037d019_moe,b19037d020,b19037d020_moe,b19037d021,b19037d021_moe,b19037d022,b19037d022_moe,b19037d023,b19037d023_moe,b19037d024,b19037d024_moe,b19037d025,b19037d025_moe,b19037d026,b19037d026_moe,b19037d027,b19037d027_moe,b19037d028,b19037d028_moe,b19037d029,b19037d029_moe,b19037d030,b19037d030_moe,b19037d031,b19037d031_moe,b19037d032,b19037d032_moe,b19037d033,b19037d033_moe,b19037d034,b19037d034_moe,b19037d035,b19037d035_moe,b19037d036,b19037d036_moe,b19037d037,b19037d037_moe,b19037d038,b19037d038_moe,b19037d039,b19037d039_moe,b19037d040,b19037d040_moe,b19037d041,b19037d041_moe,b19037d042,b19037d042_moe,b19037d043,b19037d043_moe,b19037d044,b19037d044_moe,b19037d045,b19037d045_moe,b19037d046,b19037d046_moe,b19037d047,b19037d047_moe,b19037d048,b19037d048_moe,b19037d049,b19037d049_moe,b19037d050,b19037d050_moe,b19037d051,b19037d051_moe,b19037d052,b19037d052_moe,b19037d053,b19037d053_moe,b19037d054,b19037d054_moe,b19037d055,b19037d055_moe,b19037d056,b19037d056_moe,b19037d057,b19037d057_moe,b19037d058,b19037d058_moe,b19037d059,b19037d059_moe,b19037d060,b19037d060_moe,b19037d061,b19037d061_moe,b19037d062,b19037d062_moe,b19037d063,b19037d063_moe,b19037d064,b19037d064_moe,b19037d065,b19037d065_moe,b19037d066,b19037d066_moe,b19037d067,b19037d067_moe,b19037d068,b19037d068_moe,b19037d069,b19037d069_moe
3.2,Georgetown,25,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,19,0,12,0,12,0,12,0,12,0,12,10,7,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,7,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,209,55,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,59,51,19,32,0,12,0,12,0,12,0,12,0,12,0,12,6,11,0,12,0,12,0,12,26,30,2,8,0,12,0,12,6,10,54,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,14,10,16,25,27,0,12,12,17,0,12,0,12,96,45,6,10,7,11,5,8,10,15,5,8,0,12,12,18,0,12,13,24,19,23,0,12,19,19,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,2013,195,160,81,10,23,0,24,0,24,0,24,0,24,0,24,0,24,9,26,33,45,9,26,39,58,41,52,19,26,0,24,0,24,0,24,625,167,29,35,56,75,0,24,15,30,38,37,37,37,38,39,69,71,0,24,45,39,46,50,104,65,28,29,97,83,23,42,0,24,838,166,56,66,62,46,0,24,13,21,12,24,9,26,64,49,33,37,37,38,120,88,94,56,153,77,49,39,52,47,58,53,26,25,390,105,103,58,23,34,20,26,32,28,21,29,13,26,12,26,15,31,13,27,13,26,25,32,55,44,13,27,5,23,27,37,0,24
3.5,Beacon Hill,1505,186,88,85,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,40,52,0,17,48,70,0,17,0,17,0,17,0,17,515,139,0,17,0,17,0,17,0,17,9,19,0,17,11,22,17,30,0,17,71,58,82,56,94,81,8,18,120,79,103,92,0,17,468,122,18,22,0,17,0,17,1,18,0,17,11,19,24,38,47,42,32,38,68,47,66,52,22,26,100,73,31,32,19,34,29,30,434,120,28,45,42,40,72,54,53,51,10,21,0,17,19,32,20,32,25,42,42,39,35,43,51,40,37,43,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,2271,215,92,94,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,48,76,44,62,0,24,0,24,0,24,0,24,0,24,0,24,487,149,0,24,19,30,0,24,14,29,0,24,73,79,46,77,0,24,39,44,32,42,83,89,85,83,63,51,5,23,21,42,7,24,937,180,23,32,73,74,0,24,20,34,55,47,46,75,14,30,57,42,39,38,144,92,187,100,76,45,105,63,17,33,39,59,42,41,755,154,267,126,128,73,111,75,17,23,40,39,0,24,0,24,48,44,76,82,52,49,16,29,0,24,0,24,0,24,0,24,0,24
4.1,Rainier Beach,1148,198,62,64,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,34,50,0,27,28,52,0,27,0,27,0,27,254,129,36,61,11,29,0,27,0,27,0,27,0,27,0,27,0,27,13,31,75,80,0,27,104,98,0,27,0,27,0,27,15,32,541,153,64,68,0,27,0,27,0,27,10,26,35,38,70,67,10,26,0,27,79,58,46,43,80,54,68,52,42,45,37,47,0,27,291,102,47,46,14,30,11,27,16,33,59,56,0,27,0,27,12,30,24,34,0,27,19,37,16,33,15,31,41,43,17,34,0,27
4.2,Columbia City,1359,191,37,33,13,29,0,27,0,27,0,27,0,27,0,27,15,30,0,27,0,27,9,28,0,27,0,27,0,27,0,27,0,27,0,27,418,125,10,28,0,27,11,30,105,77,0,27,79,71,0,27,16,27,0,27,34,43,0,27,48,45,77,79,11,31,27,46,0,27,697,171,45,38,43,67,12,29,61,77,0,27,39,65,68,87,0,27,55,63,44,50,78,55,128,81,51,42,22,32,11,21,40,35,207,76,14,29,18,27,15,33,9,27,0,27,16,28,16,34,19,37,7,26,7,26,14,28,26,34,27,31,6,27,4,23,9,27
4.3,Seward Park,565,83,23,30,0,17,0,17,0,17,0,17,0,17,0,17,15,29,0,17,8,18,0,17,0,17,0,17,0,17,0,17,0,17,0,17,108,57,0,17,0,17,0,17,0,17,0,17,13,22,0,17,0,17,0,17,12,22,18,29,37,35,0,17,0,17,28,30,0,17,258,75,21,35,16,24,0,17,31,45,31,45,0,17,3,14,0,17,22,29,21,30,55,40,28,26,0,17,0,17,16,24,14,23,176,60,9,18,14,26,6,17,15,20,5,15,0,17,0,17,12,18,13,18,6,16,0,17,82,51,7,16,7,16,0,17,0,17
4.4,Mt. Baker/North Rainier,382,82,15,25,0,17,0,17,0,17,0,17,0,17,15,25,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,100,51,0,17,0,17,50,54,0,17,0,17,0,17,0,17,11,18,0,17,0,17,8,18,0,17,0,17,18,23,13,25,0,17,151,91,27,30,0,17,0,17,0,17,14,22,43,59,0,17,0,17,0,17,0,17,0,17,34,37,17,29,0,17,16,26,0,17,116,63,48,43,0,17,26,34,13,22,0,17,0,17,0,17,0,17,0,17,13,20,0,17,7,16,9,15,0,17,0,17,0,17
5.1,Madrona/Leschi,254,91,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,155,85,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,19,34,17,33,0,21,16,30,21,39,29,32,53,46,69,48,0,21,0,21,0,21,13,25,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,56,41,30,35,18,34,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,12,22
