area_id,area_name,b17001e001,b17001e001_moe,b17001e002,b17001e002_moe,b17001e003,b17001e003_moe,b17001e004,b17001e004_moe,b17001e005,b17001e005_moe,b17001e006,b17001e006_moe,b17001e007,b17001e007_moe,b17001e008,b17001e008_moe,b17001e009,b17001e009_moe,b17001e010,b17001e010_moe,b17001e011,b17001e011_moe,b17001e012,b17001e012_moe,b17001e013,b17001e013_moe,b17001e014,b17001e014_moe,b17001e015,b17001e015_moe,b17001e016,b17001e016_moe,b17001e017,b17001e017_moe,b17001e018,b17001e018_moe,b17001e019,b17001e019_moe,b17001e020,b17001e020_moe,b17001e021,b17001e021_moe,b17001e022,b17001e022_moe,b17001e023,b17001e023_moe,b17001e024,b17001e024_moe,b17001e025,b17001e025_moe,b17001e026,b17001e026_moe,b17001e027,b17001e027_moe,b17001e028,b17001e028_moe,b17001e029,b17001e029_moe,b17001e030,b17001e030_moe,b17001e031,b17001e031_moe,b17001e032,b17001e032_moe,b17001e033,b17001e033_moe,b17001e034,b17001e034_moe,b17001e035,b17001e035_moe,b17001e036,b17001e036_moe,b17001e037,b17001e037_moe,b17001e038,b17001e038_moe,b17001e039,b17001e039_moe,b17001e040,b17001e040_moe,b17001e041,b17001e041_moe,b17001e042,b17001e042_moe,b17001e043,b17001e043_moe,b17001e044,b17001e044_moe,b17001e045,b17001e045_moe,b17001e046,b17001e046_moe,b17001e047,b17001e047_moe,b17001e048,b17001e048_moe,b17001e049,b17001e049_moe,b17001e050,b17001e050_moe,b17001e051,b17001e051_moe,b17001e052,b17001e052_moe,b17001e053,b17001e053_moe,b17001e054,b17001e054_moe,b17001e055,b17001e055_moe,b17001e056,b17001e056_moe,b17001e057,b17001e057_moe,b17001e058,b17001e058_moe,b17001e059,b17001e059_moe
1.1,Arbor Heights,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,57,82,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,57,82,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,57,82,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,57,82,0,24,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,52,77,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,52,77,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,52,77,0,29,0,29,0,29,0,29,0,29,0,29,0,29,52,77,0,29,0,29,0,29,0,29,0,29
1.4,Alki/Admiral,22,56,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,22,56,15,41,0,24,0,24,0,24,0,24,0,24,0,24,0,24,8,26,0,24,0,24,7,24,0,24,0,24,7,23,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,7,23,0,24,0,24
2.1,North Delridge,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.2,High Point,22,38,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,22,38,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,22,38,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,22,38,0,17
2.3,Riverview,59,53,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,59,53,32,28,0,12,0,12,11,18,0,12,0,12,0,12,0,12,0,12,10,16,0,12,0,12,11,16,0,12,27,45,0,12,0,12,0,12,11,18,16,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,134,117,35,69,24,50,0,21,0,21,12,29,0,21,0,21,0,21,0,21,0,21,0,21,0,21,12,29,0,21,0,21,11,27,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,11,27,0,21,0,21,0,21,99,98,75,87,0,21,0,21,0,21,0,21,0,21,0,21,0,21,66,86,0,21,0,21,9,23,0,21,0,21,24,40,0,21,0,21,0,21,0,21,0,21,0,21,0,21,13,26,0,21,0,21,11,24,0,21,0,21
2.5,Highland Park,60,123,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,60,123,33,79,0,21,0,21,7,21,0,21,0,21,0,21,10,26,8,22,0,21,0,21,8,23,0,21,0,21,27,48,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,10,25,0,21,17,30,0,21,0,21
3.1,South Park,214,219,10,21,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,10,21,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,10,21,0,17,0,17,204,218,95,109,0,17,0,17,32,55,13,27,0,17,0,17,8,21,18,33,0,17,0,17,15,28,9,21,0,17,109,113,0,17,17,30,6,18,18,30,10,22,11,22,0,17,19,32,0,17,28,42,0,17,0,17,0,17
