area_id,area_name,b17010e001,b17010e001_moe,b17010e002,b17010e002_moe,b17010e003,b17010e003_moe,b17010e004,b17010e004_moe,b17010e005,b17010e005_moe,b17010e006,b17010e006_moe,b17010e007,b17010e007_moe,b17010e008,b17010e008_moe,b17010e009,b17010e009_moe,b17010e010,b17010e010_moe,b17010e011,b17010e011_moe,b17010e012,b17010e012_moe,b17010e013,b17010e013_moe,b17010e014,b17010e014_moe,b17010e015,b17010e015_moe,b17010e016,b17010e016_moe,b17010e017,b17010e017_moe,b17010e018,b17010e018_moe,b17010e019,b17010e019_moe,b17010e020,b17010e020_moe,b17010e021,b17010e021_moe,b17010e022,b17010e022_moe,b17010e023,b17010e023_moe,b17010e024,b17010e024_moe,b17010e025,b17010e025_moe,b17010e026,b17010e026_moe,b17010e027,b17010e027_moe,b17010e028,b17010e028_moe,b17010e029,b17010e029_moe,b17010e030,b17010e030_moe,b17010e031,b17010e031_moe,b17010e032,b17010e032_moe,b17010e033,b17010e033_moe,b17010e034,b17010e034_moe,b17010e035,b17010e035_moe,b17010e036,b17010e036_moe,b17010e037,b17010e037_moe,b17010e038,b17010e038_moe,b17010e039,b17010e039_moe,b17010e040,b17010e040_moe,b17010e041,b17010e041_moe
1.1,Arbor Heights,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,57,82,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,57,82,0,24,0,24,0,24,0,24,0,24,0,24,57,82,0,24,0,24,0,24,0,24,0,24,0,24,57,82,57,82,0,24,57,82,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,52,77,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,52,77,0,29,0,29,0,29,0,29,0,29,0,29,52,77,0,29,0,29,0,29,0,29,0,29,0,29,52,77,52,77,0,29,0,29,52,77,0,29
1.4,Alki/Admiral,7,23,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,7,23,0,24,0,24,0,24,0,24,0,24,0,24,7,23,0,24,0,24,0,24,0,24,0,24,0,24,7,23,0,24,0,24,0,24,0,24,7,23
2.1,North Delridge,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.2,High Point,22,38,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,22,38,0,17,0,17,0,17,0,17,0,17,0,17,22,38,0,17,0,17,0,17,0,17,0,17,0,17,22,38,22,38,0,17,0,17,22,38,0,17
2.3,Riverview,21,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,23,21,23,10,16,10,16,0,12,0,12,11,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,20,30,11,27,11,27,11,27,0,21,0,21,11,27,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,9,23,9,23,9,23,0,21,0,21,9,23,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
2.5,Highland Park,8,22,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,8,22,0,21,0,21,0,21,0,21,0,21,0,21,8,22,8,22,8,22,0,21,0,21,8,22,0,21,0,21,0,21,0,21,0,21,0,21,0,21
3.1,South Park,43,46,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,43,46,43,46,28,38,0,17,0,17,28,38,15,28,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
