area_id,area_name,b17015001,b17015001_moe,b17015002,b17015002_moe,b17015003,b17015003_moe,b17015004,b17015004_moe,b17015005,b17015005_moe,b17015006,b17015006_moe,b17015007,b17015007_moe,b17015008,b17015008_moe,b17015009,b17015009_moe,b17015010,b17015010_moe,b17015011,b17015011_moe,b17015012,b17015012_moe,b17015013,b17015013_moe,b17015014,b17015014_moe,b17015015,b17015015_moe,b17015016,b17015016_moe,b17015017,b17015017_moe,b17015018,b17015018_moe,b17015019,b17015019_moe,b17015020,b17015020_moe,b17015021,b17015021_moe,b17015022,b17015022_moe,b17015023,b17015023_moe,b17015024,b17015024_moe,b17015025,b17015025_moe,b17015026,b17015026_moe,b17015027,b17015027_moe,b17015028,b17015028_moe,b17015029,b17015029_moe,b17015030,b17015030_moe,b17015031,b17015031_moe,b17015032,b17015032_moe,b17015033,b17015033_moe,b17015034,b17015034_moe,b17015035,b17015035_moe,b17015036,b17015036_moe,b17015037,b17015037_moe,b17015038,b17015038_moe,b17015039,b17015039_moe,b17015040,b17015040_moe,b17015041,b17015041_moe,b17015042,b17015042_moe,b17015043,b17015043_moe,b17015044,b17015044_moe,b17015045,b17015045_moe,b17015046,b17015046_moe,b17015047,b17015047_moe
1.1,Arbor Heights,1585,134,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,1585,134,1344,146,302,66,0,17,302,66,1042,134,22,25,1020,134,241,88,72,47,20,22,0,17,20,22,52,42,0,17,52,42,169,72,49,38,10,20,39,34,120,66,25,30,95,60
1.2,Fauntleroy/Seaview,3390,270,66,53,66,53,15,29,0,24,15,29,51,46,0,24,51,46,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,3324,271,2703,271,360,105,13,28,347,104,2343,260,30,40,2313,258,621,167,74,52,8,23,8,23,0,24,66,48,0,24,66,48,547,165,228,121,27,36,201,117,319,114,0,24,319,114
1.3,West Seattle Junction/Genesee Hill,4165,272,149,92,68,50,15,35,0,29,15,35,53,44,0,29,53,44,81,80,19,39,0,29,0,29,0,29,19,39,0,29,19,39,62,72,0,29,0,29,0,29,62,72,0,29,62,72,4016,285,3213,254,568,137,13,33,555,137,2645,237,16,35,2629,237,803,204,178,84,55,46,18,37,37,36,123,70,10,29,113,68,625,184,133,99,61,84,72,57,492,161,14,33,478,160
1.4,Alki/Admiral,2475,222,87,64,68,52,11,23,0,24,11,23,57,50,0,24,57,50,19,34,0,24,0,24,0,24,0,24,0,24,0,24,0,24,19,34,0,24,0,24,0,24,19,34,19,34,0,24,2388,226,2116,214,542,161,41,38,501,160,1574,174,21,37,1553,177,272,124,119,102,71,87,8,21,63,86,48,57,0,24,48,57,153,69,32,36,0,24,32,36,121,67,0,24,121,67
2.1,North Delridge,979,163,32,35,0,12,0,12,0,12,0,12,0,12,0,12,0,12,32,35,15,24,0,12,0,12,0,12,15,24,0,12,15,24,17,26,0,12,0,12,0,12,17,26,0,12,17,26,947,159,740,153,82,62,0,12,82,62,658,152,0,12,658,152,207,97,98,68,0,12,0,12,0,12,98,68,0,12,98,68,109,67,10,20,0,12,10,20,99,67,0,12,99,67
2.2,High Point,1514,206,394,139,75,71,6,18,6,18,0,17,69,67,9,22,60,65,319,143,0,17,0,17,0,17,0,17,0,17,0,17,0,17,319,143,5,16,5,16,0,17,314,143,215,127,99,69,1120,183,743,143,119,69,16,30,103,62,624,150,28,26,596,151,377,145,42,38,0,17,0,17,0,17,42,38,0,17,42,38,335,139,46,45,0,17,46,45,289,139,52,49,237,131
2.3,Riverview,1096,109,81,70,0,12,0,12,0,12,0,12,0,12,0,12,0,12,81,70,0,12,0,12,0,12,0,12,0,12,0,12,0,12,81,70,9,14,0,12,9,14,72,69,16,26,56,61,1015,101,638,110,146,45,7,13,139,48,492,119,18,25,474,118,377,95,146,82,7,12,0,12,7,12,139,84,0,12,139,84,231,84,76,48,9,15,67,50,155,71,0,12,155,71
2.4,Roxhill/Westwood,2961,229,354,129,239,108,42,54,15,29,27,48,197,99,72,76,125,87,115,77,17,32,0,21,0,21,0,21,17,32,0,21,17,32,98,73,20,37,20,37,0,21,78,64,29,38,49,57,2607,251,1792,240,324,85,45,44,279,82,1468,216,67,75,1401,199,815,195,339,155,9,20,4,19,5,22,330,153,16,28,314,152,476,129,73,46,8,23,65,45,403,120,9,21,394,119
2.5,Highland Park,1348,186,31,28,0,21,0,21,0,21,0,21,0,21,0,21,0,21,31,28,14,26,0,21,0,21,0,21,14,26,14,26,0,21,17,30,0,21,0,21,0,21,17,30,0,21,17,30,1317,189,979,190,242,97,31,37,211,93,737,161,41,42,696,158,338,132,87,65,0,21,0,21,0,21,87,65,0,21,87,65,251,111,43,39,25,29,18,31,208,106,13,23,195,104
3.1,South Park,823,106,144,83,22,30,15,29,15,29,0,17,7,16,0,17,7,16,122,78,19,30,19,30,19,30,0,17,0,17,0,17,0,17,103,75,9,18,0,17,9,18,94,73,38,49,56,61,679,122,472,117,29,30,9,21,20,24,443,114,88,72,355,102,207,86,79,58,0,17,0,17,0,17,79,58,0,17,79,58,128,76,14,26,0,17,14,26,114,72,39,37,75,52
