area_id,area_name,b12002e001,b12002e001_moe,b12002e002,b12002e002_moe,b12002e003,b12002e003_moe,b12002e004,b12002e004_moe,b12002e005,b12002e005_moe,b12002e006,b12002e006_moe,b12002e007,b12002e007_moe,b12002e008,b12002e008_moe,b12002e009,b12002e009_moe,b12002e010,b12002e010_moe,b12002e011,b12002e011_moe,b12002e012,b12002e012_moe,b12002e013,b12002e013_moe
1.1,Arbor Heights,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,57,82,0,24,0,24,0,24,0,24,0,24,0,24,57,82,0,24,0,24,0,24,0,24,57,82
1.3,West Seattle Junction/Genesee Hill,52,77,0,29,0,29,0,29,0,29,0,29,0,29,52,77,0,29,0,29,0,29,0,29,52,77
1.4,Alki/Admiral,22,56,15,41,15,41,0,24,0,24,0,24,0,24,7,23,0,24,0,24,0,24,0,24,7,23
2.1,North Delridge,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.2,High Point,22,38,0,17,0,17,0,17,0,17,0,17,0,17,22,38,0,17,0,17,0,17,22,38,0,17
2.3,Riverview,37,36,21,23,0,12,21,23,0,12,0,12,0,12,16,28,16,28,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,122,106,87,90,12,25,21,33,54,84,0,21,0,21,35,44,0,21,22,32,0,21,0,21,13,26
2.5,Highland Park,53,106,26,62,10,26,8,23,0,21,0,21,8,22,27,48,0,21,19,44,0,21,0,21,8,20
3.1,South Park,128,123,50,54,8,21,42,46,0,17,0,17,0,17,78,73,21,40,47,50,0,17,10,21,0,17
3.2,Georgetown,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,140,149,54,81,29,47,25,42,0,24,0,24,0,24,86,98,0,24,32,50,0,24,54,88,0,24
3.5,Beacon Hill,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,143,153,94,98,66,77,28,43,0,24,0,24,0,24,49,72,25,42,24,40,0,24,0,24,0,24
4.1,Rainier Beach,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
4.2,Columbia City,276,271,110,112,0,27,110,112,0,27,0,27,0,27,166,184,77,120,89,88,0,27,0,27,0,27
4.3,Seward Park,19,35,0,17,0,17,0,17,0,17,0,17,0,17,19,35,0,17,19,35,0,17,0,17,0,17
4.4,Mt. Baker/North Rainier,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
5.1,Madrona/Leschi,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
5.2,Judkins Park,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,9,26,0,24,0,24,0,24,0,24,0,24,0,24,9,26,0,24,0,24,0,24,9,26,0,24
6.1,First Hill,47,48,47,48,15,29,8,27,10,29,14,33,0,24,0,24,0,24,0,24,0,24,0,24,0,24
6.2,Capitol Hill,17,38,0,29,0,29,0,29,0,29,0,29,0,29,17,38,0,29,0,29,17,38,0,29,0,29
6.3,North Capitol Hill,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
6.4,Miller Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
6.5,Madison Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
7.2,University District,28,32,4,26,4,26,0,29,0,29,0,29,0,29,24,30,24,30,0,29,0,29,0,29,0,29
7.3,Ravenna/Bryant,56,60,19,38,0,32,19,38,0,32,0,32,0,32,37,56,37,56,0,32,0,32,0,32,0,32
7.4,Wedgwood/View Ridge,13,30,13,30,0,27,13,30,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
7.5,Laurelhurst/Sand Point,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,118,120,65,74,35,59,30,51,0,24,0,24,0,24,53,64,19,35,34,59,0,24,0,24,0,24
8.2,Olympic Hills/Victory Heights,83,113,0,24,0,24,0,24,0,24,0,24,0,24,83,113,25,39,0,24,0,24,58,80,0,24
8.3,Cedar Park/Meadowbrook,25,36,11,27,11,27,0,27,0,27,0,27,0,27,14,31,0,27,14,31,0,27,0,27,0,27
9.1,Broadview/Bitter Lake,27,53,11,29,0,27,11,29,0,27,0,27,0,27,16,36,0,27,16,36,0,27,0,27,0,27
9.2,Licton Springs,22,26,13,24,13,24,0,17,0,17,0,17,0,17,9,20,0,17,9,20,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
9.4,Green Lake,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
9.5,Haller Lake,195,137,85,72,77,71,8,18,0,21,0,21,0,21,110,95,83,91,11,22,0,21,0,21,16,25
10.1,North Beach/Blue Ridge,67,126,27,52,21,42,6,20,0,21,0,21,0,21,40,78,31,60,9,25,0,21,0,21,0,21
10.2,Whittier Heights,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,24,27,10,25,0,24,10,25,0,24,0,24,0,24,14,26,0,24,14,26,0,24,0,24,0,24
10.4,Ballard,30,38,0,17,0,17,0,17,0,17,0,17,0,17,30,38,0,17,0,17,0,17,0,17,30,38
11.1,Fremont,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
11.2,Wallingford,56,81,56,81,56,81,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
11.3,Cascade/Eastlake,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
12.1,Magnolia,12,24,12,24,0,24,12,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
12.2,Interbay,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
12.3,Queen Anne,6,37,0,40,0,40,0,40,0,40,0,40,0,40,6,37,6,37,0,40,0,40,0,40,0,40
13.1,Belltown,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
13.2,Downtown Commercial Core,17,28,17,28,13,26,4,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
13.3,Pioneer Square/International District,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
