area_id,area_name,b19113h001,b19113h001_moe
1.1,Arbor Heights,195128,13544
1.2,Fauntleroy/Seaview,243497,23641
1.3,West Seattle Junction/Genesee Hill,304030,16478
1.4,Alki/Admiral,263847,34962
2.1,North Delridge,91250,41326
2.2,High Point,180260,57795
2.3,Riverview,85357,14421
2.4,Roxhill/Westwood,252387,32862
2.5,Highland Park,73434,4310
3.1,South Park,54306,39242
3.2,Georgetown,79706,26725
3.3,Duwamish/SODO,120625,27715
3.4,South Beacon Hill/NewHolly,171039,91153
3.5,Beacon Hill,244219,41934
3.6,North Beacon Hill/Jefferson Park,321840,66352
4.1,Rainier Beach,175171,57616
4.2,Columbia City,308730,83359
4.3,Seward Park,243733,30390
4.4,Mt. Baker/North Rainier,161211,34948
5.1,Madrona/Leschi,292324,50645
5.2,Judkins Park,90972,34790
5.3,Central Area/Squire Park,411327,76477
6.1,First Hill,410615,83421
6.2,Capitol Hill,413825,80716
6.3,North Capitol Hill,186834,22739
6.4,Miller Park,299367,32712
6.5,Madison Park,166106,27119
7.1,Montlake/Portage Bay,261981,60081
7.2,University District,152306,87349
7.3,Ravenna/Bryant,726067,102206
7.4,Wedgwood/View Ridge,460332,51434
7.5,Laurelhurst/Sand Point,281275,54017
8.1,Northgate/Maple Leaf,266037,41035
8.2,Olympic Hills/Victory Heights,286415,37473
8.3,Cedar Park/Meadowbrook,416397,40530
9.1,Broadview/Bitter Lake,311939,53903
9.2,Licton Springs,194625,32557
9.3,Greenwood/Phinney Ridge,638315,47711
9.4,Green Lake,334945,32957
9.5,Haller Lake,169599,19951
10.1,North Beach/Blue Ridge,328022,35696
10.2,Whittier Heights,189703,20025
10.3,Sunset Hill/Loyal Heights,205977,24730
10.4,Ballard,91667,20637
11.1,Fremont,290781,51118
11.2,Wallingford,518275,67333
11.3,Cascade/Eastlake,271842,75078
12.1,Magnolia,303730,31523
12.2,Interbay,229513,40046
12.3,Queen Anne,873433,89147
13.1,Belltown,331350,179764
13.2,Downtown Commercial Core,154519,86847
13.3,Pioneer Square/International District,210511,86457
