area_id,area_name,b14003001,b14003001_moe,b14003002,b14003002_moe,b14003003,b14003003_moe,b14003004,b14003004_moe,b14003005,b14003005_moe,b14003006,b14003006_moe,b14003007,b14003007_moe,b14003008,b14003008_moe,b14003009,b14003009_moe,b14003010,b14003010_moe,b14003011,b14003011_moe,b14003012,b14003012_moe,b14003013,b14003013_moe,b14003014,b14003014_moe,b14003015,b14003015_moe,b14003016,b14003016_moe,b14003017,b14003017_moe,b14003018,b14003018_moe,b14003019,b14003019_moe,b14003020,b14003020_moe,b14003021,b14003021_moe,b14003022,b14003022_moe,b14003023,b14003023_moe,b14003024,b14003024_moe,b14003025,b14003025_moe,b14003026,b14003026_moe,b14003027,b14003027_moe,b14003028,b14003028_moe,b14003029,b14003029_moe,b14003030,b14003030_moe,b14003031,b14003031_moe,b14003032,b14003032_moe,b14003033,b14003033_moe,b14003034,b14003034_moe,b14003035,b14003035_moe,b14003036,b14003036_moe,b14003037,b14003037_moe,b14003038,b14003038_moe,b14003039,b14003039_moe,b14003040,b14003040_moe,b14003041,b14003041_moe,b14003042,b14003042_moe,b14003043,b14003043_moe,b14003044,b14003044_moe,b14003045,b14003045_moe,b14003046,b14003046_moe,b14003047,b14003047_moe,b14003048,b14003048_moe,b14003049,b14003049_moe,b14003050,b14003050_moe,b14003051,b14003051_moe,b14003052,b14003052_moe,b14003053,b14003053_moe,b14003054,b14003054_moe,b14003055,b14003055_moe,b14003056,b14003056_moe,b14003057,b14003057_moe
8.2,Olympic Hills/Victory Heights,14036,633,6882,458,1262,259,19,31,213,88,267,96,132,69,87,136,196,115,265,149,83,64,318,154,48,46,56,43,25,31,0,24,29,36,17,33,93,116,50,46,5302,411,13,23,0,24,0,24,0,24,0,24,291,118,1444,341,3554,270,7154,498,1309,265,57,45,245,127,171,96,192,76,117,71,226,115,141,86,160,71,308,130,43,55,56,59,15,30,17,32,16,31,73,79,62,50,26,32,5537,382,48,57,61,74,0,24,7,25,31,37,252,130,1117,235,4021,288
8.3,Cedar Park/Meadowbrook,11681,590,5812,432,989,227,20,29,127,80,278,118,161,79,28,28,161,92,122,86,92,54,182,84,15,29,68,53,0,27,7,24,10,29,39,41,43,43,0,27,4641,408,26,36,74,68,0,27,63,67,0,27,144,88,1237,324,3097,232,5869,386,1078,245,0,27,211,88,159,74,138,88,90,101,123,102,236,102,121,67,266,86,57,41,90,62,37,36,0,27,0,27,31,37,24,32,27,34,4525,306,49,46,0,27,0,27,20,38,19,38,141,93,870,180,3426,228
9.1,Broadview/Bitter Lake,13290,748,5963,496,1133,269,33,36,196,110,301,113,133,94,55,42,200,145,194,122,21,32,406,215,10,27,48,37,128,105,26,35,32,34,82,91,80,94,0,27,4424,409,17,36,0,27,0,27,0,27,79,93,130,89,665,194,3533,322,7327,433,1080,221,14,29,288,138,89,56,75,63,84,56,194,114,162,90,174,83,382,154,62,77,49,46,85,58,26,32,8,27,31,42,98,95,23,34,5865,415,0,27,0,27,13,31,47,70,0,27,94,60,829,257,4882,366
9.2,Licton Springs,8541,453,4118,328,507,187,13,23,79,70,109,111,64,57,18,43,55,43,143,91,26,32,208,124,46,43,23,42,0,17,0,17,0,17,104,114,9,19,26,29,3403,309,70,67,0,17,0,17,0,17,11,22,358,220,1165,250,1799,244,4423,350,502,186,0,17,11,22,27,30,48,53,0,17,112,83,109,81,195,132,220,115,0,17,36,59,0,17,0,17,0,17,80,92,92,68,12,22,3701,300,97,110,0,17,0,17,0,17,29,44,427,235,1456,285,1692,221
9.3,Greenwood/Phinney Ridge,22690,720,10872,542,1822,307,18,32,497,181,394,148,122,70,108,78,181,87,380,150,122,64,572,171,223,86,124,63,136,88,28,41,0,29,0,29,0,29,61,64,8478,427,36,42,32,41,0,29,0,29,44,47,295,112,2011,310,6060,362,11818,449,1671,233,11,35,345,105,325,114,120,60,96,62,191,90,378,124,205,103,599,149,142,69,183,103,92,57,49,43,0,29,50,45,55,57,28,33,9548,409,64,63,87,87,0,29,0,29,27,50,449,157,2268,311,6653,324
9.4,Green Lake,13323,610,6991,505,992,262,0,24,97,58,94,65,119,77,33,42,148,74,428,208,73,52,419,128,79,47,148,66,86,58,43,45,0,24,26,35,19,31,18,37,5580,424,12,30,10,26,0,24,0,24,11,27,357,134,1882,339,3308,307,6332,443,963,240,26,37,73,55,99,57,32,34,22,30,174,74,412,176,125,110,464,138,51,47,128,69,79,45,56,50,0,24,33,33,74,50,43,40,4905,351,24,29,0,24,0,24,0,24,0,24,395,177,1234,272,3252,260
9.5,Haller Lake,9469,469,4603,310,681,220,61,72,198,98,100,52,27,28,34,42,94,87,66,51,101,92,189,92,61,48,51,53,0,21,18,30,8,20,11,24,40,44,0,21,3733,302,58,65,46,45,0,21,10,23,35,44,130,71,838,204,2616,239,4866,362,778,193,23,28,225,94,172,85,0,21,99,96,67,65,146,87,46,43,232,117,27,32,27,28,95,93,33,57,0,21,0,21,29,35,21,30,3856,267,37,35,0,21,23,25,12,25,39,47,211,123,812,199,2722,240
10.1,North Beach/Blue Ridge,11200,454,5569,386,953,238,8,21,204,85,282,114,178,127,26,31,59,40,151,89,45,39,279,106,76,51,20,26,97,73,32,34,0,21,24,41,22,30,8,20,4337,263,47,38,6,20,0,21,0,21,0,21,238,103,722,151,3324,200,5631,309,801,235,9,23,170,82,197,96,143,82,16,26,32,35,98,63,136,82,429,133,79,58,118,64,80,64,62,44,46,39,12,25,12,27,20,26,4401,234,22,29,0,21,0,21,0,21,39,59,140,114,769,163,3431,207
10.2,Whittier Heights,11194,423,5401,323,697,209,8,23,237,118,55,42,66,42,30,28,25,29,160,105,116,97,309,127,41,40,74,53,65,52,65,82,0,24,0,24,0,24,64,51,4395,277,54,45,26,31,0,24,15,30,23,25,167,138,1253,217,2857,237,5793,296,946,218,40,39,215,85,88,83,98,63,1,17,92,86,238,134,174,90,311,95,94,60,133,62,29,36,16,30,24,43,0,24,0,24,15,29,4536,294,54,47,13,27,0,24,0,24,0,24,249,119,1175,210,3045,244
10.3,Sunset Hill/Loyal Heights,13441,580,6510,382,1241,236,41,41,231,91,338,134,68,51,115,78,156,107,204,113,88,51,306,100,117,62,68,50,72,57,12,25,0,24,22,29,0,24,15,29,4963,316,80,78,23,31,0,24,0,24,45,64,121,76,981,202,3713,244,6931,392,912,220,0,24,149,77,49,40,152,91,19,29,73,48,382,152,88,69,484,167,137,81,74,54,83,58,60,68,0,24,18,34,10,24,102,74,5535,359,67,46,0,24,0,24,0,24,55,64,287,228,997,206,4129,267
10.4,Ballard,6958,508,3622,381,340,131,0,17,14,25,26,41,35,39,19,34,105,81,141,90,0,17,112,74,14,22,0,17,46,48,0,17,0,17,0,17,34,42,18,29,3170,375,0,17,0,17,0,17,15,24,0,17,183,124,1462,389,1510,271,3336,413,324,131,25,39,42,67,43,33,45,50,0,17,38,43,113,80,18,22,166,108,10,17,35,45,0,17,19,30,0,17,0,17,80,89,22,35,2846,381,0,17,0,17,0,17,0,17,0,17,241,175,1079,264,1526,275
11.1,Fremont,15053,530,7623,487,1015,245,0,24,91,58,106,74,34,39,65,54,98,79,431,168,190,113,475,140,74,55,124,73,29,52,0,24,14,31,78,82,134,90,22,33,6133,444,0,24,0,24,0,24,0,24,0,24,296,130,2326,383,3511,328,7430,497,1109,241,20,39,194,79,137,90,87,100,0,24,227,107,382,154,62,51,549,196,52,48,81,61,15,29,43,46,0,24,71,92,240,123,47,48,5772,422,23,36,0,24,0,24,0,24,24,42,406,181,2195,281,3124,287
11.2,Wallingford,15870,895,8265,584,2147,411,0,27,287,99,106,52,27,34,108,91,1262,353,299,108,58,56,474,159,105,73,79,46,34,36,20,32,7,27,118,85,111,83,0,27,5644,428,41,47,0,27,0,27,0,27,171,168,541,243,1526,241,3365,315,7605,629,2159,411,25,35,124,55,259,108,18,28,172,97,1148,309,338,141,75,53,405,128,47,39,107,64,30,31,19,30,0,27,76,72,66,49,60,52,5041,379,2,25,13,28,14,41,0,27,24,40,444,195,1442,237,3102,227
11.3,Cascade/Eastlake,12215,783,6656,639,615,229,0,21,0,21,0,21,0,21,78,60,213,143,244,143,80,70,600,322,0,21,0,21,7,24,14,26,40,66,292,319,217,135,30,52,5441,469,52,84,0,21,0,21,0,21,0,21,160,80,2230,335,2999,360,5559,535,643,190,0,21,0,21,45,68,20,34,17,37,176,103,283,136,102,73,492,204,0,21,50,46,8,22,8,23,147,153,127,104,107,72,45,45,4424,474,0,21,0,21,0,21,0,21,0,21,313,124,1829,359,2282,318
12.1,Magnolia,12081,613,5700,309,630,183,23,28,287,120,163,82,31,36,0,24,63,46,0,24,63,52,544,172,32,37,186,103,159,88,86,53,0,24,0,24,0,24,81,80,4526,259,114,98,0,24,0,24,0,24,0,24,88,67,682,176,3642,247,6381,510,985,243,0,24,390,148,379,175,67,69,15,28,31,31,79,70,24,28,723,430,116,66,69,50,146,93,17,31,31,36,275,409,35,42,34,42,4673,250,14,29,0,24,0,24,0,24,0,24,16,30,673,154,3970,236
12.2,Interbay,9716,482,4693,385,579,171,9,22,82,59,138,82,60,58,64,58,95,92,72,63,59,47,242,170,29,35,81,88,14,29,0,21,0,21,105,128,0,21,13,24,3872,317,11,22,0,21,0,21,0,21,48,36,271,126,1167,271,2375,264,5023,380,696,216,14,27,175,102,119,92,90,62,8,18,68,70,45,39,177,107,387,162,30,34,29,36,8,18,10,20,0,21,143,104,107,101,60,48,3940,337,16,30,43,70,0,21,0,21,17,28,86,58,1182,267,2596,258
12.3,Queen Anne,35896,1111,17547,961,1914,336,33,50,487,193,257,98,128,80,335,114,311,146,282,124,81,57,2044,541,161,84,183,84,162,88,123,88,271,103,825,510,290,143,29,50,13589,680,93,89,14,46,0,40,1,38,5,39,661,208,4184,515,8631,503,18349,840,2044,388,15,44,243,90,213,97,151,95,382,216,457,268,360,136,223,102,1984,416,177,84,97,68,186,89,73,57,564,207,633,297,139,88,115,95,14321,612,51,57,54,86,19,47,0,40,0,40,1084,274,4323,486,8790,446
13.1,Belltown,8114,570,4665,469,238,148,0,21,0,21,0,21,0,21,12,25,36,63,135,100,55,71,264,190,0,21,0,21,0,21,0,21,125,135,72,72,47,54,20,34,4163,444,13,25,0,21,0,21,0,21,0,21,214,173,1239,324,2697,315,3449,381,249,120,0,21,0,21,14,25,0,21,54,59,13,23,50,51,118,84,256,120,0,21,23,37,27,46,0,21,11,20,157,106,25,32,13,24,2944,346,0,21,0,21,0,21,0,21,0,21,264,139,729,201,1951,275
13.2,Downtown Commercial Core,3854,420,2423,344,129,99,0,12,0,12,0,12,0,12,0,12,7,15,111,91,11,18,72,72,39,63,0,12,0,12,0,12,0,12,0,12,0,12,33,36,2222,338,0,12,0,12,0,12,0,12,14,20,170,104,482,174,1556,267,1431,213,41,40,0,12,0,12,0,12,0,12,0,12,0,12,13,22,28,33,24,28,0,12,0,12,0,12,0,12,0,12,0,12,13,22,11,16,1366,209,0,12,0,12,0,12,0,12,0,12,48,45,424,160,894,208
13.3,Pioneer Square/International District,5096,496,2965,337,323,201,30,49,42,49,138,147,30,34,41,39,28,27,11,21,3,16,45,45,0,17,0,17,0,17,0,17,0,17,27,43,0,17,18,20,2597,236,17,29,0,17,9,20,0,17,16,25,149,77,360,111,2046,235,2131,281,389,148,44,52,90,106,69,45,46,41,0,17,59,45,39,41,42,34,27,43,0,17,0,17,0,17,0,17,0,17,27,43,0,17,0,17,1715,195,49,54,0,17,1,13,0,17,0,17,85,52,300,102,1280,165
