area_id,area_name,b13002i001,b13002i001_moe,b13002i002,b13002i002_moe,b13002i003,b13002i003_moe,b13002i004,b13002i004_moe,b13002i005,b13002i005_moe,b13002i006,b13002i006_moe,b13002i007,b13002i007_moe
1.1,Arbor Heights,86,61,0,17,0,17,0,17,86,61,46,47,40,42
1.2,Fauntleroy/Seaview,197,102,0,24,0,24,0,24,197,102,90,65,107,75
1.3,West Seattle Junction/Genesee Hill,255,143,25,47,25,47,0,29,230,140,78,78,152,120
1.4,Alki/Admiral,190,137,25,40,25,40,0,24,165,133,0,24,165,133
2.1,North Delridge,153,83,0,12,0,12,0,12,153,83,54,81,99,60
2.2,High Point,26,32,0,17,0,17,0,17,26,32,0,17,26,32
2.3,Riverview,60,50,22,31,0,12,22,31,38,30,9,13,29,26
2.4,Roxhill/Westwood,674,304,26,36,6,20,20,34,648,300,314,122,334,222
2.5,Highland Park,220,126,69,81,19,31,50,79,151,117,105,101,46,50
3.1,South Park,475,164,62,71,62,71,0,17,413,153,164,87,249,125
3.2,Georgetown,69,61,0,12,0,12,0,12,69,61,30,44,39,42
3.3,Duwamish/SODO,52,56,0,12,0,12,0,12,52,56,6,10,46,55
3.4,South Beacon Hill/NewHolly,112,75,13,29,13,29,0,24,99,73,37,37,62,58
3.5,Beacon Hill,93,87,20,34,13,25,7,27,73,69,38,57,35,43
3.6,North Beacon Hill/Jefferson Park,363,171,72,76,36,61,36,52,291,154,95,68,196,142
4.1,Rainier Beach,541,234,55,87,55,87,0,27,486,223,120,88,366,197
4.2,Columbia City,361,198,47,46,47,46,0,27,314,188,61,68,253,175
4.3,Seward Park,50,50,28,46,28,46,0,17,22,25,22,25,0,17
4.4,Mt. Baker/North Rainier,27,33,0,17,0,17,0,17,27,33,27,33,0,17
5.1,Madrona/Leschi,85,64,0,21,0,21,0,21,85,64,33,39,52,50
5.2,Judkins Park,24,35,0,12,0,12,0,12,24,35,16,26,8,14
5.3,Central Area/Squire Park,419,133,12,28,12,28,0,24,407,131,152,79,255,108
6.1,First Hill,295,103,9,27,0,24,9,27,286,102,30,38,256,96
6.2,Capitol Hill,542,208,82,131,82,131,0,29,460,176,111,102,349,159
6.3,North Capitol Hill,94,68,0,12,0,12,0,12,94,68,43,48,51,47
6.4,Miller Park,118,60,0,17,0,17,0,17,118,60,47,40,71,42
6.5,Madison Park,30,47,0,17,0,17,0,17,30,47,0,17,30,47
7.1,Montlake/Portage Bay,116,90,0,21,0,21,0,21,116,90,22,30,94,86
7.2,University District,503,249,13,26,0,29,13,26,490,249,13,33,477,247
7.3,Ravenna/Bryant,179,80,9,32,9,32,0,32,170,79,65,47,105,54
7.4,Wedgwood/View Ridge,157,82,26,39,15,33,11,34,131,73,58,45,73,45
7.5,Laurelhurst/Sand Point,75,82,0,21,0,21,0,21,75,82,59,79,16,28
8.1,Northgate/Maple Leaf,251,111,11,27,11,27,0,24,240,109,145,85,95,65
8.2,Olympic Hills/Victory Heights,343,159,15,31,15,31,0,24,328,159,134,73,194,141
8.3,Cedar Park/Meadowbrook,258,175,30,48,0,27,30,48,228,159,78,48,150,155
9.1,Broadview/Bitter Lake,161,105,69,87,17,35,52,84,92,58,48,40,44,48
9.2,Licton Springs,233,127,0,17,0,17,0,17,233,127,142,108,91,72
9.3,Greenwood/Phinney Ridge,396,150,58,70,58,70,0,29,338,128,120,75,218,97
9.4,Green Lake,263,174,17,33,17,33,0,24,246,172,8,25,238,171
9.5,Haller Lake,155,103,0,21,0,21,0,21,155,103,123,92,32,48
10.1,North Beach/Blue Ridge,255,105,0,21,0,21,0,21,255,105,112,71,143,84
10.2,Whittier Heights,271,145,0,24,0,24,0,24,271,145,150,118,121,94
10.3,Sunset Hill/Loyal Heights,139,97,15,31,15,31,0,24,124,92,70,80,54,51
10.4,Ballard,224,170,0,17,0,17,0,17,224,170,0,17,224,170
11.1,Fremont,347,147,0,24,0,24,0,24,347,147,73,51,274,142
11.2,Wallingford,152,82,0,27,0,27,0,27,152,82,69,48,83,56
11.3,Cascade/Eastlake,236,96,0,21,0,21,0,21,236,96,48,47,188,87
12.1,Magnolia,60,49,19,34,19,34,0,24,41,39,13,27,28,37
12.2,Interbay,175,82,0,21,0,21,0,21,175,82,100,69,75,61
12.3,Queen Anne,728,221,16,48,0,40,16,48,712,222,174,107,538,196
13.1,Belltown,151,111,0,21,0,21,0,21,151,111,39,63,112,92
13.2,Downtown Commercial Core,92,93,0,12,0,12,0,12,92,93,80,92,12,20
13.3,Pioneer Square/International District,19,26,0,17,0,17,0,17,19,26,0,17,19,26
