area_id,area_name,b12002f001,b12002f001_moe,b12002f002,b12002f002_moe,b12002f003,b12002f003_moe,b12002f004,b12002f004_moe,b12002f005,b12002f005_moe,b12002f006,b12002f006_moe,b12002f007,b12002f007_moe,b12002f008,b12002f008_moe,b12002f009,b12002f009_moe,b12002f010,b12002f010_moe,b12002f011,b12002f011_moe,b12002f012,b12002f012_moe,b12002f013,b12002f013_moe
1.1,Arbor Heights,41,37,41,37,7,18,34,30,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,71,86,36,38,19,27,17,31,0,24,0,24,0,24,35,57,15,30,20,33,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,142,116,68,71,21,28,14,31,0,29,0,29,33,57,74,90,61,89,13,31,0,29,0,29,0,29
1.4,Alki/Admiral,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
2.1,North Delridge,148,153,80,70,13,22,51,77,0,12,0,12,16,26,68,85,14,24,54,81,0,12,0,12,0,12
2.2,High Point,21,31,7,18,0,17,0,17,0,17,0,17,7,18,14,21,10,22,0,17,0,17,0,17,4,16
2.3,Riverview,17,17,9,12,0,12,9,12,0,12,0,12,0,12,8,13,0,12,8,13,0,12,0,12,0,12
2.4,Roxhill/Westwood,481,278,357,234,230,186,127,102,0,21,0,21,0,21,124,87,57,64,67,61,0,21,0,21,0,21
2.5,Highland Park,67,61,21,35,0,21,0,21,21,35,0,21,0,21,46,51,0,21,27,44,0,21,0,21,19,33
3.1,South Park,62,61,23,31,0,17,23,31,0,17,0,17,0,17,39,35,8,17,21,30,0,17,0,17,10,21
3.2,Georgetown,58,79,42,58,0,12,24,34,0,12,0,12,18,24,16,21,16,21,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,58,94,58,94,25,59,0,12,12,30,21,33,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,55,53,43,41,13,27,14,29,0,24,0,24,16,33,12,25,12,25,0,24,0,24,0,24,0,24
3.5,Beacon Hill,160,209,96,130,60,82,29,52,7,27,0,17,0,17,64,91,42,57,13,25,0,17,9,34,0,17
3.6,North Beacon Hill/Jefferson Park,229,227,193,222,159,212,20,39,0,24,0,24,14,30,36,47,22,43,14,30,0,24,0,24,0,24
4.1,Rainier Beach,289,295,198,228,149,160,49,75,0,27,0,27,0,27,91,85,0,27,44,68,0,27,0,27,47,58
4.2,Columbia City,158,115,74,67,49,52,25,34,0,27,0,27,0,27,84,70,33,45,31,38,0,27,7,33,13,31
4.3,Seward Park,52,51,19,26,11,22,8,18,0,17,0,17,0,17,33,41,0,17,9,20,0,17,24,40,0,17
4.4,Mt. Baker/North Rainier,14,22,14,22,0,17,14,22,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
5.1,Madrona/Leschi,112,91,52,51,0,21,36,42,0,21,0,21,16,31,60,59,12,24,48,47,0,21,0,21,0,21
5.2,Judkins Park,14,23,0,12,0,12,0,12,0,12,0,12,0,12,14,23,14,23,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,149,118,104,95,73,79,31,37,0,24,0,24,0,24,45,37,37,37,8,24,0,24,0,24,0,24
6.1,First Hill,401,150,288,133,205,92,75,88,8,26,0,24,0,24,113,78,66,60,37,48,0,24,0,24,10,26
6.2,Capitol Hill,146,90,66,49,66,49,0,29,0,29,0,29,0,29,80,80,26,38,54,76,0,29,0,29,0,29
6.3,North Capitol Hill,56,63,56,63,20,31,36,54,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
