area_id,area_name,c21001i001,c21001i001_moe,c21001i002,c21001i002_moe,c21001i003,c21001i003_moe,c21001i004,c21001i004_moe,c21001i005,c21001i005_moe,c21001i006,c21001i006_moe,c21001i007,c21001i007_moe,c21001i008,c21001i008_moe,c21001i009,c21001i009_moe,c21001i010,c21001i010_moe,c21001i011,c21001i011_moe,c21001i012,c21001i012_moe,c21001i013,c21001i013_moe,c21001i014,c21001i014_moe,c21001i015,c21001i015_moe
1.1,Arbor Heights,247,141,150,83,150,83,7,16,143,81,0,17,0,17,0,17,97,68,97,68,0,17,97,68,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,410,152,179,107,179,107,17,31,162,103,0,24,0,24,0,24,231,103,213,98,0,24,213,98,18,34,0,24,18,34
1.3,West Seattle Junction/Genesee Hill,543,223,246,134,246,134,0,29,246,134,0,29,0,29,0,29,297,149,266,146,59,90,207,113,31,38,0,29,31,38
1.4,Alki/Admiral,353,226,160,117,160,117,19,35,141,114,0,24,0,24,0,24,193,138,169,133,0,24,169,133,24,40,0,24,24,40
2.1,North Delridge,328,152,154,98,135,104,0,12,135,104,19,28,0,12,19,28,174,88,154,84,0,12,154,84,20,36,0,12,20,36
2.2,High Point,147,86,95,71,95,71,7,17,88,69,0,17,0,17,0,17,52,40,52,40,0,17,52,40,0,17,0,17,0,17
2.3,Riverview,213,118,125,67,125,67,0,12,125,67,0,12,0,12,0,12,88,74,80,74,0,12,80,74,8,13,0,12,8,13
2.4,Roxhill/Westwood,1856,496,1119,325,1105,324,9,23,1096,324,14,27,14,27,0,21,737,304,674,300,0,21,674,300,63,53,0,21,63,53
2.5,Highland Park,675,264,365,153,365,153,22,38,343,152,0,21,0,21,0,21,310,141,284,142,0,21,284,142,26,34,0,21,26,34
3.1,South Park,1155,440,664,351,645,348,0,17,645,348,19,30,19,30,0,17,491,169,462,169,0,17,462,169,29,39,0,17,29,39
3.2,Georgetown,172,133,93,76,93,76,4,9,89,74,0,12,0,12,0,12,79,67,79,67,0,12,79,67,0,12,0,12,0,12
3.3,Duwamish/SODO,173,141,133,110,121,90,0,12,121,90,12,30,0,12,12,30,40,47,34,45,0,12,34,45,6,10,0,12,6,10
3.4,South Beacon Hill/NewHolly,235,118,108,65,94,61,0,24,94,61,14,29,0,24,14,29,127,81,127,81,0,24,127,81,0,24,0,24,0,24
3.5,Beacon Hill,270,233,168,151,161,138,19,26,142,132,7,28,7,28,0,17,102,106,93,87,0,17,93,87,9,34,0,17,9,34
3.6,North Beacon Hill/Jefferson Park,1003,403,558,312,558,312,0,24,558,312,0,24,0,24,0,24,445,195,399,174,0,24,399,174,46,62,0,24,46,62
4.1,Rainier Beach,1045,359,454,201,454,201,0,27,454,201,0,27,0,27,0,27,591,237,579,233,14,31,565,233,12,32,0,27,12,32
4.2,Columbia City,893,348,429,240,409,238,40,47,369,233,20,29,20,29,0,27,464,243,411,236,0,27,411,236,53,53,0,27,53,53
4.3,Seward Park,482,324,372,290,337,288,0,17,337,288,35,34,14,20,21,31,110,76,95,73,0,17,95,73,15,23,0,17,15,23
4.4,Mt. Baker/North Rainier,183,134,142,129,142,129,0,17,142,129,0,17,0,17,0,17,41,40,41,40,0,17,41,40,0,17,0,17,0,17
5.1,Madrona/Leschi,240,118,127,76,121,76,0,21,121,76,6,21,0,21,6,21,113,77,113,77,12,23,101,69,0,21,0,21,0,21
5.2,Judkins Park,156,172,122,172,122,172,0,12,122,172,0,12,0,12,0,12,34,37,34,37,0,12,34,37,0,12,0,12,0,12
5.3,Central Area/Squire Park,841,213,403,149,381,144,0,24,381,144,22,40,22,40,0,24,438,138,424,136,0,24,424,136,14,38,0,24,14,38
6.1,First Hill,1038,260,723,237,723,237,24,37,699,230,0,24,0,24,0,24,315,105,315,105,0,24,315,105,0,24,0,24,0,24
6.2,Capitol Hill,1262,373,648,249,648,249,15,34,633,249,0,29,0,29,0,29,614,216,614,216,0,29,614,216,0,29,0,29,0,29
6.3,North Capitol Hill,259,111,165,78,165,78,0,12,165,78,0,12,0,12,0,12,94,68,94,68,0,12,94,68,0,12,0,12,0,12
