area_id,area_name,b12002b001,b12002b001_moe,b12002b002,b12002b002_moe,b12002b003,b12002b003_moe,b12002b004,b12002b004_moe,b12002b005,b12002b005_moe,b12002b006,b12002b006_moe,b12002b007,b12002b007_moe,b12002b008,b12002b008_moe,b12002b009,b12002b009_moe,b12002b010,b12002b010_moe,b12002b011,b12002b011_moe,b12002b012,b12002b012_moe,b12002b013,b12002b013_moe
1.1,Arbor Heights,69,59,69,59,28,47,27,30,0,17,14,23,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,183,101,119,71,54,52,35,42,0,24,0,24,30,38,64,75,63,75,0,24,0,24,1,17,0,24
1.3,West Seattle Junction/Genesee Hill,328,172,188,124,144,114,27,38,0,29,5,26,12,31,140,106,46,47,40,49,54,88,0,29,0,29
1.4,Alki/Admiral,266,147,146,102,64,72,66,71,0,24,0,24,16,31,120,92,47,70,40,44,0,24,5,20,28,40
2.1,North Delridge,326,198,114,83,0,12,89,88,1,2,0,12,24,26,212,147,120,117,82,87,0,12,0,12,10,16
2.2,High Point,1269,298,446,153,225,133,163,68,0,17,10,22,48,45,823,197,448,168,154,73,116,113,76,88,29,49
2.3,Riverview,370,163,154,92,104,80,50,70,0,12,0,12,0,12,216,109,44,64,51,47,27,43,0,12,94,86
2.4,Roxhill/Westwood,826,250,354,139,182,112,107,74,41,65,14,28,10,24,472,173,161,103,89,64,0,21,36,37,186,108
2.5,Highland Park,509,128,271,76,120,87,151,65,0,21,0,21,0,21,238,74,51,53,132,49,18,32,0,21,37,43
3.1,South Park,171,99,66,62,16,29,14,27,15,27,0,17,21,28,105,66,48,51,39,39,0,17,0,17,18,23
3.2,Georgetown,27,36,11,19,0,12,0,12,11,19,0,12,0,12,16,21,0,12,0,12,0,12,0,12,16,21
3.3,Duwamish/SODO,324,208,241,160,85,63,64,75,6,16,13,30,73,75,83,81,0,12,67,77,16,21,0,12,0,12
3.4,South Beacon Hill/NewHolly,3026,534,1453,319,675,241,630,165,24,33,49,57,75,58,1573,320,536,190,671,177,128,99,93,55,145,102
3.5,Beacon Hill,688,263,252,129,73,55,111,69,0,17,0,17,68,87,436,201,156,110,148,92,0,17,71,62,61,56
3.6,North Beacon Hill/Jefferson Park,1388,252,640,198,237,141,204,100,55,67,0,24,144,108,748,199,286,187,166,107,55,46,24,31,217,122
4.1,Rainier Beach,3689,532,1857,356,994,339,625,187,18,32,57,58,163,121,1832,373,510,183,610,209,165,124,160,99,387,195
4.2,Columbia City,3715,575,1858,402,667,237,724,215,147,107,46,40,274,230,1857,343,658,274,663,195,83,60,193,114,260,108
4.3,Seward Park,1169,249,528,132,144,85,258,66,0,17,11,21,115,80,641,166,205,109,230,72,11,22,81,81,114,72
4.4,Mt. Baker/North Rainier,621,244,275,141,45,48,128,84,0,17,16,25,86,93,346,168,186,129,59,44,0,17,61,49,40,37
5.1,Madrona/Leschi,1856,458,893,306,352,214,337,155,0,21,0,21,204,124,963,320,264,187,308,141,13,26,181,89,197,169
5.2,Judkins Park,608,177,368,137,180,109,106,67,0,12,12,18,70,61,240,99,56,41,73,54,12,20,40,36,59,45
5.3,Central Area/Squire Park,3010,449,1447,312,658,216,455,137,56,59,44,46,234,135,1563,292,551,190,349,111,106,79,295,118,262,133
6.1,First Hill,1468,284,1043,247,589,192,167,87,70,60,18,29,199,97,425,136,175,83,0,24,40,58,43,44,167,78
6.2,Capitol Hill,1055,327,515,188,263,146,54,67,83,78,0,29,115,92,540,226,317,163,155,132,23,49,33,48,12,37
6.3,North Capitol Hill,20,29,0,12,0,12,0,12,0,12,0,12,0,12,20,29,18,29,0,12,0,12,0,12,2,6
6.4,Miller Park,582,166,315,111,197,95,79,44,8,19,0,17,31,31,267,91,125,65,56,36,33,49,43,42,10,18
6.5,Madison Park,72,61,20,23,0,17,20,23,0,17,0,17,0,17,52,45,20,32,32,31,0,17,0,17,0,17
7.1,Montlake/Portage Bay,218,113,157,102,90,68,12,25,0,21,0,21,55,66,61,78,0,21,48,76,0,21,13,27,0,21
7.2,University District,384,153,150,75,100,63,16,34,0,29,0,29,34,44,234,129,203,121,0,29,0,29,17,46,14,33
7.3,Ravenna/Bryant,445,210,247,137,157,90,64,62,15,46,0,32,11,34,198,103,113,66,57,65,0,32,28,39,0,32
7.4,Wedgwood/View Ridge,299,181,202,149,132,140,70,55,0,27,0,27,0,27,97,85,36,58,51,52,0,27,0,27,10,29
7.5,Laurelhurst/Sand Point,150,117,127,119,72,94,0,21,4,20,0,21,51,73,23,34,20,34,0,21,3,18,0,21,0,21
8.1,Northgate/Maple Leaf,511,186,352,166,220,117,98,83,0,24,0,24,34,48,159,85,120,81,27,33,0,24,0,24,12,32
8.2,Olympic Hills/Victory Heights,597,273,371,216,171,123,95,62,31,49,20,35,54,84,226,126,129,101,97,72,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,539,242,257,123,144,99,55,48,11,29,0,27,47,46,282,158,107,88,41,39,17,35,3,25,114,113
9.1,Broadview/Bitter Lake,920,308,398,180,217,136,66,56,0,27,0,27,115,83,522,193,254,141,88,73,13,30,39,46,128,110
9.2,Licton Springs,342,187,184,104,74,71,76,74,0,17,0,17,34,50,158,95,88,72,70,68,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,396,180,224,115,104,79,48,50,0,29,14,34,58,69,172,118,21,32,96,105,10,31,0,29,45,46
9.4,Green Lake,165,110,117,97,72,90,28,37,0,24,0,24,17,31,48,46,34,41,14,30,0,24,0,24,0,24
9.5,Haller Lake,464,235,277,154,100,110,154,105,3,13,0,21,20,34,187,113,67,65,98,90,0,21,0,21,22,37
10.1,North Beach/Blue Ridge,47,70,0,21,0,21,0,21,0,21,0,21,0,21,47,70,0,21,0,21,0,21,0,21,47,70
10.2,Whittier Heights,79,74,79,74,22,37,57,65,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,31,30,14,28,14,28,0,24,0,24,0,24,0,24,17,33,0,24,0,24,0,24,0,24,17,33
10.4,Ballard,126,106,45,65,45,65,0,17,0,17,0,17,0,17,81,76,56,47,0,17,0,17,22,35,3,12
11.1,Fremont,158,115,70,65,24,37,46,48,0,24,0,24,0,24,88,71,11,26,64,69,0,24,0,24,13,28
11.2,Wallingford,349,171,234,134,125,96,46,46,0,27,0,27,63,86,115,107,54,86,13,32,0,27,0,27,48,66
11.3,Cascade/Eastlake,583,180,356,138,265,129,30,39,2,18,9,26,50,52,227,117,143,93,0,21,0,21,9,23,75,70
12.1,Magnolia,23,30,17,32,0,24,17,32,0,24,0,24,0,24,6,21,0,24,0,24,0,24,0,24,6,21
12.2,Interbay,493,289,369,261,307,251,46,72,0,21,0,21,16,29,124,86,83,68,0,21,0,21,28,32,13,24
12.3,Queen Anne,855,331,586,248,352,190,129,107,9,38,0,40,96,121,269,157,190,107,53,83,0,40,7,40,19,44
13.1,Belltown,633,250,508,233,314,212,101,90,18,34,0,21,75,63,125,79,76,61,0,21,15,28,0,21,34,54
13.2,Downtown Commercial Core,395,171,358,178,279,174,7,11,10,24,0,12,62,47,37,39,0,12,14,23,12,20,0,12,11,26
13.3,Pioneer Square/International District,526,216,365,183,114,87,58,55,11,22,0,17,182,150,161,77,58,51,65,62,0,17,0,17,38,37
