area_id,area_name,b08122001,b08122001_moe,b08122002,b08122002_moe,b08122003,b08122003_moe,b08122004,b08122004_moe,b08122005,b08122005_moe,b08122006,b08122006_moe,b08122007,b08122007_moe,b08122008,b08122008_moe,b08122009,b08122009_moe,b08122010,b08122010_moe,b08122011,b08122011_moe,b08122012,b08122012_moe,b08122013,b08122013_moe,b08122014,b08122014_moe,b08122015,b08122015_moe,b08122016,b08122016_moe,b08122017,b08122017_moe,b08122018,b08122018_moe,b08122019,b08122019_moe,b08122020,b08122020_moe,b08122021,b08122021_moe,b08122022,b08122022_moe,b08122023,b08122023_moe,b08122024,b08122024_moe,b08122025,b08122025_moe,b08122026,b08122026_moe,b08122027,b08122027_moe,b08122028,b08122028_moe
1.1,Arbor Heights,3608,209,106,61,45,41,3457,208,2721,239,29,31,23,26,2669,235,257,96,29,34,0,17,228,88,264,98,0,17,0,17,264,98,0,17,0,17,0,17,0,17,78,59,0,17,0,17,78,59,288,91,48,50,22,35,218,71
1.2,Fauntleroy/Seaview,8102,501,160,93,201,92,7741,517,5005,474,98,65,89,58,4818,464,850,302,0,24,0,24,850,302,1205,244,0,24,63,44,1142,235,71,54,16,30,0,24,55,51,245,111,0,24,20,37,225,107,726,191,46,40,29,48,651,180
1.3,West Seattle Junction/Genesee Hill,10157,532,387,166,287,137,9483,515,6142,551,274,151,244,130,5624,516,1233,271,12,31,12,31,1209,266,1619,294,35,46,15,33,1569,287,284,115,0,29,16,34,268,110,238,111,9,27,0,29,229,110,641,167,57,54,0,29,584,158
1.4,Alki/Admiral,6063,363,267,154,184,107,5612,354,3935,379,151,110,103,85,3681,365,604,209,0,24,16,30,588,207,791,171,15,29,54,61,722,174,126,88,0,24,0,24,126,88,138,71,0,24,0,24,138,71,469,151,101,92,11,25,357,129
2.1,North Delridge,2950,272,184,118,110,89,2656,262,1621,248,116,104,54,55,1451,265,421,192,43,66,0,12,378,186,612,204,25,31,56,68,531,180,0,12,0,12,0,12,0,12,113,75,0,12,0,12,113,75,183,110,0,12,0,12,183,110
2.2,High Point,2805,290,329,160,228,140,2248,300,1710,301,126,101,156,116,1428,289,350,152,89,102,26,34,235,109,451,173,67,68,33,41,351,147,89,68,47,60,13,25,29,27,49,41,0,17,0,17,49,41,156,83,0,17,0,17,156,83
2.3,Riverview,2666,229,102,63,126,74,2438,216,1616,177,47,47,37,45,1532,177,558,148,19,31,49,48,490,139,304,107,24,21,40,39,240,102,12,17,12,17,0,12,0,12,79,64,0,12,0,12,79,64,97,45,0,12,0,12,97,45
2.4,Roxhill/Westwood,6860,452,495,183,365,169,6000,464,4305,363,274,106,126,85,3905,360,835,257,94,107,118,116,623,209,1125,283,45,50,64,58,1016,273,220,118,71,83,24,30,125,85,145,68,11,25,0,21,134,64,230,90,0,21,33,32,197,84
2.5,Highland Park,2999,316,111,87,223,195,2665,294,1988,271,14,26,200,192,1774,259,274,139,0,21,0,21,274,139,493,211,97,84,20,32,376,192,64,102,0,21,0,21,64,102,53,61,0,21,0,21,53,61,127,67,0,21,3,14,124,66
3.1,South Park,2078,433,226,165,181,95,1671,351,1203,288,145,99,69,54,989,236,232,135,30,49,35,39,167,108,452,163,28,47,49,58,375,140,49,58,0,17,0,17,49,58,62,49,0,17,0,17,62,49,80,56,23,41,28,36,29,31
3.2,Georgetown,745,110,29,25,71,53,645,128,344,129,17,20,7,10,320,122,73,72,0,12,0,12,73,72,168,82,8,13,17,29,143,74,114,53,0,12,22,30,92,57,25,36,0,12,25,36,0,12,21,25,4,8,0,12,17,25
3.3,Duwamish/SODO,1308,191,121,69,22,23,1165,178,659,125,62,35,22,23,575,116,173,96,7,16,0,12,166,95,275,158,46,55,0,12,229,149,81,48,6,10,0,12,75,51,82,54,0,12,0,12,82,54,38,40,0,12,0,12,38,40
3.4,South Beacon Hill/NewHolly,6375,573,479,161,555,187,5341,576,3830,440,293,122,392,147,3145,414,966,280,94,88,19,29,853,264,1284,263,53,45,115,68,1116,248,74,58,0,24,27,44,47,39,100,60,0,24,0,24,100,60,121,73,39,57,2,21,80,55
3.5,Beacon Hill,4981,569,105,96,185,98,4691,568,3157,513,80,72,130,91,2947,503,881,256,0,17,6,22,875,253,635,223,0,17,37,35,598,214,116,94,0,17,0,17,116,94,78,57,0,17,0,17,78,57,114,57,25,37,12,24,77,47
3.6,North Beacon Hill/Jefferson Park,7629,566,398,157,715,256,6516,539,3793,423,177,119,320,173,3296,385,1027,319,28,35,132,147,867,297,1820,371,60,52,189,136,1571,323,275,125,9,23,28,37,238,118,553,206,65,47,23,41,465,187,161,94,59,63,23,40,79,63
4.1,Rainier Beach,6803,538,560,260,705,228,5538,568,4393,474,343,223,441,175,3609,436,1041,302,48,75,163,127,830,256,870,212,107,81,67,66,696,191,48,64,0,27,0,27,48,64,153,94,0,27,0,27,153,94,298,154,62,78,34,58,202,126
4.2,Columbia City,8119,600,726,245,810,328,6583,622,4651,493,361,159,401,201,3889,456,794,211,23,35,10,29,761,211,1764,356,192,135,333,172,1239,301,241,125,53,86,13,31,175,102,327,147,58,73,53,89,216,111,342,131,39,50,0,27,303,124
4.3,Seward Park,4312,367,184,97,110,83,4018,370,2703,311,78,67,90,77,2535,314,470,149,15,23,0,17,455,148,610,139,54,61,11,22,545,129,119,65,21,37,0,17,98,53,142,80,0,17,0,17,142,80,268,117,16,23,9,18,243,113
4.4,Mt. Baker/North Rainier,2812,312,149,134,17,29,2646,279,1539,231,21,33,0,17,1518,228,324,135,0,17,0,17,324,135,504,201,88,97,0,17,416,133,76,53,18,27,0,17,58,48,128,72,22,33,0,17,106,66,241,108,0,17,17,29,224,103
5.1,Madrona/Leschi,5629,412,357,208,194,130,5078,349,3089,358,91,82,89,67,2909,335,593,269,185,193,0,21,408,166,778,219,40,38,76,64,662,192,232,145,15,29,18,35,199,141,445,184,12,23,0,21,433,185,492,183,14,25,11,22,467,177
5.2,Judkins Park,1400,215,128,71,79,48,1193,215,649,158,66,54,63,41,520,148,97,69,0,12,0,12,97,69,406,156,27,26,9,14,370,157,141,64,35,34,0,12,106,52,18,20,0,12,0,12,18,20,89,67,0,12,7,12,82,63
5.3,Central Area/Squire Park,10248,577,670,202,765,217,8813,547,4072,436,136,72,329,134,3607,413,672,191,45,52,2,21,625,186,2266,360,186,95,142,85,1938,336,1755,325,209,101,131,83,1415,287,910,223,60,52,120,91,730,196,573,158,34,58,41,54,498,140
6.1,First Hill,7016,486,824,212,585,211,5607,439,1651,294,196,96,95,62,1360,248,264,170,43,45,8,25,213,164,1486,288,179,101,188,114,1119,249,3172,398,363,136,283,150,2526,338,155,78,18,35,11,27,126,69,288,112,25,34,0,24,263,110
6.2,Capitol Hill,15387,693,1254,298,1268,295,12865,689,4371,567,361,158,268,174,3742,532,541,192,33,46,27,42,481,182,4079,543,174,94,331,153,3574,506,4984,626,600,209,467,174,3917,592,697,235,25,41,91,68,581,218,715,265,61,80,84,114,570,214
6.3,North Capitol Hill,2643,221,92,77,116,77,2435,221,1175,182,15,24,17,27,1143,181,153,110,17,28,0,12,136,107,553,200,16,26,63,74,474,165,480,177,28,41,16,27,436,165,115,102,0,12,0,12,115,102,167,91,16,26,20,31,131,76
