area_id,area_name,c21001e001,c21001e001_moe,c21001e002,c21001e002_moe,c21001e003,c21001e003_moe,c21001e004,c21001e004_moe,c21001e005,c21001e005_moe,c21001e006,c21001e006_moe,c21001e007,c21001e007_moe,c21001e008,c21001e008_moe,c21001e009,c21001e009_moe,c21001e010,c21001e010_moe,c21001e011,c21001e011_moe,c21001e012,c21001e012_moe,c21001e013,c21001e013_moe,c21001e014,c21001e014_moe,c21001e015,c21001e015_moe
1.1,Arbor Heights,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,57,82,0,24,0,24,0,24,0,24,0,24,0,24,0,24,57,82,57,82,0,24,57,82,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
1.4,Alki/Admiral,22,56,15,41,15,41,0,24,15,41,0,24,0,24,0,24,7,23,7,23,0,24,7,23,0,24,0,24,0,24
2.1,North Delridge,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.2,High Point,22,38,0,17,0,17,0,17,0,17,0,17,0,17,0,17,22,38,0,17,0,17,0,17,22,38,0,17,22,38
2.3,Riverview,21,23,21,23,10,16,10,16,0,12,11,16,11,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,122,106,87,90,87,90,0,21,87,90,0,21,0,21,0,21,35,44,35,44,0,21,35,44,0,21,0,21,0,21
2.5,Highland Park,53,106,26,62,26,62,8,23,18,44,0,21,0,21,0,21,27,48,27,48,0,21,27,48,0,21,0,21,0,21
3.1,South Park,107,101,50,54,41,46,0,17,41,46,9,21,0,17,9,21,57,53,57,53,0,17,57,53,0,17,0,17,0,17
3.2,Georgetown,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,140,149,54,81,54,81,0,24,54,81,0,24,0,24,0,24,86,98,55,59,23,40,32,50,31,57,0,24,31,57
3.5,Beacon Hill,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,143,153,94,98,94,98,0,24,94,98,0,24,0,24,0,24,49,72,49,72,0,24,49,72,0,24,0,24,0,24
4.1,Rainier Beach,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
4.2,Columbia City,276,271,110,112,41,54,28,48,13,37,69,84,17,49,52,74,166,184,166,184,0,27,166,184,0,27,0,27,0,27
4.3,Seward Park,19,35,0,17,0,17,0,17,0,17,0,17,0,17,0,17,19,35,8,19,0,17,8,19,11,22,0,17,11,22
4.4,Mt. Baker/North Rainier,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
5.1,Madrona/Leschi,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
5.2,Judkins Park,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
5.3,Central Area/Squire Park,9,26,0,24,0,24,0,24,0,24,0,24,0,24,0,24,9,26,9,26,0,24,9,26,0,24,0,24,0,24
6.1,First Hill,47,48,47,48,47,48,14,33,33,40,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
6.2,Capitol Hill,17,38,0,29,0,29,0,29,0,29,0,29,0,29,0,29,17,38,17,38,0,29,17,38,0,29,0,29,0,29
6.3,North Capitol Hill,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
6.4,Miller Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
6.5,Madison Park,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
7.2,University District,28,32,4,26,4,26,0,29,4,26,0,29,0,29,0,29,24,30,24,30,0,29,24,30,0,29,0,29,0,29
7.3,Ravenna/Bryant,56,60,19,38,0,32,0,32,0,32,19,38,19,38,0,32,37,56,37,56,0,32,37,56,0,32,0,32,0,32
7.4,Wedgwood/View Ridge,13,30,13,30,13,30,0,27,13,30,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
7.5,Laurelhurst/Sand Point,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,88,84,35,59,35,59,0,24,35,59,0,24,0,24,0,24,53,64,53,64,0,24,53,64,0,24,0,24,0,24
8.2,Olympic Hills/Victory Heights,58,80,0,24,0,24,0,24,0,24,0,24,0,24,0,24,58,80,18,30,0,24,18,30,40,59,0,24,40,59
8.3,Cedar Park/Meadowbrook,25,36,11,27,11,27,0,27,11,27,0,27,0,27,0,27,14,31,14,31,0,27,14,31,0,27,0,27,0,27
9.1,Broadview/Bitter Lake,27,53,11,29,11,29,0,27,11,29,0,27,0,27,0,27,16,36,16,36,0,27,16,36,0,27,0,27,0,27
9.2,Licton Springs,22,26,13,24,13,24,0,17,13,24,0,17,0,17,0,17,9,20,9,20,0,17,9,20,0,17,0,17,0,17
9.3,Greenwood/Phinney Ridge,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
9.4,Green Lake,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
9.5,Haller Lake,195,137,85,72,85,72,0,21,85,72,0,21,0,21,0,21,110,95,110,95,0,21,110,95,0,21,0,21,0,21
10.1,North Beach/Blue Ridge,44,89,15,34,15,34,9,25,6,20,0,21,0,21,0,21,29,59,29,59,0,21,29,59,0,21,0,21,0,21
10.2,Whittier Heights,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,24,27,10,25,10,25,0,24,10,25,0,24,0,24,0,24,14,26,14,26,0,24,14,26,0,24,0,24,0,24
10.4,Ballard,30,38,0,17,0,17,0,17,0,17,0,17,0,17,0,17,30,38,30,38,0,17,30,38,0,17,0,17,0,17
11.1,Fremont,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
11.2,Wallingford,56,81,56,81,56,81,0,27,56,81,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
11.3,Cascade/Eastlake,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
12.1,Magnolia,12,24,12,24,12,24,0,24,12,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
12.2,Interbay,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
12.3,Queen Anne,6,37,0,40,0,40,0,40,0,40,0,40,0,40,0,40,6,37,6,37,0,40,6,37,0,40,0,40,0,40
13.1,Belltown,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21
13.2,Downtown Commercial Core,17,28,17,28,17,28,0,12,17,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
13.3,Pioneer Square/International District,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
