area_id,area_name,b14007h001,b14007h001_moe,b14007h002,b14007h002_moe,b14007h003,b14007h003_moe,b14007h004,b14007h004_moe,b14007h005,b14007h005_moe,b14007h006,b14007h006_moe,b14007h007,b14007h007_moe,b14007h008,b14007h008_moe,b14007h009,b14007h009_moe,b14007h010,b14007h010_moe,b14007h011,b14007h011_moe,b14007h012,b14007h012_moe,b14007h013,b14007h013_moe,b14007h014,b14007h014_moe,b14007h015,b14007h015_moe,b14007h016,b14007h016_moe,b14007h017,b14007h017_moe,b14007h018,b14007h018_moe,b14007h019,b14007h019_moe
7.5,Laurelhurst/Sand Point,8122,581,2511,377,199,90,160,94,110,56,96,50,60,52,131,73,131,67,114,62,61,52,135,76,160,72,92,55,108,67,77,57,546,208,331,112,5611,403
8.1,Northgate/Maple Leaf,8672,493,1957,303,167,80,100,54,26,37,38,35,60,44,89,65,65,88,45,41,80,46,72,53,54,68,61,43,46,42,80,59,637,204,337,116,6715,398
8.2,Olympic Hills/Victory Heights,9046,579,1694,285,95,67,36,31,78,50,91,76,61,43,80,54,45,41,26,29,39,40,44,40,93,53,63,51,30,32,67,52,541,182,305,119,7352,458
8.3,Cedar Park/Meadowbrook,8203,477,1484,301,92,44,119,59,53,49,58,35,27,38,84,51,22,29,74,52,37,43,50,42,15,23,69,66,75,45,42,45,387,137,280,109,6719,387
9.1,Broadview/Bitter Lake,9779,704,1801,355,133,83,20,31,98,77,88,62,45,40,60,52,68,47,66,52,119,82,121,104,64,66,50,46,31,35,147,83,462,179,229,120,7978,579
9.2,Licton Springs,5552,464,854,252,46,43,31,39,11,23,34,40,23,27,0,17,32,38,0,17,0,17,12,22,22,41,16,29,22,36,26,43,459,207,120,75,4698,407
9.3,Greenwood/Phinney Ridge,17958,629,3035,339,413,112,190,78,161,63,142,74,106,54,198,98,120,62,79,53,160,84,61,46,39,42,97,52,46,47,50,43,662,184,511,149,14923,541
9.4,Green Lake,10967,617,2210,334,213,77,40,41,62,44,104,54,36,37,107,62,67,49,94,55,28,39,44,42,51,42,163,81,15,32,30,37,480,174,676,207,8757,537
9.5,Haller Lake,6083,420,861,195,93,52,40,32,67,49,52,43,30,31,35,34,38,42,46,36,8,19,62,58,16,29,8,21,0,21,0,21,244,106,122,72,5222,368
10.1,North Beach/Blue Ridge,9388,389,1841,269,159,73,42,33,60,45,81,62,147,79,75,45,151,69,128,86,56,47,48,38,93,49,64,48,165,85,86,72,367,130,119,60,7547,328
10.2,Whittier Heights,9770,426,1878,303,287,101,128,79,103,55,81,52,57,42,91,61,65,78,25,34,65,52,15,29,61,44,35,33,50,47,114,97,332,134,369,131,7892,361
10.3,Sunset Hill/Loyal Heights,11764,592,2217,328,268,99,111,60,76,49,54,52,63,45,115,69,101,63,36,41,121,63,71,52,77,55,26,30,117,79,80,72,581,203,320,122,9547,472
10.4,Ballard,5526,453,662,224,62,76,29,35,0,17,0,17,8,14,0,17,33,42,0,17,26,19,19,30,16,25,19,30,0,17,0,17,185,140,265,139,4864,428
11.1,Fremont,12481,492,2452,363,169,65,59,43,86,72,69,53,37,40,53,46,36,37,28,36,48,49,40,41,24,34,50,42,13,30,30,38,811,286,899,232,10029,538
11.2,Wallingford,12390,832,3405,548,177,72,106,57,140,65,47,38,80,50,117,69,106,60,36,35,33,34,42,33,38,37,32,36,43,37,2,24,1579,477,827,223,8985,550
11.3,Cascade/Eastlake,8068,654,1399,339,44,53,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,14,26,0,21,0,21,8,23,906,275,427,153,6669,586
12.1,Magnolia,10638,586,2370,453,228,105,109,61,125,81,226,107,61,45,85,81,223,112,115,68,141,83,188,106,106,62,69,70,58,46,40,40,452,341,144,81,8268,376
12.2,Interbay,7726,527,1440,261,124,85,88,68,56,74,27,32,51,49,64,73,65,52,28,34,22,27,27,40,22,26,44,42,50,48,8,21,539,193,225,112,6286,432
12.3,Queen Anne,28514,1054,6205,775,382,114,137,81,116,80,126,68,115,70,229,105,220,106,132,70,67,59,111,79,118,71,130,84,89,61,229,93,3168,680,836,268,22309,754
13.1,Belltown,5714,501,406,161,0,21,0,21,0,21,0,21,0,21,0,21,14,25,0,21,0,21,0,21,0,21,0,21,0,21,0,21,126,89,266,130,5308,493
13.2,Downtown Commercial Core,2636,294,166,116,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,90,90,76,60,2470,294
13.3,Pioneer Square/International District,1681,218,106,90,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,6,17,0,17,46,36,54,83,1575,209
