area_id,area_name,b07004c001,b07004c001_moe,b07004c002,b07004c002_moe,b07004c003,b07004c003_moe,b07004c004,b07004c004_moe,b07004c005,b07004c005_moe,b07004c006,b07004c006_moe
1.1,Arbor Heights,111,127,111,127,0,17,0,17,0,17,0,17
1.2,Fauntleroy/Seaview,50,40,50,40,0,24,0,24,0,24,0,24
1.3,West Seattle Junction/Genesee Hill,137,105,70,71,17,36,0,29,50,79,0,29
1.4,Alki/Admiral,49,50,39,47,10,23,0,24,0,24,0,24
2.1,North Delridge,42,49,24,39,18,29,0,12,0,12,0,12
2.2,High Point,8,20,8,20,0,17,0,17,0,17,0,17
2.3,Riverview,44,67,44,67,0,12,0,12,0,12,0,12
2.4,Roxhill/Westwood,101,128,101,128,0,21,0,21,0,21,0,21
2.5,Highland Park,37,47,37,47,0,21,0,21,0,21,0,21
3.1,South Park,28,47,28,47,0,17,0,17,0,17,0,17
3.2,Georgetown,25,26,25,26,0,12,0,12,0,12,0,12
3.3,Duwamish/SODO,66,103,66,103,0,12,0,12,0,12,0,12
3.4,South Beacon Hill/NewHolly,249,199,249,199,0,24,0,24,0,24,0,24
3.5,Beacon Hill,36,39,8,17,28,39,0,17,0,17,0,17
3.6,North Beacon Hill/Jefferson Park,60,73,60,73,0,24,0,24,0,24,0,24
4.1,Rainier Beach,131,108,75,78,56,76,0,27,0,27,0,27
4.2,Columbia City,56,47,56,47,0,27,0,27,0,27,0,27
4.3,Seward Park,51,61,51,61,0,17,0,17,0,17,0,17
4.4,Mt. Baker/North Rainier,139,127,120,102,19,30,0,17,0,17,0,17
5.1,Madrona/Leschi,87,94,74,92,0,21,13,28,0,21,0,21
5.2,Judkins Park,10,15,0,12,0,12,0,12,10,15,0,12
5.3,Central Area/Squire Park,73,57,36,45,24,34,0,24,9,25,4,23
6.1,First Hill,293,151,282,151,2,22,9,27,0,24,0,24
6.2,Capitol Hill,303,128,217,111,33,46,0,29,53,66,0,29
6.3,North Capitol Hill,89,130,89,130,0,12,0,12,0,12,0,12
6.4,Miller Park,36,28,36,28,0,17,0,17,0,17,0,17
6.5,Madison Park,0,17,0,17,0,17,0,17,0,17,0,17
7.1,Montlake/Portage Bay,27,36,27,36,0,21,0,21,0,21,0,21
7.2,University District,178,133,114,114,19,49,23,52,22,42,0,29
7.3,Ravenna/Bryant,86,67,86,67,0,32,0,32,0,32,0,32
7.4,Wedgwood/View Ridge,44,59,44,59,0,27,0,27,0,27,0,27
7.5,Laurelhurst/Sand Point,30,31,30,31,0,21,0,21,0,21,0,21
8.1,Northgate/Maple Leaf,216,198,165,170,51,84,0,24,0,24,0,24
8.2,Olympic Hills/Victory Heights,19,35,19,35,0,24,0,24,0,24,0,24
8.3,Cedar Park/Meadowbrook,136,112,114,113,20,28,2,24,0,27,0,27
9.1,Broadview/Bitter Lake,213,161,168,148,45,70,0,27,0,27,0,27
9.2,Licton Springs,23,29,11,22,0,17,0,17,12,22,0,17
9.3,Greenwood/Phinney Ridge,193,117,158,112,23,39,0,29,12,33,0,29
9.4,Green Lake,0,24,0,24,0,24,0,24,0,24,0,24
9.5,Haller Lake,124,79,124,79,0,21,0,21,0,21,0,21
10.1,North Beach/Blue Ridge,82,58,82,58,0,21,0,21,0,21,0,21
10.2,Whittier Heights,20,35,20,35,0,24,0,24,0,24,0,24
10.3,Sunset Hill/Loyal Heights,45,57,31,51,0,24,14,29,0,24,0,24
10.4,Ballard,0,17,0,17,0,17,0,17,0,17,0,17
11.1,Fremont,44,45,19,35,25,37,0,24,0,24,0,24
11.2,Wallingford,107,68,88,64,9,21,10,33,0,27,0,27
11.3,Cascade/Eastlake,296,155,239,142,57,65,0,21,0,21,0,21
12.1,Magnolia,52,59,52,59,0,24,0,24,0,24,0,24
12.2,Interbay,82,70,71,65,11,23,0,21,0,21,0,21
12.3,Queen Anne,310,170,188,135,39,57,9,39,49,65,25,53
13.1,Belltown,120,94,95,86,0,21,0,21,25,41,0,21
13.2,Downtown Commercial Core,44,50,0,12,13,29,11,25,20,29,0,12
13.3,Pioneer Square/International District,14,21,14,21,0,17,0,17,0,17,0,17
